Highlighted Clause,Plain Language Summary
"You acknowledge that rumble.com has the absolute right (but not the obligation) to delete, move and edit content and material for any reason, in any manner, at any time, without notice.","Rumble.com can remove, relocate, or modify any content on their website whenever they want, and they don’t have to inform you ahead of time."
Links and third party sites this site may produce automated search results or otherwise link you to other sites on the internet.,"Rumble.com might have links or search results that send you to other websites, but they aren’t responsible for those sites."
"Because some jurisdictions do not allow the exclusion or limitation of incidental or consequential damages, rumble.com's liability in such jurisdictions shall be limited to the extent permitted by law.","In places where the law doesn’t allow limit on damages, Rumble.com’s responsibility for losses or damages is capped by what’s legally allowed."
"You agree to indemnify and hold rumble.com, and its parent, subsidiaries and affiliates and their respective officers, directors, agents, co-branders and other partners, contractors, and employees, harmless from and against any and all claims, expenses, and demands, including attorneys' fees, made by any third party due to, arising out of, or asserted in connection with your use or misuse of this site.","If someone takes legal action against Rumble.com because of something you did on the site, you must cover the costs and protect Rumble.com from blame."
The above licenses granted by you are perpetual and irrevocable.,"When you give Rumble.com permission to use your content, it’s permanent and you can’t change your mind later."
"If a user is found in violation, the account may be suspended and/or terminated.","If you break the rules, Rumble.com can suspend or even close your account."
Rumble.com reserves the right to have control of any defense and control of any matter otherwise subject to indemnification by you.,"If there's a legal issue because of your actions on the site, Rumble.com can take over the defense and make decisions about it."
Your use of this site following the posting of any changes to the terms of use will be deemed your acceptance of such change(s).,"If Rumble.com changes their terms of use and you keep using the site, it means you agree to the new terms."
"Termination rumble.com reserves the right, in its sole discretion, to terminate your access to all or part of this site, with or without notice, for any reason.","Rumble.com can cut off your access to the site for any reason, and they don’t have to warn you first."
You agree to abide by rumble.com's user conduct rules.,You must follow Rumble.com’s behavior rules when using their site.
"By posting information in or otherwise using any communications service, message board, or other interactive service that may be available to you on or through this site, you agree that you will not upload, post...[content] that...infringes or encroaches on the rights of others.",You promise not to post anything on Rumble.com that breaks copyright or other people’s rights.
Procedure for reporting violations of rights of privacy or publicity.,Rumble.com has a process for you to report if someone posts content that violates your privacy or your rights to your own image.
"These terms of use shall be governed by and construed in accordance with the laws of the province of Ontario, excluding its conflicts of law rules.","The laws of Ontario, Canada, will be used to interpret the terms of use for Rumble.com, disregarding any conflict of law principles."
Rumble.com is not responsible for any failure or delay in removing such content.,Rumble.com isn't liable if something offensive isn’t removed quickly or at all.
