Highlighted Clause,Plain Language Summary
"In most cases, if you use our services consistently with our terms of service, visitors to your web site will be able to download and view as much content from your site as they like.","If you follow their rules, users can download and view unlimited content from your site."
Our service may not be used as a means to carry out other activities that donât have anything to do with forum hosting.,Their service can only be used for forum hosting and not for unrelated activities.
Upon forum creation you authorize discoursehosting to charge your credit card for such amounts according to your service usage.,"When you create a forum, you allow the service to charge your credit card based on your usage."
The subscription can be canceled at any time in the payments section of your siteâs dashboard.,You can cancel your subscription anytime from your dashboard's payment section.
"Our network and servers are monitored continuously, and are rarely down except for scheduled maintenance and hardware and software upgrades.",Their servers are regularly monitored and downtime is usually only for scheduled maintenance or upgrades.
"Discoursehosting shall not be responsible for any claimed damages, including incidental and consequential damages, which may arise from discoursehostingâ servers going off-line or being unavailable for any reason whatsoever.",The service provider won't be liable for any damage or losses if their servers go offline or become unavailable.
Discoursehosting reserves the right to change the payment terms and fees upon thirty (30) days prior written notice to you.,The service may change payment terms and fees with 30 days' notice to you.
Subscription fees are not refundable and are paid in advance of using such services.,Subscription fees are not returned and must be paid before using the service.
"Unless you notify discoursehosting before the end of the applicable subscription period that you want to cancel your subscription, your subscription will automatically renew and you authorize us to collect the then-applicable annual or monthly subscription fee for the service (as well as any taxes) using any credit card or other payment mechanism we have on record for you.",Your subscription will renew automatically unless you cancel it before the end of the period. They will charge the renewal fee to your card or other payment method on file.
"Discoursehosting reserves the right to amend any or all of the above policies, guidelines and disclaimer upon thirty (30) days prior written notice to you.",The service has the right to change any policy or guideline with 30 days' notice to you.
