Highlighted Clause,Plain Language Summary
"If we are unsuccessful in charging your credit or debit card and have still not received payment within 14 days after informing you, and without affecting any other rights and remedies available to us we may, without responsibility to you, suspend or temporarily disable all or part of your access to the premium service and we shall be under no obligation to provide any or all of the premium service while the fees concerned remain unpaid.",The company can suspend or limit your access to the premium service if you fail to update your payment details and do not pay the fees within 14 days after being notified.
"You are not given a right to use the ""flat"" name, or any of the ""flat"" trademarks, logos, domain names and other distinctive brand features.","You do not have permission to use the company's trademarks, logos, or any other brand features without authorization."
"We grant you a non-exclusive, personal, non-transferable licence to download and use our application for accessing and using our service in accordance with these terms of service.","You are given a personal and non-transferable license to download and use the company's application, but only in the way described by the terms of service."
"You agree that all confidential information, copyright and other intellectual property rights in our application or any portion of the service belong to us.",All intellectual property rights in the application and service are owned by the company.
"Any person may contact us by sending us an ""infringement notice"" if any content available through our service infringes their rights.","If anyone believes their rights are infringed by content on the service, they can send an infringement notice to the company."
"Aside from your 14 day right to cancel, you may cancel, upgrade or downgrade your account at any time as indicated in your account settings for the service.","Apart from a 14-day cancellation period, you can change your account status including cancellation, upgrade, or downgrade at any time through your account settings."
"Failure to comply with rules of acceptable use constitutes a serious breach of these terms of service, and may result in our taking all or any of the following actions: immediate, temporary or permanent withdrawal of your right to use our service.","If you don't follow the acceptable use rules, the company can temporarily or permanently ban you from using the service."
"If at any time you do not feel that you can agree to these terms of service or any changes made to the terms of service or the service, you must immediately stop using the service.",You must stop using the service immediately if you disagree with these terms or any future changes.
"We may immediately end your use of the service if you break the rules of acceptable use, any other important rule(s), or terms and conditions.","The company can terminate your use of the service immediately if you violate any important rules, terms, or conditions."
"The fees for the premium service are available at https://flat.io/pricing (the ""fees"").",The cost for the premium service can be found on the company's pricing webpage.
We may revise these terms of service from time to time but the most current version will always be at support@flat.io.,"The company may update the terms of service occasionally, and the latest version will always be accessible at their support web address."
"The service is provided on an ""as available"" and ""as is"" basis.",The service is given with no guarantees on constant availability or that it will function perfectly.
We will not offer you compensation for any losses.,The company will not pay any compensation for losses you might incur from using the service.
"If you are in the EU, you have a right to cancel your subscription to the premium service without giving us any reason for up to 14 days after you signed up to the premium service.",EU customers can cancel their premium service subscription within 14 days of sign-up without needing to provide a reason.
Your subscription to the premium service might auto-renew at the end of the subscription period.,Be aware that your premium service subscription may automatically renew after it ends unless you cancel it.
