Highlighted Clause,Plain Language Summary
"You have controls over the types of ads and advertisers you see, and the types of information we use to determine which ads we show you.",You have the ability to manage your ad preferences and control the information that determines the ads displayed to you by Facebook.
"These terms govern your use of Facebook, Messenger, and the other products, features, apps, services, technologies, and software we offer.","The document sets out the rules for using Facebook and its associated services, like Messenger and other related offerings."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","Facebook can change, pause, or stop your access to its services at any time for any reason."
You can end this license any time by deleting your content or account.,You can cancel Facebook's license to your content at any time by deleting your content or your account.
If we remove content that you have shared for violation of our community standards we’ll let you know and explain any options you have to request another review.,"If Facebook deletes your content for breaking its community rules, they will inform you and provide options for you to request a review."
"You are free to share your content with anyone else, wherever you want.","You retain the right to share the content you create on Facebook with anyone, anywhere."
We employ dedicated teams around the world and develop advanced technical systems to detect misuse of our products.,Facebook has specialized teams and technology to find and stop the misuse of its platforms.
These products are provided to you by Facebook Ireland Limited.,The services mentioned in the Terms of Service are offered by Facebook Ireland Limited.
"We will notify you (for example, by email or through our products) at least 30 days before we make changes to these terms and give you an opportunity to review them before they go into effect.","Facebook will inform users about changes to the terms at least 30 days before they take effect, giving users a chance to review them."
We don’t share information that directly identifies you (information such as your name or email address) unless you give us specific permission.,Facebook promises not to share personally-identifiable information like your name or email unless you explicitly allow it.
"In case of intent or gross negligence, we have unlimited liability in accordance with statutory provisions.","Facebook has unlimited responsibility for damages caused on purpose or by gross negligence, according to legal requirements."
"If we fail to enforce any of these terms, it will not be considered a waiver.","If Facebook doesn't act on a breach of these terms, it doesn't mean they are waiving their rights to do so later."
We don’t charge you to use Facebook or the other products and services covered by these terms.,Facebook is free to use for the products and services mentioned in the terms.
Any amendment to or waiver of these terms must be made in writing and signed by us.,Any changes or exceptions to these terms must be in writing and formally accepted by Facebook.
You may designate a person (called a legacy contact) to manage your account if it is memorialized.,You can choose someone to manage your account if it becomes memorialized after your death.
We collect and use your personal data in order to provide the services described above to you.,Facebook collects and uses personal data to deliver the described services to users.
"In all other cases, you agree that the claim must be resolved in a competent court in the Republic of Ireland and that Irish law will govern these terms.","For any legal claims, they must be dealt with in Irish courts under Irish law, except for certain situations where local laws apply."
"We have also developed, and continue to explore, new ways for people to use technology, such as augmented reality and 360 video to create and share more expressive and engaging content on Facebook.","Facebook is working on and exploring new tech, like augmented reality and 360 video, for users to create content."
