Highlighted Clause,Plain Language Summary
You retain ownership of any intellectual property rights that you hold in that content.,You still own the rights to the content you create and post on the service.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The company can change, stop, or end your use of the service at any time, especially if you break the rules or cause potential problems or legal issues."
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction.,Your personal data could be part of a sale or transfer if there's a business change like bankruptcy or a financial deal.
"We are not responsible for examining or evaluating the content or accuracy and we do not warrant and will not have any liability or responsibility for any third-party materials or websites, or for any other materials, products, or services of third-parties.","The service isn't responsible for checking or ensuring the accuracy of content, nor will it be liable for any third-party content, websites, products, or services."
We do not warrant that the results that may be obtained from the use of the service will be accurate or reliable.,The company doesn't promise that the outcomes from using the service will be correct or dependable.
"The service and all products and services delivered to you through the service are (except as expressly stated by us) provided 'as is' and 'as available' for your use, without any representation, warranties or conditions of any kind, either express or implied, including all implied warranties or conditions of merchantability, merchantable quality, fitness for a particular purpose, durability, title, and non-infringement.","The service and anything you get from it are given ""as is"" and without any kind of guarantee, unless we've said otherwise."
"In no case shall Campfire Technology LLC, our directors, officers, employees, affiliates, agents, contractors, interns, suppliers, service providers or licensors be liable for any injury, loss, claim, or any direct, indirect, incidental, punitive, special, or consequential damages of any kind.",In no situation will the company or its workers be held accountable for any sort of damage or loss resulting from your use of the service.
"You agree to indemnify, defend and hold harmless Campfire Technology LLC and our partners from any claim or demand, including reasonable attorneys’ fees, made by any third-party due to or arising out of your breach of these terms of service.","If someone makes a claim against the service because you broke these terms, you have to cover any costs, including legal fees."
We reserve the right to refuse service to anyone for any reason at any time.,"The company can refuse to provide its service to anyone at any moment, for any reason."
You agree that it is your responsibility to monitor changes to our site.,You are responsible for keeping track of any changes to the service's terms.
These terms of service are effective unless and until terminated by either you or us.,These terms will stay in effect unless you or the service decides to end them.
"We reserve the right, at our sole discretion, to update, change or replace any part of these terms of service by posting updates to our website.",The service can update or change these terms whenever it wants by posting them on their website.
The headings used in this agreement are included for convenience only and will not limit or otherwise affect these terms of service.,The titles in this agreement are just for ease of reading and don't affect the terms themselves.
