text,highlighted
"Producer rewards metacafe is no longer accepting videos into the producer reward program and is terminating the producer rewards program with respect to previously accepted videos on june 30, 2009. espn content the web site includes content that is provided to metacafe by espn.",0
"Last updated: october 3, 2012. all rights reserved.",0
Metacafe reserves the right to revoke these exceptions either generally or in specific cases.,0
"Conditions, together with the privacy policy at privacy policy and any other legal notices published by metacafe on the web site, shall constitute the entire agreement between you and metacafe concerning the web site.",0
Conditions. you retain all of your ownership rights in your user submissions.,0
"If you are under 13 years of age, then please do not use the web site-there are lots of other great web sites for you.",0
This defense and indemnification obligation will survive these terms &amp.,0
And (ii) you have the written consent and/or permission of each and every identifiable individual person in the user submission to use their name or likeness as contemplated by the web site and these terms &amp.,0
"You are solely responsible for the activity that occurs on your account, and you must keep your account password secure.",1
"By using the web site, you expressly release metacafe from any and all liability arising from your use of any third-party website.",0
Metacafe has complete discretion over whether to display your user submission on the web site. you shall be solely responsible for your own user submissions and the consequences of posting or publishing them.,0
"You understand that whether or not such user submissions are published, metacafe does not guarantee any confidentiality with respect to any user submissions.",0
Home latest popular trending categories art animation comedy cool commercials cooking entertainment how to music &amp.,0
"&lt;div style=""display:none;""&gt.",0
"End-user agrees that espn, the walt disney company, and their subsidiary and affiliated companies and each of their respective officers, directors, employees, agents and assigns will not be held liable for any delays, inaccuracies, errors, or omissions in the espn content or in the transmission or delivery of all or any part of the espn content, or for any damages arising from any of the foregoing. warranty disclaimer you agree that your use of the web site shall be at your sole risk.",0
You must notify metacafe immediately of any breach of security or unauthorized use of your account.,0
"Conditions is deemed invalid by a court of competent jurisdiction, the invalidity of such provision shall not affect the validity of the remaining provisions of these terms &amp.",0
Tech sports travel &amp.,0
"If you believe that your content has been copied in a way that constitutes copyright infringement, please provide metacafeâs copyright agent the following information: (i) a physical or electronic signature of a person authorized to act on behalf of the owner of an exclusive right that is allegedly infringed. (ii) identification of the copyrighted work claimed to have been infringed, or, if multiple copyrighted works at a single online site are covered by a single notification, a representative list of such works at that site. (iii) identification of the material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled, and information reasonably sufficient to permit the service provider to locate the material.",0
Wings other 18+ only fashion log in / sign up latest popular trending categories art animation comedy cool commercials cooking entertainment how to music &amp.,0
"You agree not to solicit, for commercial purposes, any users of the web site with respect to their user submissions (as defined below). metacafe has the right to terminate your access to the web site, in its sole discretion, immediately and with or without cause. intellectual property rights the content on the web site, including all user submissions, including without limitation, the text, software, scripts, graphics, photos, sounds, music, videos and interactive features (""content"") and the trademarks, service marks and logos contained therein (""marks""), are owned by or licensed to metacafe.",0
"And (ii) the web site shall be deemed a passive web site that does not give rise to personal jurisdiction over metacafe, either specific or general, in jurisdictions other than the state of california.",0
Conditions will signify your assent to and acceptance of its revised terms.,0
Any claim or dispute between you and metacafe that arises in whole or in part from the web site or these terms &amp.,0
"Conditions, which shall remain in full force and effect.",1
If any provision of these terms &amp.,0
Events people &amp.,0
(v) you will not disrupt servers or networks connected to the web site.,0
"(iv) your violation of any third party right, including without limitation any copyright, property, publicity or privacy right.",1
"Conditions shall be deemed a further or continuing waiver of such term or any other term, and a party's failure to assert any right or provision under these terms of use shall not constitute a waiver of such right or provision.",1
Animals science &amp.,0
"Otherwise, such cause of action is permanently barred.",1
You will be liable for any use made of your account or password and the losses of metacafe or others due to such unauthorized use.,0
"You may notify metacafe to remove the user submission from the web site, and metacafe will do so within a reasonable time period, at which point the foregoing license to metacafe will terminate other than with respect to usages by metacafe prior to such removal. you also hereby grant each user of the web site or other viewer of the user submission a non-exclusive right to use, reproduce, distribute, prepare derivative works of, display and perform such user submissions, all for non-commercial and personal use. you agree that you will not: (i) submit material that is copyrighted, protected by trade secret or otherwise subject to third party proprietary rights, including privacy and publicity rights, unless you are the owner of such rights or have permission from their rightful owner to post the user submission and to grant metacafe all of the license rights granted herein.",0
Your use of the web site following any amendment of these terms &amp.,0
"(iii) you will not send unsolicited or unauthorized advertisements, spam, chain letters, etc., (iv) you will not transmit any content which contains software viruses, or other harmful computer code, files or programs.",0
"You agree not to circumvent, disable or otherwise interfere with security-related features of the web site or features that prevent or restrict use or copying of any content or enforce limitations on use of the web site. user submissions the web site facilitates the submission of videos or other content by you and other users (""user submissions"") and the hosting and publishing of such user submissions.",0
"Content on the web site is provided to you ""as is"" for your information and personal use only and may not be used, copied, distributed, transmitted, broadcast, displayed, sold, licensed, reverse engineered, de-compiled, or otherwise exploited for any other purposes whatsoever without metacafeâs prior written consent.",0
"&lt;img src=""//pixel.quantserve.com/pixel/p-81loej2n3pmz2.gif"" border=""0"" height=""1"" width=""1"" alt=""quantcast""/&gt.",0
"To the fullest extent permitted by law, metacafe, its officers, directors, employees, and agents disclaim all warranties, express or implied, in connection with the web site and your use thereof.",0
If you do not agree to these terms &amp.,0
You may never use another individual or entityâs account without that individual or entityâs permission.,0
Conditions.,1
Stories pets &amp.,0
"(ii) you will not copy, distribute or modify any part of the web site without metacafeâs prior written authorization.",0
"Metacafe will not be liable for your losses caused by any unauthorized use of your account. you agree not to use or launch any automated system, including without limitation, ""robots,"" ""spiders,"" and ""offline readers,"" that accesses the web site in a manner that sends more request messages to the metacafe servers in a given period of time than a human can reasonably produce in the same period by using a conventional on-line web browser.",0
