Highlighted Clause,Plain Language Summary
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction.,Your personal information might be transferred or sold if the company goes through financial changes like bankruptcy.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The company can end or change your service at any time, especially if you break the rules or cause problems."
"We shall own exclusive rights, including all intellectual property rights, and shall be entitled to the unrestricted use and dissemination of these submissions for any lawful purpose, commercial or otherwise, without acknowledgment or compensation to you.",Anything you submit can be freely used by the company without paying or giving you credit.
"You will alert you about any changes by updating the “last updated” date of these terms of use, and you waive any right to receive specific notice of each such change.","The company will let you know about changes to the terms by updating the ""last updated"" date, and you won't get a special notice every time."
"To the fullest extent permitted by law, we disclaim all warranties, express or implied, in connection with the site and your use thereof, including, without limitation, the implied warranties of merchantability, fitness for a particular purpose, and non-infringement.",The company doesn't guarantee that everything will work perfectly or that it's suitable for certain uses.
It is your responsibility to periodically review these terms of use to stay informed of updates.,You should keep checking the terms yourself to stay up to date.
"We reserve the right, in our sole discretion, to make changes or modifications to these terms of use at any time and for any reason.",The company can change these terms whenever and for whatever reason they want.
"We reserve the right to change, revise, update, suspend, discontinue, or otherwise modify the site at any time or for any reason without notice to you.","The company can adjust, stop, or modify the website anytime without telling you."
The information provided on the site is not intended for distribution to or use by any person or entity in any jurisdiction or country where such distribution or use would be contrary to law or regulation or which would subject us to any registration requirement within such jurisdiction or country.,Don't use this site in places where it's not allowed or where the company would have to register.
"If you access the site from any other region of the world with laws or other requirements governing personal data collection, use, or disclosure that differ from applicable laws in Germany, then through your continued use of the site, you are transferring your data to Germany, and you agree to have your data transferred to and processed in Germany.","If you're outside Germany and the rules on personal data are different where you are, by using this site, you're agreeing to have your data handled according to German laws."
"Governing law these conditions are governed by and interpreted following the laws of Germany, and the use of the United Nations Convention of Contracts for the International Sale of Goods is expressly excluded.","Any legal issues will be dealt with using German law, not international sales laws."
"Intellectual property rights unless otherwise indicated, the site is our proprietary property and all source code, databases, functionality, software, website designs, audio, video, text, photographs, and graphics on the site (collectively, the “content”) and the trademarks, service marks, and logos contained therein (the “marks”) are owned or controlled by us or licensed to us, and are protected by copyright and trademark laws and various other intellectual property rights and unfair competition laws of the United States, international copyright laws, and international conventions.","All the stuff on the site, like the code, images, and logos, belong to the company or are used by them legally, and are protected by copyright laws."
"Limitations of liability in no event will we or our directors, employees, or agents be liable to you or any third party for any direct, indirect, consequential, exemplary, incidental, special, or punitive damages, including lost profit, lost revenue, loss of data, or other damages arising from your use of the site, even if we have been advised of the possibility of such damages.",The company won't be responsible for any money you lose or other bad stuff that happens because you used the site.
We reserve the right to remove or reclaim any usernames or content if we think they're offensive or inappropriate.,The company can delete or take back your username or posts if they decide they're not okay.
"These terms of use are subject to change, and we might not always update the information on our site.","The terms can be updated, and there's no promise that all the info on the site will always be current."
Disclaimer the site is provided on an as-is and as-available basis.,The service is given with no guarantees and only when available.
We reserve the right to change or cancel services and to refuse service to anyone.,"The company can change, end, or deny services to anyone."
"By using the site, you are agreeing to all these rules, so if you don't agree, you shouldn't use the site.","If you use the site, you're automatically agreeing to follow these rules; if not, you can't use the site."
