Highlighted Clause,Plain Language Summary
"If you do stop using a service, we'd appreciate knowing why so that we can continue improving our services.",The service provider is interested in feedback when you stop using their service to improve it further.
These terms are in no way intended to restrict those rights.,The terms are designed not to limit user rights that are already provided by law.
"You're responsible for what you do with your Google account, including taking reasonable steps to keep your Google account secure.",Users are responsible for their actions related to their Google account and should take steps to keep it secure.
Google reserves the right to suspend or terminate your access to the services or delete your Google account if any of these things happen: you materially or repeatedly breach these terms.,Google may suspend or terminate your account if you significantly or repeatedly violate the terms.
If we're required to do so to comply with a legal requirement or a court order.,Google may suspend or terminate your account to comply with legal requirements or court orders.
"We reasonably believe that your conduct causes harm or liability to a user, third party, or Google.",Google may terminate your account if your actions are harmful to others or bring liability to Google.
"If you believe your Google account has been suspended or terminated in error, you can appeal.",You can appeal if you think your account was wrongly suspended or terminated.
This license lasts for as long as your content is protected by intellectual property rights.,Google's license to use your content lasts as long as it's protected by intellectual property rights.
"If you remove from our services any content that's covered by this license, then our systems will stop making that content publicly available in a reasonable amount of time.","If you delete your content under Google's license, it will be removed from public access after some time."
"Although we give you permission to use our services, we retain any intellectual property rights we have in the services.",Google allows you to use its services while holding onto their intellectual property rights.
"This analysis occurs as the content is sent, received, and when it is stored.","Google analyzes your content for various purposes when it's sent, received, and stored."
"We want to maintain a respectful environment for everyone, which means you must follow these basic rules of conduct.",Users are expected to follow basic conduct rules to maintain a respectful environment on Google's services.
"If we act on a report of abuse, we also provide a fair process as described in the taking action in case of problems section.",Google provides a fair process when taking action based on an abuse report.
"If we make material changes that negatively impact your use of our services or if we stop offering a service, we'll provide you with reasonable advance notice.",Google will give you advance notice if there are significant changes to services or if a service is discontinued.
"You may not copy, modify, distribute, sell, or lease any part of our services or software, unless laws or permissions allow.","You are not allowed to copy, change, or sell any part of Google's services or software without permission, unless the law allows it."
Google's total liability arising out of or relating to these terms is limited to the greater of (1) €500 or (2) 125% of the fees that you paid to use the relevant services in the 12 months before the breach.,"Google's responsibility for any legal claims related to these terms is capped at €500 or 125% of what you paid them in the past year, whichever is more."
