Highlighted Clause,Plain Language Summary
You can cancel automatic subscription renewals at any time according to the terms and procedures described above.,You have the right to cancel your subscription renewal whenever you want by following the instructions provided.
You also agree to maintain the security and confidentiality of your password (or else we may need to disable your account).,"It's your responsibility to keep your password safe. If it's compromised, your account might be disabled."
9.4 arbitration opt out. you may decline to resolve disputes through arbitration by emailing us at arbitration-opt-out@meetup.com within 30 days of the date you first agree to this agreement.,You can choose not to participate in arbitration for resolving disputes by emailing within 30 days of agreeing to the terms.
"If the payment method cannot be verified, is invalid, or is otherwise not acceptable to us, your payment may be suspended or cancelled.","If your payment method is not valid or not acceptable, your payment may be stopped or cancelled."
"When the platform uses third party services to provide certain features and services for our members, our members may be required to comply with the terms of service that apply to these features and services.","If the platform uses outside services, you must follow the terms of service for those specific services."
"8.2 limitation of liability. to the full extent permitted by applicable law, you agree that in no event shall any meetup parties be liable for any direct, indirect, incidental, special, or consequential damages, including but not limited to, damages for loss of profits, goodwill, use, data, or other intangible losses.","The platform’s liability is limited, and they cannot be held responsible for various types of damages or losses, including lost profits or data."
11.2 revisions to this agreement. we may modify this agreement from time to time.,"The terms of service can be changed, and if they are, you will be notified."
"9.2 arbitration agreement. the arbitration procedures described in this section 9.2 applies to all members, except for members who are based in the european union.","Except for EU members, all disputes should be resolved by arbitration, not in court."
3.4 automatic subscription renewals. fees for certain aspects of our platform may be billed on either a recurring basis or on a one-time basis.,"Some platform features may cost a fee, which can be charged on a recurring or one-time basis."
"We reserve the right to initiate refunds of fees paid to organizers, when appropriate, even in cases of fees paid through a third-party payment service.","The platform may refund fees paid to event organizers, even if a third-party service was used."
"11.12 termination. if we terminate your account or access to our platform, this agreement terminates with respect to the member account that has been terminated.","If your account or access is terminated, the agreement ends regarding your terminated account."
