Highlighted Clause,Plain Language Summary
crain may change the terms in this agreement at any time.,Crain reserves the right to modify this agreement at any moment.
"This agreement is personal to you, and you may not assign your rights or obligations to anyone.",This agreement is strictly between you and Crain and you can't transfer your rights or responsibilities to someone else.
"Neither crain, nor any of its agents or licensors shall be liable to you or anyone else for any loss or injury caused in whole or part by its negligence or contingencies beyond its control.",Crain isn't responsible for any losses or injuries caused by their negligence or unpredictable events that are out of their control.
"In no event will crain, its agents or licensors be liable to you or anyone else for any decision made or action taken by you in reliance on such information or for any consequential, special or similar damages, even if advised of the possibility of such damages.","Crain won't be held responsible for any decisions or actions you take based on the information they provide, nor for any consequential or special damages, regardless of whether they warned you of the possibility of such damages."
"You agree that the liability of crain, its agents and licensors, if any, arising out of any kind of legal claim in any way connected with the service shall not exceed the amount that you paid to crain for use of the service.","If you take legal action against Crain related to their service, any potential compensation would be limited to the amount you have paid Crain for the service."
"You agree to not post material that: contains vulgar, profane, abusive or hateful language, inflammatory attacks of any kind, or expressions of bigotry, racism, discrimination or hate.","You must not post any content on the service that is vulgar, abusive, hateful, inflammatory, bigoted, racist, discriminatory, or promotes hate."
"Crain reserves the right to delete or edit any of your comments or content at any time, for any reason, but has no obligation to review or remove any such comments or content.",Crain can remove or edit your comments or content anytime for any reason but does not have to monitor or delete any content.
"Your failure to follow this agreement may result in termination of your access to the service, without notice and in addition to any other remedies available to crain.","If you violate this agreement, Crain can terminate your access to the service without warning, alongside any other legal actions they may take."
"Crain reserves the right to disclose any information about you to comply with laws, operate systems properly, protect property or rights, and to safeguard the interests of others.","Crain may share your information to comply with the law, ensure their systems function correctly, protect their own or others' rights and interests."
"When material portions of the terms are changed, crain will notify you by posting a notice on the service, and the changes will appear in this document.","If there are significant changes to these terms, Crain will inform you by posting a notice within the service, and the modifications will be updated in this document."
"Crain may discontinue or change the service, or its availability to you, at any time without notice.","Crain can stop or change the service, or your access to it, at any time and without prior notice."
"The privacy policy and this agreement are, together, the complete and entire agreement between you and crain.",This agreement and the privacy policy constitute the full agreement between you and Crain.
