Highlighted Clause,Plain Language Summary
"Stack Overflow reserves the right, at its discretion, to modify these public network terms at any time by posting revised public network terms on the public network and by providing notice via e-mail, where possible, or on the public network.",Stack Overflow may change their Terms of Service whenever they want and will notify users by email or on their website.
"Mandatory arbitration you agree that with respect to all disputes between you and Stack Overflow or its affiliates or its officers, directors, or employees (whether or not such dispute involves a third party) with regard to your relationship with us, including without limitation disputes relating to these public network terms, your use of the network or services, and/or rights of privacy and/or publicity, you and Stack Overflow shall first consult with each other to attempt to resolve such dispute in a manner satisfactory to both parties, and that if a resolution is not reached within ninety (90) days, then the dispute shall be referred to and resolved by binding arbitration under JAMS, Inc.âs rules for arbitration of consumer-related disputes and you and we hereby expressly waive trial by jury.","If you have a dispute with Stack Overflow, you need to try to work it out directly within 90 days. If you can't resolve it, the dispute will go into binding arbitration, not court, and you waive your right to a jury trial."
"You will indemnify and hold Stack Overflow, its directors, officers, employees, agents, consultant, contractors, partners, vendors and service providers (including, without limitation, hosting and telecommunications providers) harmless, including costs and attorneysâ fees, from any claim or demand made by any third party due to or arising out of your access to the public network, use of Stack Overflow products or services made available on the public network, your violation of this agreement, or your infringement or any third party using your account, of any intellectual property right.","You agree to protect Stack Overflow against any legal claims related to your use of their service, your breaking the agreement, or your infringement of someone else's rights."
"Stack Overflow reserves the right to refuse, suspend or terminate your access to the public network if it determines, in its sole discretion, that you have in any way violated these public network terms or are otherwise ineligible to access or use the network or services.",Stack Overflow can block your access to their services if they think you've broken their rules or are not allowed to use their services for some reason.
"Assignment and jurisdiction Stack Overflow reserves the right to assign our rights and obligations under these public network terms (in whole or in part) without your consent to a corporate affiliate, or in connection with a merger, acquisition, corporate restructure or reorganization, or due to the sale of all or substantially all of our assets. These public network terms will be governed by and construed in accordance with the applicable laws of the state of New York, without giving effect to the principles of that state regarding conflicts of laws.",Stack Overflow can transfer their agreement with you to another business without your permission. This agreement is controlled by the laws of New York State.
"Subscriber content you agree that any and all content, including without limitation any and all text, graphics, logos, tools, photographs, images, illustrations, software or source code, audio and video, animations, and product feedback (collectively, âcontentâ) that you provide to the public network (collectively, âsubscriber contentâ), is perpetually and irrevocably licensed to Stack Overflow on a worldwide, royalty-free, non-exclusive basis pursuant to Creative Commons licensing terms (CC BY-SA 4.0), and you grant Stack Overflow the perpetual and irrevocable right and license to access, use, process, copy, distribute, export, display and to commercially exploit such subscriber content, even if such subscriber content has been contributed and subsequently removed by you.","Anything you post on Stack Overflow can be used by them forever without paying you. They can copy it, share it, and even make money from it, even if you take it down later."
"You agree that regardless of any statute or law to the contrary, any claim or cause of action arising out of, related to or connected with the use of the public network or these public network terms must be filed within one (1) year after such claim of action arose or be forever banned.","You have only one year to bring any legal claims against Stack Overflow after a problem occurs, or you lose the right to do so."
Neither you nor we will participate in a class action or class-wide arbitration for any claims covered by this agreement to arbitrate.,You can't join a group (class action) lawsuit or arbitration against Stack Overflow regarding this agreement.
You are solely responsible for ensuring that such equipment or ancillary services are compatible with the services and network.,It's your job to make sure your equipment works with Stack Overflow's services.
"FREE 30 DAY TRIAL Teams Q&A for work Stack Overflow for Teams is a private, secure spot for you and your coworkers to find and share information.",Stack Overflow offers a 30-day free trial for their Teams feature.INTERESTING FACT:implies related trial terms and conditions which should be reviewed for additional details.
"You are solely responsible for ensuring that your payment obligations, if any, remain current and not in arrears.",You must make sure that you pay for any paid services on time.
"Limitation of liability to the maximum extent permitted by law, Stack Overflow and its affiliates shall not be liable under contract, tort, strict liability, negligence or any other legal or equitable theory with respect to the network or services (i) for any indirect, incidental, special, consequential or punitive damages, or any loss of data, opportunities, reputation, profits or revenues, or (ii) for any direct damages in excess of one hundred dollars ($100) in the aggregate, even if Stack Overflow or its affiliates have been told of the possibility of such damage, and even if these remedies fail their essential purpose.","Stack Overflow won't have to pay more than $100 in damages for any problems caused by their service, even if they knew there could be issues."
"Notices unless otherwise specified in these public network terms, all notices under these public network terms will be in writing and will be deemed to have been duly given when received, if personally delivered or sent by certified or registered mail, return receipt requested.","If Stack Overflow needs to give you official notice, they will send it in writing and it counts when you get it."
