text,highlighted
"You have controls over the types of ads and advertisers you see, and the types of information we use to determine which ads we show you.",0
This license is only for the purpose of making our products available to you.,0
"What you can share and do on facebook we want people to use facebook to express themselves and to share content that is important to them, but not at the expense of the safety and well-being of others or the integrity of our community.",0
See section 2 below to learn more.,0
"These terms govern your use of facebook, messenger, and the other products, features, apps, services, technologies, and software we offer (the facebook products or products), except where we expressly state that separate terms (and not these) apply.",0
"To help advance this mission, we provide the products and services described below to you: provide a personalized experience for you: your experience on facebook is unlike anyone else's: from the posts, stories, events, ads, and other content you see in news feed or our video platform to the pages you follow and other features you might use, such as trending, marketplace, and search.",0
In case of intent.,0
"As a result, we may need to update these terms from time to time to accurately reflect our services and practices.",0
"We use the data we have - for example, about the connections you make, the choices and settings you select, and what you share and do on and off our products - to personalize your experience.",0
"""essential"" obligations in this sense are obligations necessary for the fulfillment of the agreement, the breach of which would jeopardize the purpose of the agreement in question, and which you can trust to be complied with.",0
"You are a convicted sex offender. we've previously suspended or terminated your account for breaches of our terms or policies. you are prohibited from receiving our products, services, or software under applicable laws. 2.",0
The services we provide our mission is to give people the power to build community and bring the world closer together.,0
You can end this license any time by deleting your content or account.,0
"If a dispute does arise, however, it's useful to know up front where it can be resolved and what laws will apply.",0
Additional provisions 1.,0
"Empower you to express yourself and communicate about what matters to you: there are many ways to express yourself on facebook and to communicate with friends, family, and others about what matters to you - for example, sharing status updates, photos, videos, and stories across the facebook products you use, sending messages to a friend or several people, creating events or groups, or adding content to your profile.",0
"By using our products, you agree that we can show you ads that we think will be relevant to you and your interests.",0
The permissions you give us4.,0
"We use your personal data, such as information about your activity and interests, to show you ads that are more relevant to you.",1
"Enable global access to our services: to operate our global service, we need to store and distribute content and data in our data centers and systems around the world, including outside your country of residence.",0
"In exchange, we need you to make the following commitments: 1. who can use facebook when people stand behind their opinions and actions, our community is safer and more accountable.",0
Disputes we try to provide clear rules so that we can limit or hopefully avoid disputes between you and us.,0
Return to top 4.,0
We donât share information that directly identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are) unless you give us specific permission.,0
Ads like this can be seen only by people who have your permission to see the actions you've taken on facebook.,0
"Provide consistent and seamless experiences across the facebook company products: our products help you find and connect with people, groups, businesses, organizations, and others that are important to you.",0
Section 2 below explains this in more detail.,0
3.,0
"You are free to share your content with anyone else, wherever you want.",1
And we develop automated systems to improve our ability to detect and remove abusive and dangerous activity that may harm our community and the integrity of our products.,0
A termination for good cause is possible only within a reasonable time frame after becoming aware of the violation.,0
Your commitments to facebook and our community 1. who can use facebook2.,0
Combat harmful conduct and protect and support our community: people will only build community on facebook if they feel safe.,0
"We allow advertisers to tell us things like their business goal, and the kind of audience they want to see their ads (for example, people between the age of 18-35 who like cycling).",1
"For example, technology like this helps people who have visual impairments understand what or who is in photos or videos shared on facebook or instagram.",0
"Network enforcement act (""netzdg"") &amp.",0
"Stronger ties make for better communities, and we believe our services are most useful when people are connected to people, groups, and organizations they care about.",0
Other 5.,0
"For example, we may show your friends that you are interested in an advertised event or have liked a page created by a brand that has paid us to display its ads on facebook.",0
Other these terms (formerly known as the statement of rights and responsibilities) make up the entire agreement between you and facebook ireland limited regarding your use of our products.,0
"Other terms and policies that may apply to you community standards: these guidelines outline our standards regarding the content you post to facebook and your activity on facebook and other facebook products. commercial terms: these terms apply if you also access or use our products for any commercial or business purpose, including advertising, operating an app on our platform, using our measurement services, managing a group or a page for a business, or selling goods or services. advertising policies: these policies specify what types of ad content are allowed by partners who advertise across the facebook products. self-serve ad terms: these terms apply when you use self-serve advertising interfaces to create, submit, or deliver advertising or other commercial or sponsored activity or content. pages, groups and events policy: these guidelines apply if you create or administer a facebook page, group, or event, or if you use facebook to communicate or administer a promotion. facebook platform policy: these guidelines outline the policies that apply to your use of our platform (for example, for developers or operators of a platform application or website or if you use social plugins). developer payment terms: these terms apply to developers of applications that use facebook payments. community payment terms: these terms apply to payments made on or through facebook. commerce policies: these guidelines outline the policies that apply when you offer products and services for sale on facebook. facebook brand resources: these guidelines outline the policies that apply to use of facebook trademarks, logos, and screenshots. music guidelines: these guidelines outline the policies that apply if you post or share content containing music on facebook. live policies: these policies apply to all content broadcast to facebook live. messaging services terms relevant for eu, eea and uk users: terms applicable to the messaging, voice and video calling services included in facebook products are listed here and here in accordance with eu rules. date of last revision: december 20, 2020",0
"If you use any of these products, you will be provided with an opportunity to agree to supplemental terms that will become part of our agreement with you.",0
Updating our terms2.,0
"You must obtain our written permission (or permission under an open source license) to modify, create derivative works of, decompile, or otherwise attempt to extract source code from us.",0
"We will only make any changes if the provisions are no longer appropriate or if they are incomplete, and only if the changes are reasonable for you in consideration of your interests.we will notify you (for example, by email or through our products) at least 30 days before we make changes to these terms and give you an opportunity to review them before they go into effect, unless the changes are required by law.",0
"You should know that, for technical reasons, content you delete may persist for a limited period of time in backup copies (though it will not be visible to other users).",0
"Facebook builds technologies and services that enable people to connect with each other, build communities, and grow businesses.",0
"This infrastructure may be operated or controlled by facebook, inc., facebook ireland limited, or its affiliates.",0
Harm our community of users.,0
They supersede any prior agreements. some of the products we offer are also governed by supplemental terms.,0
Account suspension or termination3.,0
These products are provided to you by facebook ireland limited.,0
"However, a time limit for remedy is not necessary if the other side refuses to fulfill their obligations seriously and with finality or if special circumstances justify an immediate termination, having weighed the interests of both parties.",0
We design our systems so that your experience is consistent and seamless across the different facebook company products that you use.,0
"We employ dedicated teams around the world and develop advanced technical systems to detect misuse of our products, harmful conduct towards others, and situations where we may be able to help support or protect our community.",0
"> not share your password, give access to your facebook account to others, or transfer your account to anyone else (without our permission). we try to make facebook broadly available to everyone, but you cannot use facebook if: you are under 13 years old.",0
Or where we are prohibited from doing so for legal reasons.,0
"If we remove content that you have shared for violation of our community standards weâll let you know and explain any options you have to request another review, unless you seriously or repeatedly violate these terms or if doing so may expose us or others to legal liability.",0
"Without limiting any of the above, we shall be liable for slight negligence only in the case of violation of an ""essential"" obligation under this agreement.",0
We share data with other facebook companies when we detect misuse or harmful conduct by someone using one of our products.,0
We then show their ad to people who might be interested .we also provide advertisers with reports about the performance of their ads to help them understand how people are interacting with their content on and off facebook.,0
Return to top 3.,0
Law enforcement officials may submit requests for information under the netzdg through the law enforcement online request system.,0
Where we are restricted due to technical limitations.,0
Updating our termswe work constantly to improve our services and develop new features to make our products better for you and our community.,0
"If you are a consumer and habitually reside in a member state of the european union, the laws of that member state will apply to any claim, cause of action, or dispute you have against us that arises out of or relates to these terms or the facebook products (""claim""), and you may resolve your claim in any competent court in that member state that has jurisdiction over the claim.",0
"Instead, businesses and organizations pay us to show you ads for their products and services.",0
Only your legacy contact or a person who you have identified in a valid will or similar document expressing clear consent to disclose your content upon death or incapacity will be able to seek disclosure from your account after it is memorialized. these terms do not confer any third-party beneficiary rights.,0
"All of our contractual rights and obligations under these terms are freely assignable by us in connection with a merger, acquisition, or sale of assets, or by operation of law or otherwise. you should know that we may need to change the username for your account in certain circumstances (for example, if someone else claims the username and it appears unrelated to the name you use in everyday life).",0
"Good cause is specifically if a party violates obligations under these terms, any laws, third party rights, or privacy policies, and the terminating party cannot be expected to continue the contractual relationship under consideration of all circumstances of the individual case and having weighed the interests of both parties up until the agreed time of termination or the expiry of a period of notice.",0
