Highlighted Clause,Plain Language Summary
"You agree that no reimbursement from airvpn is due if you decide to terminate the service before the natural expiration date, except under the cases in point 9.","You won't get a refund if you cancel the service early, unless specific conditions mentioned in section 9 apply."
"In case you are not satisfied with the commercial service, once you have subscribed you have the right to obtain a full reimbursement, provided that your request is sent within 30 business days since the subscription payment.","If you're unhappy with the service, you can get your money back if you ask for it within 30 business days of payment."
Air warrants a reimbursement within 30 days since date of reimbursement request receipt.,"Once you request a refund, the company promises to give it to you within 30 days of receiving your request."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","The company can change, pause, or stop your ability to use their services at any time for any reason."
"under no circumstances, including, but not limited to, negligence, will air or its affiliates, contractors, employees, agents, or third-party partners, licensors, or suppliers be liable for any special, indirect, incidental, consequential, punitive, reliance, or exemplary damages.","The company and its partners won't have to pay you for any kind of damages or losses you experience because of the service or these terms, even if it's due to their negligence."
"in no event will the total liability of air or its affiliates... to you for all damages, losses, and causes of action exceed the amount paid by you, if any, for accessing the service.",The most the company will have to pay you for any legal claim or damages is the amount you've actually paid for the service.
"if any provision of this agreement is held to be unlawful, void, or for any reason unenforceable, then that provision will be limited or eliminated from this agreement to the minimum extent necessary.","If any part of this agreement is found to be illegal or unenforceable, it will be changed or removed as little as necessary to fix the problem, without affecting the rest of the agreement."
You may terminate this agreement at any time by discontinuing use of all parts of the service.,You can end this agreement whenever you want by simply stopping to use the service.
"You agree to indemnify, save, and hold air, its affiliated companies... harmless from any claims, losses, damages, liabilities, including legal fees and expenses, arising out of your misuse of the service.","If your wrong use of the service leads to any legal problems, you promise to protect the company and its partners from any resulting damages, losses, or costs."
The right to be refunded is invalid if you have violated the terms of service and/or if you send the request after having used the service for more than 30 days.,You can't get a refund if you've broken the rules of these terms or if you've used the service for more than 30 days.
