Highlighted Clause,Plain Language Summary
By accepting these terms: (2) pursuit of enforcement actions through a government agency if the law allows.,"By agreeing to these terms, you acknowledge that, where permitted by law, you might face legal action taken by a government agency."
"Notwithstanding anything to the contrary herein, we may terminate or suspend access to the services based on your breach of these terms.",The service provider has the right to end or suspend your access to the services if you fail to comply with these terms.
"Informal resolution: if you have an issue that our customer support can’t resolve, prior to starting arbitration you and epic agree to attempt to resolve the dispute informally to help get us to a resolution and control costs for both parties.","Before seeking arbitration, you and the service provider agree to try and resolve disputes informally with the help of customer support to avoid costs."
Epic account balance funds are non-transferable to another person and do not accrue interest.,"Funds in your Epic account cannot be transferred to another person, and they don't earn interest."
"If your use of the epic account balance is subject to any sales or other taxes, then epic may also charge you for those taxes.","If there are any sales or other taxes applicable to your Epic account balance, Epic can charge you for these taxes."
Dispute resolution terms below apply to disputes arising solely under these terms and not to products or services governed by a eula.,"The dispute resolution conditions only apply to disagreements related to these terms, not to those concerning products or services that have a separate end-user license agreement (EULA)."
"If you are unsure whether the material or activity you are reporting is infringing, you may wish to contact an attorney before filing a notification with us.","If you're not certain that something is infringing copyright, consider consulting a lawyer before you report it to Epic."
Any dispute between you and epic is submitted to a neutral arbitrator (not a judge or jury) for fair and fast resolution.,Disputes between you and Epic should be resolved fairly and quickly by an impartial arbitrator rather than in court.
"Epic may exercise these rights at any time, without notice or liability to you or any third party.","Epic has the discretion to exercise its rights under these terms at any time without being liable to you or anyone else, and without giving notice."
Your continued use of the services following the posting of revised terms means that you accept and agree to the changes.,"If you keep using the services after new terms are posted, it means you have accepted the updates."
"You are legally and financially responsible for all actions using or accessing our software, including the actions of anyone you allow to access to your account.","You bear legal and financial responsibility for any use of Epic's software, including any use by someone whom you permit to access your account."
The convention on contracts for the international sale of goods will not apply.,International laws on the sale of goods won't affect these terms of service.
The services must not be framed on any other website or service.,You cannot frame the services within another website or service.
Our privacy policy explains what information we collect from you and how we protect it.,Epic's privacy policy details the types of information they collect from you and the measures they take to safeguard it.
"To the full extent permissible by law, epic will not be liable for any loss of profits or any indirect, incidental, punitive, special or consequential damages arising out of or in connection with this these terms.","Epic won't be held responsible for lost profits or any kind of indirect damages that may arise from agreeing to these terms, as long as it's within the scope of the law."
"You and Epic agree to waive any jurisdictional, venue, or inconvenient forum objections to such courts (without affecting either party’s rights to remove a case to federal court if permissible), as well as any right to a jury trial.","Both you and Epic waive the right to object to the venue of the courts mentioned in the terms, including the right to a trial by jury, though either party can move the case to federal court if allowed."
"The sole exception is that if the class action waiver is found invalid, unenforceable, or illegal, you and epic agree that it will not be severable.","The only exception to these terms is that if the provision stopping class actions is deemed not valid or enforceable, that specific provision will not be considered separate from the rest of the terms."
"Epic reserves the right to change, modify, or otherwise impose usage limits to your epic account balance at any time, in its sole discretion.","Epic has the authority to alter, adjust, or set limits on how you use your Epic account balance whenever they see fit."
