Highlighted Clause,Plain Language Summary
"Qualified may terminate your access to all or any part of the website at any time, with or without cause, with or without notice, effective immediately.","Qualified can end your access to their website immediately, for any reason, and without any warning."
"All provisions of this agreement which by their nature should survive termination shall survive termination, including, without limitation, ownership provisions, warranty disclaimers, indemnity and limitations of liability.","Certain parts of this agreement will still apply even after your access to the service is terminated, such as rules about who owns content and limitations on legal responsibility."
"The website is provided ""as is"".",The website is given to you with no guarantees or promises about its quality or availability.
"Qualified will not be liable for any acts or omissions by you, including any damages of any kind incurred as a result of such acts or omissions.",Qualified isn't responsible for any damages that result from your actions or failures to act when using the website.
"Qualified reserves the right, at its sole discretion, to modify or replace any part of this agreement.","Qualified can change any part of this agreement whenever they want, and it's up to them to decide if and when to do so."
"If you do not agree to all the terms and conditions of this agreement, then you may not access the website or use any services.",You must agree to all the terms if you want to use the website or any of its services.
You must immediately notify Qualified of any unauthorized uses of your account or any other breaches of security.,"If you notice any suspicious activity or security breaches related to your account, you must inform Qualified right away."
You are responsible for taking precautions as necessary to protect yourself and your computer systems.,You need to protect your own computer and data when using the website.
"In no event will Qualified, or its suppliers or licensors, be liable with respect to any subject matter of this agreement under any contract, negligence, strict liability or other legal or equitable theory for: (i) any special, incidental or consequential damages. (ii) the cost of procurement or substitute products or services. (iii) for interruption of use or loss or corruption of data.","Qualified and its partners will not be held responsible for any unusual, accidental, or consequential damages, or any costs for replacing products or services, or for any interruptions or loss of data that occur during the use of the website."
The foregoing shall not apply to the extent prohibited by applicable law.,The limits on responsibility mentioned above may not apply if the law says they can't.
The website is available only to individuals who are at least 13 years old.,Only people who are 13 or older can use the website.
"All authored kata remain the IP of authors and contributors, with a license granted to Codewars, to maintain and advance the resource.",The original creators keep the intellectual property rights to their content but give Codewars permission to keep and improve the platform.
It is your responsibility to check this agreement periodically for changes.,You need to keep checking the agreement from time to time to stay updated on any changes.
"By operating the website, Qualified does not represent or imply that it endorses the material there posted, or that it believes such material to be accurate, useful or nonharmful.",Just because Qualified runs the website doesn't mean they support or approve of everything posted on it.
"Redistribution and use in source and binary forms, with or without modification, are permitted provided that the following conditions are met:","You can share and use the material on the website, with or without changes, but you have to follow certain rules when doing so."
