Highlighted Clause,Plain Language Summary
"You may not reproduce, distribute, publicly display or perform, or prepare derivative works based on any of the content including any such works without the express, written consent of DeviantArt or the appropriate owner of copyright in such works.","You cannot use, copy, or change any work found on DeviantArt without written permission from DeviantArt or the owner of the work's copyright."
DeviantArt has a firm commitment to safeguarding your privacy.,DeviantArt is dedicated to protecting your privacy.
"If you have registered as a member, we shall notify you of any material changes to these terms (and the effective date of such changes) by sending an email to the address you have provided to DeviantArt for your account.","If you're a registered member, DeviantArt will email you about any major changes to the terms of service."
"DeviantArt may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","DeviantArt can change, stop, or end your use of their services at any time, especially if you break the rules or cause problems."
No other commercial activities are permitted on or through the service without DeviantArt's written approval.,You cannot conduct any commercial activities on DeviantArt without their written consent.
In no event shall DeviantArt's aggregate liability to you exceed the amounts paid by you to DeviantArt pursuant to this agreement.,The most DeviantArt could have to pay you for any claims will not exceed the amount you have paid to DeviantArt under this agreement.
We can remove a group and the group's privileges at any time at our discretion.,DeviantArt can delete a group and its privileges whenever they decide to.
DeviantArt reserves the right to amend these terms from time to time in our sole discretion.,DeviantArt has the right to make changes to the terms of service when they choose to.
"If you continue to use the service after the effective date of the revised terms, you will be deemed to have accepted those changes.","If you keep using the service after new terms go into effect, it means you agree to those new terms."
"To register as a member of the service or purchase products, you must be 13 years or lawfully permitted to enter into and form contracts under applicable law.",You must be at least 13 years old or legally allowed to enter contracts to sign up as a member or buy products.
"DeviantArt disclaims all warranties, express or implied, including without limitation, implied warranties of merchantability, fitness for a particular purpose, and non-infringement, to the fullest extent permitted by law.",DeviantArt does not guarantee that the services will meet your specific needs or that they will never infringe on others' rights.
"DeviantArt is not liable for your defamatory, offensive or illegal conduct, or such conduct by third parties, and you expressly assume all risks and responsibility for damages and losses arising from such conduct.","DeviantArt is not responsible if you or others act in a defamatory, offensive, or illegal way, and you must handle any risks or losses that come from such behavior."
"You agree that DeviantArt may at any time, and without notice, suspend or terminate any part of the service, or refuse to fulfill any order, or any part of any order or terminate your membership and delete any content stored on the DeviantArt site, in DeviantArt's sole discretion, if you fail to comply with the terms or applicable law.","DeviantArt can stop the service, cancel orders, end your membership, and remove your content anytime without warning, especially if you don't follow the terms or the law."
These terms shall be governed by and construed in accordance with the laws of the state of California.,The terms of service are controlled and should be interpreted based on California law.
