Highlighted Clause,Plain Language Summary
You choose. the arbitrator (not a judge or jury) will resolve the dispute.,"You agree that any disputes will be settled by an arbitrator, rather than in court by a judge or jury."
We reserve the right to withdraw linking permission without notice.,The company can revoke your right to link to their services without any prior notice.
"Notwithstanding anything to the contrary herein, we may terminate or suspend access to the services based on your breach of these terms.",The company can end or suspend your access to the services if you break the terms of service.
The dispute resolution terms below apply to disputes arising solely under these terms and not to products or services governed by a eula.,"The dispute resolution rules outlined below apply only to disagreements that arise under these specific terms, not to products or services that are subject to a separate End User License Agreement (EULA)."
"Class action waiver: to the maximum extent permitted by applicable law, you and epic agree to only bring disputes in an individual capacity.",You agree not to be part of any class-action lawsuit and to only bring legal disputes as an individual.
"Further, to the full extent permissible by law, epic’s aggregate liability arising out of or in connection with these terms will not exceed the total amounts you have paid (if any) to epic under this agreement during the twelve (12) months immediately preceding the events giving rise to such liability.",The maximum amount the company could be required to pay you for any issues related to these terms is limited to what you have paid the company in the 12 months before the issue occurred.
"If you are refunded for an item purchased using epic account balance funds, epic will return the funds to your epic account balance.","If you get a refund for something bought with your Epic account balance, the money will go back into your Epic account balance."
"You agree to defend, indemnify, and hold harmless epic, its affiliates, and licensors, and their respective officers, directors, employees, contractors, agents, licensors, and suppliers from and against any claims, liabilities, damages, judgments, awards, losses, costs, expenses, or fees (including reasonable attorneys’ fees) resulting from your user contributions or violation of these terms.",You will protect the company and its related parties against any costs or damages that result from something you post or from your breaking the terms of service.
Binding individual arbitration: the arbitration proceedings in this section will be conducted on an individual basis only.,"You agree to resolve issues via arbitration, where claims will be dealt with on an individual basis, not as part of a group or class action."
You are also agreeing to other epic rules and policies that are expressly incorporated into and a part of these terms.,"By agreeing to these terms, you also agree to follow all of Epic's other rules and policies."
Your continued use of the services following the posting of revised terms means that you accept and agree to the changes.,"If you keep using the services after new terms are posted, it means you accept the new terms."
"Accessing the services and account security we may withdraw or amend the services, and any related service or content, or restrict access (including by means of cancellation, termination, or modification, or suspension of a user account) to all or certain users (including you) without notice and without liability to you in our reasonable discretion.","The company can change or end services, content, or your access, without notice and without being responsible for any impact this may have on you."
Epic account balance funds do not constitute a personal property right and have no value outside the services.,Money in your Epic account balance is not personal property and is worthless outside of Epic's services.
"Epic may also at its sole discretion limit access to the services and/or update, transfer, suspend, or terminate the accounts of any users who infringe the intellectual property rights of others, whether or not there is any repeat infringement.","The company can limit your service access or end your account if they think you are infringing on someone else's intellectual property rights, even if it's a first-time offense."
Epic takes no responsibility and assumes no liability for any content posted by you or any third party.,The company is not responsible or liable for anything you or others post using their services.
"Epic account balances that are deemed unclaimed property may be surrendered to the applicable authority, as required by applicable law.","If your Epic account balance is considered unclaimed, it may be given to the government according to law."
Disclaimers and limitation of liability nothing in these terms will prejudice the statutory rights that you may have as a consumer of the services.,The limitations and disclaimers in these terms do not affect the legal rights you have as a user of the services.
"We reserve the right to change your display name if we deem it offensive, misleading, potentially infringing the rights of third parties or if you have been inactive for more than a year.","The company can change your display name if it's inappropriate, misleading, might violate others' rights, or if you haven't used your account in over a year."
"You are responsible for all uses of your epic account balance, including all applicable taxes and all purchases made by you or anyone else using your epic account balance.","You are responsible for how your Epic account balance is used, including taxes and any purchases made by you or others with access to your account."
Arbitration is an alternative dispute-resolution procedure that allows us to resolve issues without the formality of going to court.,"Arbitration is a way of resolving disputes without going to court, which is usually simpler and faster."
You must immediately notify epic (via piracy@support.epicgames.com) of any unauthorized use of your user name or password or any other breach of security.,"If unauthorized use of your username or password occurs, or there's a security breach, you must tell Epic right away."
By accepting these terms: (2) pursuit of enforcement actions through a government agency if the law allows.,"By agreeing to these terms, you acknowledge that Epic might take legal action through government agencies where allowed by law."
"Any dispute or claim by you arising out of or related to these terms shall be governed by North Carolina law, exclusive of its choice of law rules.","Any legal claims or disputes you have related to these terms will be governed by the laws of North Carolina, regardless of conflict of laws principles."
