Highlighted Clause,Plain Language Summary
"If any provision of the terms is deemed unlawful, void, or unenforceable, that provision shall be deemed severable from our terms and shall not affect the enforceability of the remaining provisions.","If a court finds any part of the terms to be illegal or unable to be enforced, that part can be removed without affecting the rest of the terms."
"We may discontinue some or all of our services, including certain features and the support for certain devices and platforms, at any time.","The company has the right to stop offering all or part of its services, features, and support for certain devices at any time."
You are responsible for keeping your device and your session account safe and secure.,You must make sure your device and Session account stay safe and inaccessible to others.
The foregoing disclaimer of certain damages and limitation of liability will apply to the maximum extent permitted by applicable law.,The limits on the company’s responsibility for damages and liability are as great as the law allows.
"The laws of Australia govern our terms, as well as any disputes, whether in court or arbitration, which might arise between Session and you, without regard to conflict of law provisions.",Any disagreements or legal cases between you and Session will be governed by Australian law.
You may end these terms with Session at any time by deleting Session from your device and discontinuing use of our services.,You can terminate your agreement with Session at any time by removing the app and stopping the use of its services.
"We may modify, suspend, or terminate your access to or use of our services anytime for any reason, such as if you violate the letter or spirit of our terms or create harm, risk, or possible legal exposure for Session.","Session can change or end your access to their services at any time for any reason, especially if you break the rules or cause harm or legal risk."
"For the purpose of operating our services, you agree to our data practices as described in our privacy policy, as well as the transfer of your encrypted information to the service node network.","By using Session, you agree to their data usage policies and to your encrypted information being shared on their network."
"In order to enable new features and enhanced functionality, you consent to downloading and installing updates to our services.",You give permission to download and install updates to improve features and performance.
"Session’s license to you — Session grants you a limited, revocable, non-exclusive, and non-transferable license to use our services in accordance with these terms.",Session gives you permission to use their services in a limited way that can be taken back and you can't transfer it to anyone else.
"The laws of some states or jurisdictions may not allow the exclusion or limitation of certain damages, so some or all of the exclusions and limitations set forth above may not apply to you.","Depending on where you live, some or all of the limits on damages and liability might not apply."
"Our aggregate liability relating to, arising out of, or in any way in connection with our terms, us, or our services will not exceed ten dollars ($10).","The most Session will have to pay for anything related to their terms, themselves, or their services is ten dollars."
"Our services may allow you to access, use, or interact with third-party websites, apps, content, and other products and services.","Session lets you interact with other companies' websites, apps, and services."
"Availability of our services — our services may be interrupted, including for maintenance, upgrades, or network or equipment failures.","Session may have service interruptions due to maintenance, updates, or technical issues."
"When we update our terms, we will update the “last modified” date associated with the updated terms.",Session will indicate when the terms were last changed.
You are responsible for data and mobile carrier fees and taxes associated with the devices on which you use our services.,You have to pay for any data usage and taxes when using Session on your device.
You must use our services according to our terms and posted policies.,You have to follow Session's rules and policies when using their services.
"Resolving disputes — you agree to resolve any claim you have with us relating to or arising out of our terms, us, or our services exclusively in the state of Victoria, Australia.","Any legal issues with Session must be dealt with in Victoria, Australia."
Privacy of user data — Session does not sell or otherwise monetize your personal data or content in any way.,Session won’t sell or make money from your personal data or what you share.
Minimum age — you must be at least 13 years old to use our services.,You have to be 13 or older to use Session’s services.
"You agree to use our services only for legal, authorized, and acceptable purposes.",Only use Session legally and properly.
"We provide our services on an “as is” basis without any express or implied warranties, including, but not limited to, warranties of merchantability, fitness for a particular purpose, title, non-infringement, and freedom from computer virus or other harmful code.",Session doesn’t promise that their services meet any quality standard or that they’re safe from harmful code.
"The following provisions will survive termination of your relationship with Session: “licenses,” “disclaimers,” “limitation of liability,” “resolving dispute,” “availability” and “ending these terms,” and “general.”","Even if you stop using Session, certain parts of the terms, like limits on liability and how to handle disputes, will still apply."
Session may update the terms at any time.,Session can change the terms whenever they want.
You own the information you submit through our services.,You keep rights to the information you share on Session.
Our terms cover the entire agreement between you and Session regarding our services.,This document is the full deal between you and Session about their services.
"You agree to use our services only for legal, authorized, and acceptable purposes.",Use Session’s services legally and responsibly.
