Highlighted Clause,Plain Language Summary
Bitly does not warrant that the bitly services will be secure or available at any particular time or location.,Bitly does not guarantee that their services will always be safe or accessible at a specific time or place.
"Customer will not challenge the bitly marks, or bitly's ownership and title thereto, or the uspto application or registration thereof, either during or subsequent to the term of this agreement.",Users cannot dispute Bitly's trademarks or their ownership and registration with the US Patent and Trademark Office during or after their agreement.
And may suspend or terminate customer's access to the services without notice for violation of the agreement.,Bitly can stop or end a user's access to their services without warning if the user breaks the agreement.
"If customer does not remedy its non-compliance within five (5) business days, bitly reserves the right to suspend or terminate customer's use of the bitly services.","If a user does not fix a violation of the agreement within five business days, Bitly can suspend or end the user's access to their services."
Bitly may suspend or terminate the services if fees are past due.,Bitly can suspend or end services if the user fails to pay on time.
Customer shall not share access credentials to exceed the user limitations of the service tier customer has purchased.,Users are not allowed to give out their login details to more people than what their service plan allows.
"Bitly may monitor customer's use of the bitly services, including to ensure customer's compliance with this agreement.",Bitly has the right to check how users are using their services to make sure they are following the agreement.
"Bitly reserves the right to suspend customer's use of the bitly services without notice in the event that it believes, in good faith, the security of customer's bitly account has been compromised, or the customer's bitly account is being used for an unlawful purpose.",Bitly can immediately stop a user's access if it thinks the account security has been broken or is being used illegally.
"Bitly may update, refresh or change the manner of accessing the bitly services in its discretion.",Bitly can change the way their services can be accessed whenever they want.
"To the fullest extent permitted by law, customer agrees any customer claim or cause of action arising out of, related to or connected with the use of the bitly services, bitly link metrics or this agreement must be filed within one (1) year after such claim of action arose or be forever banned.","Users must bring up any legal claims within a year after the issue happens, or they will not be able to do so afterwards."
"Bitly reserves the right, in its sole discretion, to modify or replace this agreement at any time.",Bitly can change this agreement whenever it wants to.
"If not otherwise specified, payments will be due immediately.","Unless stated otherwise, users need to pay Bitly right away when billed."
Bitly has no control over third party materials.,Bitly is not responsible for any content that comes from someone else and is used on their platform.
"You and bitly agree that each may bring claims against the other only in your or its individual capacity, and not as a plaintiff or class member in any purported class or representative proceeding.","Users and Bitly can only sue each other as individuals, not as part of a group lawsuit."
"Any arbitration hearings will take place in the county (or parish) where you live, unless we both agree to a different location.",Legal hearings must happen where the user lives unless both parties agree on a different place.
Bitly disclaims any liability for any use or reliance on the bitly link metrics by customer and third parties.,Bitly is not responsible for how users or others use or depend on the statistics provided by Bitly's services.
"Customer hereby grants to bitly an irrevocable, perpetual, non-exclusive, sublicensable, transferable, royalty-free, worldwide license, to use, copy, import, display, reproduce, perform, distribute, create derivative works, alter or modify all URLs and other information provided by customer to bitly in connection with the provision, operation and promotion of the bitly services, creation of bitly link metrics and for other business purposes.","Users give Bitly permission to use, change, and share all the URLs and information they provide for any business-related activities."
"Bitly services are provided ""as is"" and ""as available"" without warranty of any kind, express or implied.",Bitly doesn't guarantee that their services will work perfectly or will always be available.
"If you do not agree to these terms, then you have no right to access or use the bitly services.","If a user doesn't accept the terms, they cannot use Bitly's services."
