Highlighted Clause,Plain Language Summary
"Remind may disable or terminate your access to the services or your account at any time, for any reason (for your violation of any term of this agreement or without cause), and without warning or notice, which may result in the forfeiture of all information associated with your account.","At any time and for any reason, including if you break the terms of the agreement or for no specific reason, Remind can shut down your account without warning, leading to the loss of any information linked to your account."
You may terminate your use of the services or your account at any time by deleting your account in your account settings tab or by contacting us at rmd.me/help.,You can choose to stop using Remind services and cancel your account whenever you want through your account settings or by reaching out for help at rmd.me/help.
"If you continue to use any service or feature after you have been notified of any applicable fees, that use constitutes your acceptance of any new or increased fees.","If Remind introduces or raises any fees for its services, your continued use of the services after being informed about the fees means you accept and agree to pay them."
"The services, content, and any software are provided on an ""as is"" basis, without warranties or conditions of any kind, either express or implied.","Remind provides its services, content, and software without making any specific guarantees or warranties about them."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","Remind reserves the right to change, pause, or completely stop your access to their services at any time and for any reason they see fit."
"All provisions of this agreement which, by their nature, should survive termination, will survive termination, including, without limitation, ownership provisions, warranty disclaimers, and limitations of liability.","Even if your account is terminated, certain parts of the agreement will still apply, such as rules about ownership, disclaimers about warranties, and limits on Remind's responsibility for damages."
"If you are dissatisfied with our services, we will discuss in arbitration to resolve any issues.","If you have a problem with Remind's services, they are willing to use arbitration to try to solve it."
"You will be responsible for obtaining and maintaining any equipment or ancillary services needed to connect to, access, or otherwise use the services.","You must have the necessary equipment and services, like a modem or internet connection, to use Remind, and it's your job to get and keep them working."
"We may suspend or discontinue any part of the services, or we may introduce new features, impose limits on certain features or restrict access to parts or all of the services at any time.","Remind can at any moment suspend parts of their services, stop them altogether, add new features, set limits, or restrict access to some or all parts of the services."
"This agreement is void where prohibited by law, and the right to access the services is revoked in such jurisdictions.","If local laws make this agreement invalid, then you lose the right to access Remind services where those laws apply."
"If you are dissatisfied with our services, we will discuss in arbitration to resolve any issues.","If you're unhappy with Remind's services, the issue can be resolved through arbitration rather than in court."
This agreement and any subsequent versions of this agreement posted to the services will be deemed a writing signed by both parties.,"By using Remind's services, it's like you and Remind have both signed this agreement, including any future updates posted to the service."
Remind reserves the right to charge fees for certain features.,Remind has the ability to start charging for specific features of their service.
