Highlighted Clause,Plain Language Summary
"If a court or the arbitrator decides that any of the provisions of subsection (b) above titled ""prohibition of class and representative actions and non-individualized relief"" are invalid or unenforceable, then the entirety of this arbitration agreement shall be null and void.","If a court or arbitrator finds that the rule against class action or collective lawsuits (and non-individualized relief) in the arbitration agreement is not valid, the whole arbitration agreement will be considered null."
"Getupside may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","Getupside can change or completely stop your access to their services for any reason, mostly if you break the rules or pose any risk or possible legal issues for them, their users, or others."
Your continued use of the service after the date any such changes become effective constitutes your acceptance of the new terms of service.,"If you continue to use the service after they've updated their terms and those updates have gone into effect, you are seen as having agreed to all the new terms."
"Arbitration procedures arbitration will be conducted by a neutral arbitrator in accordance with the American Arbitration Association’s (“AAA”) rules and procedures, including the AAA’s Supplementary Procedures for Consumer-Related Disputes (collectively, the “AAA Rules”), as modified by this arbitration agreement.","If there is a dispute, it will be settled by arbitration using the rules and procedures set by the American Arbitration Association, but adjusted by the specific rules of this service's arbitration agreement."
"If you are under 16 years of age, you are not authorized to use the service, with or without registering.","Users under the age of 16 are not allowed to use the service at all, whether they register or not."
"By subscribing, you consent to receive text messages describing the GetUpside app and service, links to download the GetUpside app and sign-up for the service, and other communications.","When you sign up for the service, you agree to get text messages about the app, including download links and instructions to sign up, along with other updates."
"Confidentiality all aspects of the arbitration proceeding, and any ruling, decision, or award by the arbitrator, will be strictly confidential for the benefit of all parties.","Everything about the arbitration process, including results and decisions, must be kept secret, for the privacy of everyone involved."
"Cash back rewards balances are loyalty and promotional credits which have no cash, monetary or other value until they are successfully redeemed pursuant to a valid distribution request made in accordance with these terms.",The cash back rewards you earn are just promotional and don't hold any real cash value until you properly ask to cash them out following the rules given.
Getupside reserves the right at any time in its sole discretion to establish a minimum distribution amount up to a maximum of $20 (“minimum distribution amount”).,"Getupside can decide to set a minimum amount you must have in rewards before you can cash out, which could be up to $20."
The referral program is only intended for referrals to friends and personal acquaintances.,"The referral program is meant for you to invite people you actually know, like friends and people you regularly interact with."
You must immediately notify GetUpside of any unauthorized use of your password or account or any other breach of security.,"If someone gets into your account or you notice any security issues, you need to tell GetUpside right away."
