Highlighted Clause,Plain Language Summary
"Ellation reserves the right, in its sole discretion, to remove any comments that it deems to be improper, inappropriate or inconsistent with the online activities that are permitted under these terms of use.",Ellation has the authority to delete any user comments it considers inappropriate or not in line with the allowed activities outlined in the Terms of Use.
You consent to the use of electronic means to complete these terms of use and to deliver any notices pursuant to these terms of use.,"By using the service, you agree to handle all terms and notifications electronically, such as via email or on the service's website."
Modifications to these terms of use or any policies will be posted on the site or made in compliance with any notice requirements set forth in these terms of use.,Changes to the Terms of Service or related policies will be communicated through the website or as described in the terms.
"By starting your Crunchyroll membership and providing or designating a payment method, you authorize us to charge you a monthly membership fee at the then current rate, and any other charges you may incur in connection with your use of the service to your payment method.","When you sign up for Crunchyroll and provide a payment method, you allow the service to charge you monthly fees and any other costs related to the service's use."
"If you cancel your membership, your account will automatically close at the end of your current billing period.","If you cancel your subscription, your account will remain active until the end of the current billing cycle."
Ellation's aggregate liability to you arising with respect to these terms of use will not exceed $50.,The maximum amount Ellation might be required to pay you for any issues arising from the Terms of Use is $50.
The service may provide links to websites other than crunchyroll.com. Ellation neither controls such websites nor endorses any of the material on any such websites or any association with their operators.,"Ellation is not responsible for the content on external websites linked from Crunchyroll, nor does it endorse them."
"Ellation will have no responsibility or liability for maintaining copies of user submissions on our servers, and you are solely responsible for creating back-ups of your user submissions.","Ellation is not obliged to keep copies of your uploaded content, so it's your responsibility to make backups."
"Ellation reserves the right to contact Crunchyroll members, in compliance with applicable law, in order to evaluate compliance with the rules and policies in these terms of use.","Ellation can reach out to users to ensure they are following the rules and policies described in the Terms of Use, as long as this is in line with the law."
"You agree to take reasonable precautions in all interactions with other Crunchyroll users, particularly if you decide to meet a Crunchyroll user offline, or in person.","You should use caution and good judgment when interacting with others on Crunchyroll, especially if you meet anyone in person."
"If the parties are unable to agree on a location, the determination will be made by the arbitration institution.","If there's a dispute over where arbitration should occur and both parties can't agree, the arbitration provider will make the decision."
Ellation reserves the right to require you to change your username for any reason and may do so at any time.,Ellation can ask you to change your username at any time and for any reason.
"Upon any termination or suspension, any content, materials or information (including user submissions) that you have submitted on the site or that which is related to your account may no longer be accessed by you.","If your account is suspended or terminated, you might not be able to access content or information you've submitted."
