Highlighted Clause,Plain Language Summary
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction.,"If the company undergoes a major financial change, like being sold or restructured, your personal information might be part of what's transferred to the new owners."
"We reserve the right to change, revise, update, suspend, discontinue, or otherwise modify the site at any time or for any reason without notice to you.","The company can make changes to their website or shut it down at any time, for any reason, and they don't have to let you know about it beforehand."
"To the fullest extent permitted by law, we disclaim all warranties, express or implied, in connection with the site and your use thereof.","The company is not making any promises about the website, including whether it will meet your needs or if everything on it is accurate."
"In no event will we or our directors, employees, or agents be liable to you or any third party for any direct, indirect, consequential, exemplary, incidental, special, or punitive damages.","The company and its staff won't have to pay you for any kind of damages or losses you might experience from using the site, even if they have been advised that such damages are possible."
"You agree that we shall have no liability to you for any loss or corruption of any such data, and you hereby waive any right of action against us arising from any such loss or corruption of such data.","The company isn't responsible if your data gets lost or messed up, and you can't sue them over it."
"We reserve the right, in our sole discretion, to make changes or modifications to these terms of use from time to time.","The company can change these terms of service whenever they want, and they will let you know by updating the date at the top of the document."
"Your contributions do not violate any applicable law, regulation, or rule.",Anything you post on the website needs to follow all laws and rules.
"By posting your contributions to any part of the site, you automatically grant, and you represent and warrant that you have the right to grant, to us an unrestricted, unlimited, irrevocable, perpetual, non-exclusive, transferable, royalty-free, fully-paid, worldwide right, and license to use your contributions in any way we see fit.","When you post something on the website, you're giving the company the right to use it however they want, all over the world, without paying you."
"We reserve the right to remove, reclaim, or change a username you select if we determine, in our sole discretion, that such username is inappropriate, obscene, or otherwise objectionable.","If the company decides your username is offensive or not okay for any reason, they can take it away or make you change it."
"If we terminate or suspend your account for any reason, you are prohibited from registering and creating a new account under your name, a fake or borrowed name, or the name of any third party.","If the company shuts down your account, you're not allowed to try to create a new one using any name, including fake names or someone else's identity."
"You will be subject to, and will be deemed to have been made aware of and to have accepted, the changes in any revised terms of use by your continued use of the site after the date such revised terms of use are posted.","If you keep using the site after they post updated terms of service, it means you're okay with the changes and you agree to follow them."
