Highlighted Clause,Plain Language Summary
"All information that you provide in connection with a purchase or transaction or other monetary transaction interaction with the service must be accurate, complete, and current.",You must provide correct and up-to-date information for any purchases or financial dealings with the service.
"If you access any third party website, service, or content from duolingo, you understand that these terms and conditions and our privacy policy do not apply to your use of such sites.",Duolingo's Terms of Service and Privacy Policy do not cover your use of third-party websites or services accessed through Duolingo.
Any revisions to these terms and conditions will become effective the earlier of (i) the end of such 7-day period or (ii) the first time you access or use the service after such changes.,"Changes to Duolingo's Terms of Service become valid either after 7 days or when you first use the service after those changes, whichever comes sooner."
"Access and use of the service may be unavailable during periods of peak demand, system upgrades, malfunctions or scheduled or unscheduled maintenance or for other reasons.","There might be times when you can't use Duolingo because of high user traffic, system updates, technical issues, or maintenance work."
Duolingo may assign its rights or obligations under these terms and conditions without condition.,Duolingo can transfer its rights or duties under these Terms of Service without any restrictions.
"If you initiate arbitration, your arbitration fees will be limited to the filing fee set forth in the jams rules.","If you start an arbitration process, you'll only have to pay the filing fees as per the rules of the arbitration provider JAMS."
"You further represent and warrant that you have created or own any material you submit via the service (including translation materials, course contributor materials, activity materials, and content).",You promise that any material you upload to Duolingo is your own work or you have the right to use it.
"inappropriate useYou will not upload, display or otherwise provide on or through the service any content that: (i) is libelous, defamatory, abusive, threatening, harassing, hateful, offensive or otherwise violates any law or infringes upon the right of any third party.","You must not post any content on Duolingo that is harmful, illegal, or infringes on someone else's rights."
"In-app purchasesIf you purchase an auto-renewing periodic subscription through the service, your Duolingo account will be billed continuously for the subscription until you terminate it as set forth below.","If you subscribe to a service on Duolingo that renews automatically, you'll be billed continuously until you cancel the subscription."
"Duolingoâs liability to you or any third party claiming through you for any cause whatsoever, and regardless of the form of the action, is limited to the amount paid, if any, by you to duolingo for the service in the 12 months prior to the initial action giving rise to liability.","If you have any issues with Duolingo, the most they'll have to compensate you is the amount you've paid them in the year before the issue arose."
"privacyUse of the service is also governed by our privacy policy, a copy of which is located at www.duolingo.com/privacy.","The way Duolingo uses your personal information is also described in their Privacy Policy, which you can find on their website."
"No class actionThese terms and conditions, its subject matter and duolingoâs and your respective rights under these terms and conditions, as well as and any claim, cause of action or dispute (âclaimâ) arising out of or related to these terms and conditions, shall be governed by and construed under the laws of the commonwealth of Pennsylvania, United States of America.","You can't participate in a class-action lawsuit against Duolingo; all legal issues will be handled individually under the laws of Pennsylvania, USA."
"By accessing or using any part of the service, you represent that you have read, understood, and agree to be bound by these terms and conditions including any future modifications.","When you use Duolingo, you're agreeing to both the current Terms of Service and any changes they make in the future."
Duolingo may revise the pricing for the goods and services offered through the service at any time.,Duolingo has the right to change the prices of their products and services whenever they want.
"Duolingo may, in its sole discretion and at any time, update, change, suspend, make improvements to or discontinue any aspect of the service, temporarily or permanently.","Duolingo can update, modify or stop any part of their service at any time, with or without notice."
"The provisions of these terms and conditions relating to the protection and enforcement of duolingoâs proprietary rights, your representations and warranties, disclaimer of representations and warranties, release and indemnities, limitations of liability and types of damages, ownership of data and information, governing law and venue, and miscellaneous provisions shall survive any such termination.","Certain parts of these terms—like Duolingo's rights, your promises to them, and limits on their responsibility to you—will still apply even if you or Duolingo end this agreement."
"Any dispute or claim relating in any way to these terms and conditions or the service will be resolved by binding arbitration, rather than in court.","If you have a disagreement with Duolingo that's covered by these terms, it will be settled by arbitration, not in court."
"Any translation of an existing Duolingo course you submit or have submitted and any new language course you submit or have submitted as a course contributor (collectively, âcourse contributor materialsâ) are owned by you.",You own the translations and new language courses you create for Duolingo.
"Duolingo and its suppliers make no representations or warranties of any kind with respect to the service, either express or implied.","Duolingo doesn't guarantee anything about the service, like its quality or how well it will work."
"Duolingo may terminate your access and use of the service immediately at any time, for any reason, and at such time you will have no further right to use the service.","Duolingo can block your access to the service at any time, for any reason, and you won't be able to use it after that."
"If we do this, we will post a notice that we have made changes to these terms and conditions on the websites for at least 7 days after the changes are posted and will indicate at the bottom of the terms and conditions the date these terms were last revised.","When Duolingo changes these terms, they'll let you know on their website for at least a week and update the 'last revised' date."
The arbitration will be conducted in the English language.,Any arbitration process will be carried out in English.
All rights of Duolingo or its licensors that are not expressly granted in these terms and conditions are reserved to Duolingo and its licensors.,Duolingo keeps all rights that are not specifically given away in these terms.
The payment method you provided will automatically be charged for the then-current subscription price.,The payment method you use for Duolingo will be automatically charged based on the current price of the subscription.
