Highlighted Clause,Plain Language Summary
"If you believe your child is using your account and does not have your permission, please contact us immediately so that we can disable access.","If you think your child is using your account without your permission, contact us right away to close the account."
"Disputes, arbitration, and choice of law if you are dissatisfied with our services for any reason, please contact us first so that we can try to resolve your concerns without the need for outside assistance.","If you're unhappy with the services, reach out to us first to try and fix the issue before seeking help from someone else."
"Any disputes relating to this agreement or your use of our services will be governed by the laws of New York State and the United States of America, without regard to principles of conflicts of law.","If you have any legal issues with the services or this agreement, they'll be dealt with under the laws of New York State and the U.S."
"If you fail to do so, Vimeo may terminate your account upon ten (10) days’ written notice.","If you break the rules, Vimeo can shut down your account after giving you a 10-day written warning."
"In any renewal, you must pay the full fee.","When your subscription renews, you have to pay the full amount for it."
"If requested after the appointment of the arbitrator, the arbitrator shall administratively close the arbitration so long as the proceedings are at an early stage and no hearing has occurred.","If you ask for it and no hearing has happened yet, the arbitrator can close the case."
No failure or delay by Vimeo in exercising any right will waive any further exercise of that right.,Just because Vimeo doesn't immediately act on their rights doesn't mean they can't act on them later.
"Neither party is an agent, partner, or joint venturer of the other.","Using Vimeo doesn't mean you work for, with, or own part of Vimeo."
"If you are a government entity in the U.S., our government entity addendum applies.",Special terms apply if you're a U.S. government user.
"You must be at least 16 years old or the applicable age of majority in your jurisdiction, whichever is greater, to create an account or otherwise use our services.","You need to be 16 or older, or the age considered an adult where you live, to use Vimeo."
These guidelines describe current practices only and shall not require Vimeo to provide any level of post-subscription account status.,The current rules might change and don't guarantee what happens to your account after your subscription ends.
Our refund policy does not apply to in-app purchases.,You can't get refunds for things you buy through apps.
"You will indemnify, defend, and hold harmless Vimeo and its subsidiaries, parents, and affiliates...from and against all third-party complaints, demands, claims, damages, losses, costs, liabilities, and expenses, including attorney’s fees, arising from or relating to: (a) the content you submit to or through the services.","If someone sues Vimeo because of something you did, you must cover all the costs and legal fees."
"This agreement binds the parties and their successors, personal representatives, and permitted assigns.",This agreement affects you and anyone who takes over your responsibilities or whom you pass your rights to.
"By using our services and accepting this agreement, you (1) agree to binding arbitration of these claims before a neutral arbitrator.","If you have a dispute covered by this agreement, you agree to settle it through arbitration instead of in court."
Our refund policy does not apply to: in-app purchases; fees charged immediately after a free-trial period ends; attempted abuse of the refund policy...customers who have initiated a chargeback dispute.,"You can't get refunds for in-app purchases, after a free trial, if you try to abuse the policy, or if you've already disputed a charge with your bank."
"We provide self-serve users with unlimited bandwidth for standard uses...if your account is within the 99th percentile of bandwidth usage for self-serve accounts for any calendar month, then you must upgrade to an enterprise plan.","You get unlimited bandwidth unless you use so much that you're in the top 1% of users, in which case you need to switch to a business plan."
Self-serve subscribers may opt out of automatic renewal by changing their account settings.,You can stop your subscription from automatically renewing by updating your account settings.
"By granting your child permission to use the services through your account, you agree and understand that you are responsible for monitoring and supervising your child's usage.","If your child uses Vimeo with your permission, you're responsible for what they do on it."
"By using our services, you accept any revised agreement.","If Vimeo updates this agreement and you keep using their services, it means you agree to the new terms."
"Vimeo terms of service last updated: December 15, 2020","The terms of service were last changed on December 15, 2020."
"By granting these licenses, you waive any so-called “moral rights” that you may have.",You give up any right to be identified as the author or to object to how the content is used.
Enterprise services are governed by our enterprise terms.,Vimeo’s enterprise services have their own set of rules.
