Highlight,Summary
we may revise these terms from time to time and the most current version will always be posted on our website.,Pinterest can update their terms and will post the latest version on their website.
anything that you post or otherwise make available on pinterest is referred to as user content.,Your posts and submissions on Pinterest are called User Content.
"if a revision, in our discretion, is material, we ll notify you.",Pinterest will notify you if there's a big change to the terms.
any use or access by anyone under the age of 13 is not allowed.,You can't use Pinterest if you're under 13 years old.
"limitation of liability to the maximum extent permitted by law, pinterest shall not be liable for any indirect, incidental, special, consequential or punitive damages, or any loss of profits or revenues, whether incurred directly or indirectly, or any loss of data, use, goodwill, or other intangible losses, resulting from (a) your access to or use of or inability to access or use the service.",Pinterest isn't responsible for many types of losses or damages you might experience.
"we reserve the right to remove or modify user content, or change the way it s used in pinterest, for any reason.",Pinterest can remove or change your content or how it's used at any time.
"by continuing to access or use pinterest after revisions become effective, you agree to be bound by the new terms.","By using Pinterest after they update their terms, you're agreeing to the changes."
more simply put you cannot use pinterest if youre under 13 (or older in some countries).,"Pinterest isn't for those under 13, and in some places, you may need to be older to use it."
"if you choose to submit comments, ideas or feedback, you agree that we are free to use them without any restriction or compensation to you.","If you give Pinterest feedback or ideas, they can use them without paying you."
"our license to you subject to these terms and our policies (including our community guidelines), we grant you a limited, non-exclusive, non-transferable, and revocable license to use our service",Pinterest lets you use their service as long as you follow their rules.
"to do that, we show you things we think will be relevant, interesting and personal to you based on your onsite and offsite activity.",Pinterest may show you things based on your activity on and off the site.
"we may terminate or suspend your access immediately and without notice if we have a good reason, including any violation of our community guidelines.",Pinterest can end your access immediately if you break their rules.
"pinterest and its users may retain and continue to use, store, display, reproduce, re-pin, modify, create derivative works, perform, and distribute any of your user content that other users have stored or shared on pinterest.","Even if you leave Pinterest, your content can still be used by Pinterest and others."
"while we work to protect the security of your content and account, pinterest can t guarantee that unauthorized third parties won t be able to defeat our security measures.","Pinterest tries to keep your account safe, but they can't guarantee it."
"if your claim exceeds $10,000, the right to a hearing will be determined by the aaa rules.","If you have a big claim in a dispute, it might be settled by arbitration."
"upon termination, you continue to be bound by sections 3 and 8 of these terms.",Certain sections of Pinterest's terms still apply even after you stop using their service.
commercial use of pinterest if you want to use pinterest for commercial purposes you must create a business account and agree to our business terms of service.,"For business use of Pinterest, you need to create a business account and agree to special terms."
"effective may 1, 2018 pinterest is using cookies to help give you the best experience we can",Pinterest uses cookies to improve your experience on the site.
"you retain all rights in, and are solely responsible for, the user content you post to pinterest","You own the content you post on Pinterest, but you're responsible for it."
"we reserve the right to refuse service to anyone, but we will provide appropriate notice",Pinterest can refuse service to anyone and will let them know when they do.
"if pinterest hasn t been able to resolve the dispute with you informally, we each agree to resolve any claim, dispute, or controversy (excluding claims for injunctive or other equitable relief) arising out of or in connection with or relating to these terms through binding arbitration or (for qualifying claims) in small claims court.",Pinterest wants to settle disputes through arbitration rather than court whenever possible.
"in case of such an assignment by pinterest, you are entitled to terminate the agreement with immediate effect by deactivating your account.",Pinterest can hand over your agreement with them to someone else if needed.
our service pinterest helps you discover and do what you love.,Pinterest lets you find and do things that you're interested in.
this arbitration provision shall survive termination of this agreement and the termination of your pinterest account,The agreement to use arbitration over court disputes with Pinterest continues even if you stop using the service.
"federal arbitration act governs the interpretation and enforcement of this provision, and that you and pinterest are each waiving the right to a trial by jury or to participate in a class action.",You give up your right to a jury trial or class action lawsuit against Pinterest by agreeing to these terms.
some of the things we show you are promoted by advertisers.,Advertisers pay to show you certain content on Pinterest.
"disclaimers our service and all content on pinterest is provided on an as is basis without warranty of any kind, whether express or implied",Pinterest doesn't promise that everything will work perfectly or that there's no risk in using the service.
please notify us immediately of any compromise or unauthorized use of your account.,Tell Pinterest right away if someone uses your account without permission.
"if you re a consumer in the eea, either you or pinterest may assign this agreement, and any rights and licences granted under it, to a third party.","In Europe, you or Pinterest can pass on this agreement to someone else."
"assignment these terms, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by pinterest without restriction.","You can't give your rights from these terms away, but Pinterest can."
"arbitration for any dispute you have with pinterest, you agree to first contact us and try to resolve the dispute with us informally.",Try to resolve disagreements with Pinterest directly before going to court or arbitration.
"all claims must be brought in the parties individual capacity, and not as a plaintiff or class member in any purported class or representative proceeding, and, unless we agree otherwise, the arbitrator may not consolidate more than one persons claims.","Only one person can bring up a claim in arbitration, not a group."
"also, if you are using pinterest for work, you need to set up a business account",Use a business account for any professional activities on Pinterest.
"you understand and agree that you may be exposed to user content that s inaccurate, objectionable, inappropriate for children, or otherwise unsuited to your purpose",You might come across content that is wrong or offensive while using Pinterest.
you can identify promoted content because it will be clearly labelled,Promoted content will always be clearly marked for you to see.
more simply put we can use your suggestions to make pinterest better,"Your ideas can help improve Pinterest, and they can use them."
as part of our service we try to ensure that even promoted content is relevant and interesting to you.,Pinterest tries to make sure ads are interesting and relevant to you.
"the arbitrator has exclusive authority to resolve any dispute relating to the interpretation, applicability, or enforceability of this binding arbitration agreement.",Only the arbitrator can decide if the arbitration agreement is valid and what it means.
"if you don t like the new terms, please stop using pinterest","If you don't like new terms by Pinterest, you should stop using the site."
"nothing in this section shall prevent either party from seeking injunctive or other equitable relief from the courts, including for matters related to data security, intellectual property or unauthorized access to the service.","Either Pinterest or you can go to court for certain serious issues, but not just any disagreement."
"this includes user content that we believe violates these terms, our community guidelines, or any other policies.",Pinterest can take down content that breaks the rules or guidelines.
"you agree that, by entering into these terms, you and pinterest are each waiving the right to a trial by jury or to participate in a class action",Accepting these terms means you can't join a group lawsuit against Pinterest.
security we care about the security of our users.,"Your security is important to Pinterest, but they are not promising perfect protection."
you can t use pinterest if it would be prohibited by u.s,You can't use Pinterest if it's against U.S. law for you to do so.
"when you create your pinterest account, you must provide us with accurate and complete information.",You need to give true and complete information when setting up your Pinterest account.
"if your claim is for $10,000 or less, we agree that you may choose whether the arbitration will be conducted solely on the basis of documents submitted to the arbitrator, through a telephonic hearing, or by an in-person hearing as established by the aaa rules.","Small claims can be settled in different ways, like by phone, papers, or in person as the rules allow."
pinterest will provide you with reasonable notice of any such assignment,Pinterest will tell you ahead of time if they give your agreement to someone else.
"please read these terms carefully, and contact us if you have any questions.","Read these terms closely, and let Pinterest know if you have questions."
"how pinterest and other users can use your content you grant pinterest and our users a non-exclusive, royalty-free, transferable, sublicensable, worldwide license to use, store, display, reproduce, save, modify, create derivative works, perform, and distribute your user content on pinterest solely for the purposes of operating, developing, providing, and using pinterest.",You let Pinterest and others use your content in many ways when you post it.
"how long we keep your content following termination or deactivation of your account, or if you remove any user content from pinterest, we may keep your user content for a reasonable period of time for backup, archival, or audit purposes.","Pinterest can keep your content for a while, even if you delete it or close your account."
"to the extent any claim, dispute or controversy regarding pinterest or our service isn t arbitrable under applicable laws or otherwise: you and pinterest both agree that any claim or dispute regarding pinterest will be resolved exclusively in accordance with section 12 of these terms","If there’s a serious issue that can't be settled through arbitration, you and Pinterest agree to follow section 12 of these terms."
"by accessing or using pinterest, you agree to be bound by these terms, our privacy policy, our cookies policy and our community guidelines","By using Pinterest, you're agreeing to all the rules in these terms and policies."
pinterest takes no responsibility and assumes no liability for any user content that you or any other person or third party posts or sends using our service.,Pinterest isn't responsible for what users post or do on the service.
