Highlighted Clause,Plain Language Summary
"If your account has been suspended, you must contact us for further information.","If your account is suspended, you need to get in touch with the company to learn more."
"No other right or license, express or implied, of any kind is granted to you hereunder with respect to the services.",You don't get any rights or permissions beyond what is specifically mentioned in the agreement when you use the services.
"In any case, the liability of nord shall not exceed what the client paid to nord and shall not include attorney fees or court costs irrespective of any laws or statutes that may prescribe otherwise.","Nord won't pay more than what you paid them, and they won't cover your lawyer or court fees, even if the law says otherwise."
We may suspend your user account for a reasonable period of time before we terminate a user account permanently.,The company can suspend your account temporarily before deciding to close it forever.
You choose the service period and the payment method yourself when you sign up for the paid services.,"When you sign up and pay for services, you select how long you want the service for and how you want to pay."
"We do not grant refunds for recurring subscription payments if you cancel the services after the renewal, unless applicable law provides otherwise.","Nord doesn't refund subscription payments if you cancel after renewal, but they might have to if the law in your area requires it."
"You hereby represent and warrant that (1) you are not located in a country that is subject to a U.S. government embargo, or that has been designated by the U.S. government as a ""terrorist supporting"" country; and (2) you are not listed on any U.S. government list of prohibited or restricted parties.","You promise you are not in a place that the U.S. has trade bans with, nor are you on any U.S. list of banned or restricted individuals."
"You may not share your password or other account access information with any other party, temporarily or permanently, and you agree to accept responsibility for all activities that occur under your account or password, whether or not authorized by you.","You must not share your password with anyone and you're responsible for anything someone does with your account, whether you gave them permission or not."
"You agree that we may communicate to you for the purpose of advising you of changes or additions to the services, about any of our products or services, or for such other purposes that are reasonable or required by applicable law.","You're okay with the company sending you updates or other info about changes to their services or other offerings, as the law allows."
"Our services to use any of our services, you must set up an account.",You need to create an account to use any of the company's services.
The license provided herein is effective until terminated.,The permission you receive to use the service lasts until it's ended by you or the company.
This license automatically terminates if you fail to comply with these terms.,"If you break any of the rules in the agreement, you lose your permission to use the service automatically."
"We reserve the right, at any time, in our sole discretion, with or without notice, to terminate the accounts of, and block access to the services to any users who infringe any applicable laws or these terms.","The company can end your access or block you from the services whenever they want, with or without telling you, especially if you break the law or this agreement."
"If you update payment details in your account, the updated information will be regarded as your preferred method for any future payments.","If you change your payment info, the new details will be used for all your future payments."
"In some cases, we or others on our behalf may offer a free trial for our paid services.",You might get a chance to try the paid services for free in some situations.
"We reserve the right to limit, in our sole discretion, the availability of the services or any portion thereof, to any person, entity, geographic area, or jurisdiction, at any time.",The company can decide to limit who can use the services or where the services can be used at any time.
"Refund and cancellation policy if you wish to claim a refund, you can do so within 30 days following your purchase of our services.","If you want your money back, you have to ask for it within 30 days after buying the services."
You have a right to cancel your account at any time.,You are allowed to cancel your account whenever you want.
"Electronic communications you agree to receive communications from us electronically, e.g., by email, application messages, etc.","You agree that the company can send messages to you through email, app messages, etc."
"We may suspend your account for clarification, investigation or request you to explain your actions and provide additional information.",The company can freeze your account while they look into things or might ask you to explain what you've done or give more info.
The terms constitute an agreement between you and us regarding the use of the services.,This document is an official agreement that outlines how you can use the services.
"These general terms of service (""general terms""), along with any applicable additional terms (see section 1 below) (collectively, the ""terms"") govern your use of and access to our websites, customer support, any interactive areas, software, applications and other services (collectively, the ""services"").","The whole agreement, including these terms and any other specific rules, controls how you use the websites, get help from customer support, and use software and other parts of the services."
We shall not be responsible or have any liability for any delay or failure to perform to the extent due to unforeseen circumstances or causes beyond our reasonable control.,The company is not at fault or responsible if it can't do its part of the agreement because of unexpected events or things that are out of its control.
"We make no representation or warranty whatsoever regarding the completeness, accuracy, adequacy, suitability, functionality, availability, or operation of the services.","The company doesn't guarantee that the services will be flawless, accurate, suitable, fully functional, always available, or always working."
We do not warrant and will not have any liability or responsibility for your use of the services or other products or services we provide.,The company won't be responsible or accountable for how you use the services or anything else they offer you.
"Indemnification you agree, at your own expense, to indemnify, defend and hold harmless nord, its parents, subsidiaries and affiliates, and their officers, directors, employees, agents, distributors and licensees, from and against any judgments, losses, deficiencies, damages, liabilities, costs, claims, demands, suits, and expenses (including, without limitation, reasonable attorneysâ fees, expert witness fees and expenses) incurred in, arising out of or in any way related to your breach of these terms, your use of the services, or any of your other acts or omissions.","You agree that if your actions cause legal trouble, you'll cover all the costs and protect the company and its related parties from any legal action, damages, or expenses."
"We reserve the right to modify and update these terms at our sole discretion, at any time, for any reason, and without liability.","The company can change these terms whenever they want, for any reason, and they won't be held responsible for these changes."
"Notice: as a part of nord group structural changes, from November 15, 2020, the contracting party shall be changed from Tefincom S.A. to NordVPN S.A., a company incorporated in Panama.","Starting from November 15, 2020, the company you're making this deal with switches from Tefincom S.A. to another company, NordVPN S.A., based in Panama."
"Notwithstanding any other provision of these terms, we reserve the right to change, suspend, remove, or disable access to the services, or any functionality comprising a part of the services at any time without notice.","Even with all these rules, the company can still change or stop the services, or take away any part of them, without telling you beforehand."
All rights are reserved unless otherwise noted.,The company keeps all rights not explicitly given away in this agreement.
The parties acknowledge that no reliance is placed on any representation made but not expressly contained in these terms.,"Both sides agree that only promises written in this agreement count, not anything said outside of it."
"The services are provided by the entity specified in section 14 of these general terms (""we,"" ""us,"" ""our,"" or ""nord"").",The company listed in section 14 is the one giving you the services.
