Highlighted Clause,Plain Language Summary
Arbitration is a more informal way to resolve our disagreements than a lawsuit in court.,"If you have a dispute with Pinterest, it's usually sorted out through arbitration, which is less formal than going to court."
This arbitration provision shall survive termination of this agreement and the termination of your pinterest account.,"Even if you stop using Pinterest or the agreement ends, you're still required to settle disputes through arbitration."
pinterest’s liability will be limited to foreseeable damages arising due to a breach of material contractual obligations typical for this type of contract.,Pinterest's responsibility for losses will be limited to those damages that are typically expected from a breach of the main parts of the agreement.
Pinterest isn’t liable for damages that result from a non-material breach of any other applicable duty of care.,Pinterest isn't responsible for paying damages if they break a minor duty of care that doesn't lead to significant harm.
"If you access any third party website, service, or content from pinterest, you do so at your own risk and you agree that pinterest has no liability arising from your use of or access to any third party website, service, or content.","When you use third-party sites or services reached through Pinterest, you're on your own; Pinterest isn't responsible if something goes wrong."
"Governing law and jurisdiction these terms shall be governed by the laws of the state of california, without respect to its conflict of laws principles.",Any legal issues related to these terms will be dealt with under California law.
In no event shall pinterest's aggregate liability for all claims relating to the service exceed one hundred U.S. dollars (U.S. $100.00).,The most money Pinterest could ever owe you for all claims concerning their service is $100.
"you agree to indemnify and hold harmless pinterest... from and against any claims... in any way related to your access to or use of our service, your user content, or your breach of any of these terms.","If Pinterest gets sued because of something you do on their service, you'll have to cover their expenses."
"how long we keep your content following termination or deactivation of your account, or if you remove any user content from pinterest, we may keep your user content for a reasonable period of time for backup, archival, or audit purposes.","Pinterest may keep your content for some time after you delete it, or after your account is closed, for backup or record-keeping."
"If pinterest hasn’t been able to resolve the dispute with you informally, we each agree to resolve any claim, dispute, or controversy... through binding arbitration or (for qualifying claims) in small claims court.","If you and Pinterest can't fix a problem informally, you both agree to take it to binding arbitration or small claims court, if applicable."
"we reserve the right to determine the form and means of providing notifications to you, and you agree to receive legal notices electronically if that’s what we decide.","Pinterest will decide how to send you notices, and you're okay with getting legal notifications electronically."
"We reserve the right to remove or modify user content, or change the way it’s used in pinterest, for any reason.","Pinterest can delete or change your content, or how it's used within Pinterest, anytime for any reason."
"if you live outside the united states, these terms are a contract between you and pinterest europe ltd., an irish company...","If you're using Pinterest from outside the US, your agreement is with Pinterest Europe Ltd, based in Ireland."
"We may revise these terms from time to time and the most current version will always be posted on our website. If a revision, in our discretion, is material, we’ll notify you.","Pinterest can update these terms as needed, and they'll let you know if there's a big change."
Termination pinterest may terminate or suspend your right to access or use pinterest for any reason on appropriate notice.,"Pinterest can end or suspend your access to the service for any reason, as long as they let you know in a suitable way."
"Upon termination, you continue to be bound by sections 3 and 8 of these terms.","Even if you or Pinterest ends this agreement, certain parts of it will still apply to you."
"This limitation of liability won’t apply to any statutory liability that cannot be limited, to liability for death or personal injury caused by our negligence or willful misconduct, or if and to exclude our responsibility for something we have specifically promised to you.","Pinterest's limits on its liability don't apply when the law says they can't, or when they've caused death or injury, or failed to do something they promised."
Any attempted transfer or assignment in violation hereof shall be null and void.,"If you try to give your rights or obligations under this agreement to someone else without following the rules, it won't be valid."
Any use or access by anyone under the age of 13 is not allowed.,Children under 13 are not allowed to use Pinterest.
"If you’re based in the eea, you may only use pinterest if you are over the age at which you can provide consent to data processing under the laws of your country.","If you're in the European Economic Area, you need to be old enough to legally agree to data processing to use Pinterest."
"You agree that we may automatically update that software, and these terms will apply to any updates.","Pinterest can automatically update their software on your devices, and these terms will cover those updates too."
