Highlighted Clause,Plain Language Summary
Your renewal date may change due to changes in your subscription.,"If you modify your subscription plan, the date when your subscription renews could also change."
"The company reserves the right, at its own expense, to assume the exclusive defense and control of any matter subject to indemnification by you.","If there's a legal issue where you're required to defend the company, the company can take over the defense but you'll need to cooperate."
Subscription fees are fully earned upon payment.,"Once you pay your subscription fee, the payment is non-refundable because the company considers it earned."
30-day money back guarantee refunds will be provided up to 30 days after the original purchase if sumo does not meet expectations.,"If you're not satisfied with the subscription, you can get a refund within 30 days of your purchase."
"The company reserves the right to modify, suspend, or discontinue providing the services, in whole or in part.","The company can change, pause, or stop its services anytime at its discretion."
All modifications will apply prospectively only.,"Any changes to the service will only affect future use, not past use."
"No amendment to or modification of these terms will be binding unless in writing and signed by a duly authorized representative of the company, you accept updated terms online, or you continue to use the services after the company has posted updates to these terms and fourteen (14) days have passed since such posting of updated terms.","Changes to the terms are only valid if they are in writing and authorized, if you accept them online, or if you keep using the services 14 days after the changes are posted."
"We may terminate or suspend access to our service immediately, without prior notice or liability, for any reason whatsoever, including without limitation if you breach the terms.","The company can cancel your access instantly for any reason, especially if you violate the terms."
All provisions of the terms which by their nature should survive termination shall survive termination.,"Even if your account is terminated, certain conditions of the agreement will still be in effect."
We reserve the right to change the timing of our billing.,The company can alter when it bills you for subscription fees.
You agree not to disclose your password to any third party.,Keep your password confidential; don't share it with others.
The service is provided on an “as is” and “as available” basis.,The service is given with no guarantees and only as it is currently available.
"The company makes no warranty that the services will be uninterrupted, timely, secure, or error-free.",The company doesn't promise that the services will always work perfectly or without interruptions.
"To the extent permitted by law, the total liability of the company for any claims under these terms is limited to the amount you paid us to use the services during the 12 months immediately preceding such claim.",The most the company could have to pay you for any legal claim related to the services is what you paid them in the last year.
The indemnification terms contained in this section shall be construed broadly in favor of the company.,Terms requiring you to protect the company from legal costs will be interpreted in the way that benefits the company the most.
You must cancel your subscription before it renews each month in order to avoid billing of the next month's subscription fees to your payment method.,"To avoid being charged for the next subscription period, be sure to cancel your subscription before it's set to renew."
