Highlighted Clause,Plain Language Summary
"If any provision of any such document is deemed invalid by a court of competent jurisdiction, the invalidity of such provision shall not affect the validity of the remaining provisions thereof, which shall remain in full force and effect.","If a court finds one part of these Terms to be invalid, the rest of the Terms still apply."
teachers have 30 days from the time at which a payment was or should have been made to report any discrepancies.,Teachers must report any payment issues within 30 days of the expected payment date.
"We do not charge you in connection with this authorization hold, but your available balance or credit limit may be reduced.","When they validate your payment method, they won't charge you, but it might lower your available funds or credit."
"Skillshare does not guarantee any confidentiality with respect to a user submission, regardless of whether or not it is published.","Skillshare can't promise to keep the information you submit private, even if it's not shared publicly."
Any arbitration under the terms will take place on an individual basis: class arbitrations and class actions are not permitted.,"Disputes with Skillshare must be settled individually through arbitration, not in class-action lawsuits."
"If you have canceled your skillshare membership, you will lose access to all premium features and membership classes you enrolled into during your skillshare membership at the end of your billing period.",Cancelling your membership means losing access to premium features and classes after your current billing cycle ends.
"You may not engage in practices of “screen scraping,” “database scraping” or any other practice or activity the purpose of which is to obtain lists of users, portions of a database, or other lists or information from the service, in any manner and any quantities not authorized by skillshare in writing.",Don't use automated methods to collect data from Skillshare without their explicit permission.
And terminate such content provider's access to the service if he or she is a repeat offender.,Skillshare may ban users who repeatedly break copyright rules.
fees for premium membership or any other portion of the service may be changed at any time without prior notice.,Skillshare can change its fees at any time without warning.
"You agree that any legal action or proceeding between skillshare and you for any purpose concerning these terms of service, the privacy policy, the other governing documents or your use of the service shall be brought exclusively in a federal or state court of competent jurisdiction sitting in New York, New York.",Legal disputes with Skillshare must be handled in New York courts.
You agree that all electronic communication between skillshare and you shall satisfy any legal requirements that such communications be in writing.,Electronic communications with Skillshare are legally the same as written ones.
Any rights of skillshare not expressly granted herein are reserved.,Skillshare retains any rights not specifically given away in these Terms.
You agree that you shall have no recourse against skillshare for any alleged or actual infringement or misappropriation of any proprietary right in your communications to skillshare.,You can't hold Skillshare responsible if content you share with them infringes on someone else's rights.
we neither endorse nor assume any liability for the contents of any user submission.,Skillshare isn't responsible for user-contributed content.
"The owners of the copyrights and trademarks are skillshare, its affiliates and/or other third party licensors.",Copyrights and trademarks on Skillshare belong to Skillshare or their partners.
no refunds are offered for premium membership fees or any other fees collected by the service.,Skillshare doesn't give refunds for membership fees or other charges.
"Except as otherwise expressly provided for in these terms of use, any price changes to your service will take effect following email notice to you.",Skillshare will notify you by email of any price changes unless stated otherwise in these terms.
"By accessing the service at any time after such modifications, you are agreeing to such modifications.",Continuing to use Skillshare after changes to the Terms means you accept the new terms.
"We reserve the right to (1) block access to or remove material that we believe in good faith to be copyrighted material that has been illegally copied and distributed by any of our advertisers, affiliates, content providers, members or users and (2) remove and discontinue service to repeat offenders.",Skillshare can block or remove content thought to be illegally copied and can ban repeat offenders.
Remember that you need to comply with all relevant legal rules when you use skillshare.,You must follow all laws when using Skillshare.
"Each provider is its own company, and skillshare isn’t responsible for its performance.",Skillshare isn't accountable for third-party providers' behavior.
teacher payments teachers may earn revenue by publishing classes or offering additional services through skillshare.,Teachers can make money by offering classes and other services on Skillshare.
Skillshare may assign its rights and duties under these terms of service or any of the other governing documents to any party at any time without notice to you.,Skillshare can transfer its responsibilities and rights under these Terms to someone else without notifying you.
"You agree and understand and intend that this assumption of risk and release is binding upon you and your heirs, executors, agents, administrators and assigns.",You and your successors accept all risks and release Skillshare from liability.
"Skillshare reserves the right, in its absolute discretion, to determine your eligibility for a trial, and, subject to applicable laws, to withdraw or to modify a trial at any time without prior notice and with no liability, to the greatest extent permitted under the law.","Skillshare decides who gets a trial and can change or end it anytime without notice, within legal limits."
We reserve the right to suspend your account and remove referrals should we notice any activity we determine as abuse of the referral program.,Skillshare can suspend your account if they think you're abusing the referral program.
"We do not endorse, nor are we responsible for the accuracy or reliability of, any opinion, advice, or statement made by anyone other than an authorized skillshare spokesperson speaking in his/her official capacity.",Skillshare doesn't back or take responsibility for what people say unless it's an official representative of the company.
"in no event shall we or any other skillshare party be liable to you or any third party for any special, punitive, incidental, indirect or consequential damages of any kind, or any damages whatsoever, including, without limitation, those resulting from loss of use, data or profits, whether or not we have been advised of the possibility of such damages, and on any theory of liability, arising out of or in connection with the use of the service or of any web site referenced or linked to from the service.","Skillshare won't be liable for any type of damages you might incur from using their service or any linked websites, even if they've been warned they might happen."
"Upon a request by us, you agree to defend, indemnify, and hold us and the other skillshare parties harmless from all liabilities, claims, and expenses, including attorneys’ fees, that arise from your violation of these terms of service or any of the other governing documents, or other negligent or wrongful conduct.","If you break these Terms, you must cover all losses, claims, and legal costs that result for Skillshare."
You will receive this reward within 50 days of the student paying for premium membership.,You'll get a referral reward within 50 days after a new user pays for premium membership through your referral.
"These terms of service were last modified as of March 19, 2021.","The Terms of Service were last updated on March 19, 2021."
