Highlighted Clause,Plain Language Summary
"We may terminate your membership at any time, without prior notice.",The company can cancel your membership at any moment without giving you prior notice.
You may not opt out of service-related e-mails.,"You cannot unsubscribe from emails that are essential for the service, like security alerts or legal updates."
"You understand that the website, as is the usual practice with wikis, retains earlier versions of content, but you acknowledge that we are not obligated to do so.","While the website, like other wikis, may keep old versions of content, it's not required to do so."
"Sections 5, 7 - 13 and 14 - 17 shall survive any termination of these terms.","Even if your agreement with the site is terminated, certain sections of the terms will still apply to you."
"You are solely responsible for any edits, additions, or other content posted or activity performed using your WikiTree ID.","You alone bear responsibility for any content you add, edit, or actions you take using your WikiTree account."
In no event will the aggregate liability that Interesting.com may incur in any action or proceeding exceed the greater of the total amount actually paid to Interesting.com by user during the preceding year or US$100.,"The maximum amount you can claim in damages from the company is either what you've paid them in the past year, or $100, whichever is more."
"We may, in our sole discretion, modify or revise these terms of service at any time, and you agree to be bound by such modifications or revisions.","The company can change these terms whenever it wants, and by using the service, you agree to any new terms."
You are solely responsible for your interactions with other WikiTree members.,You are fully responsible for how you interact with other members on the site.
"By registering and providing your e-mail address, you consent to us communicating with you by e-mail.","When you give your email during sign-up, you're agreeing to get emails from the company."
This agreement shall remain in full force and effect while you use the website or are a member.,The agreement between you and the website is active as long as you are using the site or are a member.
"User acknowledges that because of the nature of the internet and communications accessible or received through it, the security, reliability and integrity of the website cannot be guaranteed.","You acknowledge that due to the unpredictable nature of the internet, the website's security and reliability can't be completely assured."
You shall not post or transmit to the website any material that you know or ought reasonably to have known cannot be legally distributed.,"You can’t post anything on the site that you know, or should know, is illegal to share or distribute."
"The website is for non-commercial, personal use only.","The website is meant only for personal use, not for business or commercial purposes."
No automated copying. You agree not to use or launch any automated system that accesses the website in a manner that sends more request messages to our servers than a human can reasonably produce.,You're not allowed to use any tools that automatically copy data from the website in a way that could overload the servers.
"You agree not to collect any personally identifiable information from the website, nor to use the communication systems provided by the website to send unsolicited solicitations or ""spam.""",You must not gather personal info about others from the site or use its communication tools to send spam.
