text,highlighted
"You acknowledge that rumble.com has the absolute right (but not the obligation) to delete, move and edit content and material for any reason, in any manner, at any time, without notice. you should also know that in visiting the rumble.com website, you may be exposed to materials you consider to be offensive and you assume responsibility for your exposure.",0
"If you use this site in a jurisdiction that prohibits or restricts such use, your use will be subject to, without limitation, any other provision of the terms of use, and rumble.com shall not have any liability with respect to such use. choice of law and forum these terms of use shall be governed by and construed in accordance with the laws of the province of ontario, excluding its conflicts of law rules.",0
Rumble.com is not responsible for any failure or delay in removing such content. links and third party sites this site may produce automated search results or otherwise link you to other sites on the internet.,0
"Those who choose to access this site from any location do so on their own initiative, at their own risk, and are responsible for compliance with local laws.",0
Rumble.com reserves the right to have control of any defense and control of any matter otherwise subject to indemnification by you.,0
"Because some jurisdictions do not allow the exclusion or limitation of incidental or consequential damages, rumble.com's liability in such jurisdictions shall be limited to the extent permitted by law. indemnification you agree to indemnify and hold rumble.com, and its parent, subsidiaries and affiliates and their respective officers, directors, agents, co-branders and other partners, contractors, and employees, harmless from and against any and all claims, expenses, and demands, including attorneys' fees, made by any third party due to, arising out of, or asserted in connection with your use or misuse of this site, including claims relating to content you submit, post to or transmit through this site, and your connection to and use of this site.",0
"In addition to the selected option above, you also grant rumble the following. term: the above licenses granted by you are perpetual and irrevocable. by signing this agreement you hereby give rumble permission to license the content and to use the content in any media for any purpose which may include, among others, advertising, promotion, marketing and packaging for any product or service.",0
"Video creator licensing options, terms, &amp.",0
"Rumble shall retain all revenues derived from all other advertisements, promotions, links, pointers and similar services or rights. rumble publisher are entitled to a 50% revenue share of the applicable net advertising revenue within thirty (30) days following the end of each month whenever a rumble publisher uses the rumble monetized embed code.",0
"If a user is found in violation, the account may be suspended and/or terminated.",1
"You agree that the content may be combined with other images, text, graphics, film, audio, audio-visual works.",0
"Analytics will be directly reported into the publisher dashboard within your rumble account. rumble may reduce payments for bad debt, chargebacks, and refunds within sixty (60) days of the payment to which the bad debt, chargeback or fund relates.",0
Rumble will not partake in any monetization relating to your content.,0
"Your use of this site following the posting of any changes to the terms of use will be deemed your acceptance of such change(s). agreement to user conduct rules you agree to abide by rumble.com's user conduct rules, including but not limited to, agreeing not to use this site for any unlawful purpose : by posting information in or otherwise using any communications service, message board, or other interactive service that may be available to you on or through this site, you agree that you will not upload, post, or otherwise distribute or facilitate distribution of any materials, including text, communications, software, images, sounds, data, or other information (hereafter ""content"") that: is unlawful, threatening, abusive, harassing, defamatory, libelous, deceptive, fraudulent, invasive of another's privacy or publicity rights, tortious, or otherwise violates rumble.com's rules or policies; infringes on any patent, trademark, trade secret, copyright, right of publicity, or other proprietary right of any party; constitutes unauthorized or unsolicited advertising, chain letters, any other form of unauthorized solicitation, or any form of lottery or gambling; contains software viruses or any other computer code, files, or programs that are designed or intended to disrupt, damage, or limit the functioning of any software, hardware, or telecommunications equipment or to damage or obtain unauthorized access to any data or other information of any third party.",0
That any defects or errors will be corrected.,1
"Don't make false claims! please also note that the information provided in this legal notice may be forwarded to the person who provided the allegedly infringing content. claimant information will be published on the rumble site at anytime. counter notification if you believe that material you posted has been removed in error, you should send our copyright agent, using the contact information listed above, a counter notice that includes the following: your physical or electronic signature. identification of the material that has been removed or to which access has been disabled and the location at which the material appeared before it was removed or access to it was disabled. a statement under penalty of perjury that you have a good faith belief that the material was removed or disabled as a result of mistake or misidentification. your name, address, and telephone number, and a statement that you consent to the jurisdiction of federal district court for the judicial district in which your address is located, or if your address is outside of the united states, for any judicial district in which the rumble inc offices may be found, and that you will accept service of process from the person who provided notification of copyright infringement, or an agent of such person. please note that under section 512(f) of the copyright act, any person who knowingly materially misrepresents that material or activity was removed or disabled by mistake or misidentification may be subject to liability. please also be advised that we enforce a policy that provides for the termination in appropriate circumstances of subscribers who are repeat infringers. procedure for reporting violations of rights of privacy or publicity if you believe that your privacy rights or publicity rights have been violated by information or material that is accessible on this site, you may notify rumble.com.",0
