Highlighted Clause,Plain Language Summary
You must be 13 or over.,Users need to be at least 13 years old to use the service.
"If you dispute the matter, contact stingle photos support.","If you have any issues, you should reach out to Stingle Photos support for help."
"Refunds for monthly or yearly payment plans, the service is billed in advance on a monthly or yearly basis respectively. we offer a 30 day refund policy on all paid services.",The service charges you ahead of time every month or year and allows for a refund within 30 days on all paid plans.
Our rights under this agreement will survive any termination of this agreement.,Some of the service provider's rights will still apply even after the agreement is terminated.
"You assume full responsibility and risk of loss resulting from your downloading and/or use of files, information, content or other material obtained from the service.",You are solely responsible for any risks or losses that may happen from using or downloading things from the service.
"Services usage limits you agree not to reproduce, duplicate, copy, sell, resell or exploit any portion of the service, use of the service, or access to the service without stingle photos express written permission.",You can't copy or sell any part of the service without getting written permission from Stingle Photos.
"Your login may only be used by one person — i.e., a single login may not be shared by multiple people.",Only one person can use your login credentials; you can't share them with others.
You are responsible for all content posted and activity that occurs under your account (even when content is posted by others who have accounts under your account).,"You are held responsible for anything that's done or posted under your account, even if it's by someone else with access to your account."
"Stingle photos may assign or delegate these terms of service and/or the stingle photos privacy policy, in whole or in part, to any person or entity at any time with or without your consent.","Stingle Photos can transfer this agreement or privacy policy to someone else at any time, and they don't need your permission to do it."
"We reserve the right at any time and from time to time to modify or discontinue, temporarily or permanently, the website (or any part of it) with or without notice.","The service may change or stop any part of the website anytime, with or without telling you first."
"We reserve the right, at our sole discretion, to amend these terms of service at any time and will update these terms of service in the event of any such amendments.",Stingle Photos can change these terms whenever they want and will update the terms when changes are made.
Limitation of liability short version: we will not be liable for damages or losses arising from your use or inability to use the service or otherwise arising under this agreement.,Stingle Photos won't be held responsible for any damage or losses you might have from using the service or from any other issues related to the agreement.
