text,highlighted
You should make whatever investigation you feel necessary or appropriate before proceeding with any online or offline interaction with any other person.,1
"You acknowledge that these terms are between you and khan academy only, not with apple, and apple is not responsible for the services and the content thereof.",1
Your continued use of the services after the posting of changes constitutes your binding acceptance of such changes.,1
"Khan academy may also in its sole discretion and at any time discontinue providing access to the services, or any part thereof, with or without notice.",1
"The services are hosted in the united states, and the services provided hereunder are offered by khan academy: po box 1630, mountain view, ca 94042. notices@khanacademy.org. 15.11 notice regarding apple.",1
"If you distribute, publicly perform or display, transmit, publish, or otherwise make available any licensed educational content or any derivative works thereof, you must also provide the following notice prominently along with such licensed educational content or derivative work thereof: ""all khan academy content is available for free at www.khanacademy.org"". 8.",0
"If you choose to access our services from locations outside the united states, you consent to the collection, transmission, use, storage and processing of content and data (including your personal information) in the united states.",0
"Khan academy will use reasonable efforts to notify you of any such claim, action, or proceeding upon becoming aware of it. 13.",0
"Unless expressly otherwise identified on the services with respect to a particular item of licensed educational content, any reference to the ""creative commons"", ""cc"" or similarly-phrased license shall be deemed to be a reference to the creative commons attribution-noncommercial-sharealike 3.0 united states license (available at creativecommons.org/licenses/) (the ""creative commons license""). 7.3 licensed educational code.",0
"Khan academy may make available certain features and tools that allow users to add ""coaches"" to their account. (a) coaching features are provided to allow any user to give another user, such as a tutor, friend or family member, the ability to view the activity in their khan academy account in order to provide them with tutoring or coaching help on khan academy.",0
"Access and use of reference sites, including the information, materials, products, and services on or available through reference sites, is solely at your own risk. 10.",0
Any assignment attempted to be made in violation of the terms shall be null and void. 15.7 survival.,1
You may revoke khan academy's access to your account on any integrated service at any time by updating the appropriate account settings of the respective integrated service.,0
"(ii) your breach or alleged breach of these terms, or any violation of the terms.",1
Miscellaneous (including dispute resolution and arbitration). 15.1 notice.,0
"Or 8.15 intentionally interfere with or damage operation of the services or any user's enjoyment of it, by any means, including without limitation by participation in any denial-of-service type attacks or by uploading or otherwise disseminating viruses, adware, spyware, worms, or other malicious code. 9.",0
"In the event of unauthorized access, khan academy will use reasonable efforts to notify you pursuant to section 15.1 below.",0
"Except for accounts created for school use as provided in section 1.6, a child user that begins the registration process for himself or herself without a parent user (as defined below) may have the registration process restricted until a parent approves or assumes responsibility for the child user account.",0
"Apple is not responsible for addressing any claims by you or any third party relating to the services or your possession and/or use of the services, including, but not limited to: (i) product liability claims.",1
"Once accounts are linked, they cannot be separated.",0
(iv) your failure to comply with applicable laws (including any failure to obtain or provide any necessary consent or notice).,1
"(iii) is harmful, fraudulent, threatening, abusive, harassing, tortuous, defamatory, vulgar, obscene, libelous, or otherwise objectionable.",0
"Except for any user content provided and owned by users and except as otherwise set forth in this section 7, all services materials, and all trademarks, service marks, and trade names, contained on or available through the services are owned by or licensed to khan academy, and khan academy reserves all rights therein and thereto not expressly granted by these terms. 7.2 licensed educational content.",0
You may be asked to provide a password in connection with your account.,0
"Any suspected fraudulent, abusive or illegal activity may be referred to appropriate law enforcement authorities.",0
"School personnel may terminate use of the services individually and/or with respect to school accounts created by such school personnel at any time by contacting us at schoolpartnerships@khanacademy.org, provided, however, that an institution may require satisfaction of certain requirements before school personnel can terminate accounts created for school use.",0
"The place of arbitration shall be santa clara county, california.",1
"If you are school personnel and you choose to allow your students to log in on the services using an integrated service, such as google classroom or clever (to the extent we support use of such integrated service), you are responsible for educating your students on the proper use of integrated services and protecting their accounts.",0
Notices posted on the services are deemed given 30 days following the initial posting.,0
Limitation of liability and damages. 15.,0
You must send any notice of dispute by first class u.s. mail to khan academy at p.o.,1
"We reserve the right, but have no obligation, to become involved in any way with these disputes . (b) release.",0
"As a parent user, if you created a child account on the services and have a parent user account associated with the child account, you can terminate your child's login account through the account profile, or by contacting our customer support team at khan.co/ka-support, although we may need to verify your identity prior to taking any action with respect to the account.",0
"If any provision of the terms or any guidelines is held to be unlawful, void, or for any reason unenforceable, then that provision will be limited or eliminated from the terms to the minimum extent necessary and will not affect the validity and enforceability of any remaining provisions. 15.6 assignment.",1
"By using, downloading, or otherwise accessing such licensed educational content, you agree to comply fully with all the terms and conditions of such alternate license. (b) creative commons license.",0
"Students and school personnel may have personal accounts, in addition to accounts established for use in the classroom and associated with the institution's use of the services (""school accounts"").",0
"Khan academy does not endorse any user content or any opinion, recommendation or advice expressed therein , and khan academy expressly disclaims any and all liability in connection with user content. 6.",0
"Khan academy does not control the practices of integrated services, and you are advised to read the privacy policy and terms and conditions of any integrated service that you use to understand their practices. 1.4 child user.",0
"You must use the services and the website in compliance with all applicable laws, rules, and regulations. 1.8 linked accounts.",0
"The terms will be governed by and construed in accordance with the laws of the state of california, without giving effect to any principles of conflicts of law that would cause the application of the laws of any other jurisdiction.",1
"Any arbitration will be conducted by jams under the jams comprehensive arbitration rules and procedures (""jams rules"") in effect at the time the dispute is filed.",1
"If you have reason to believe that your account is no longer secure (e.g., in the event of a loss, theft, or unauthorized disclosure or use of your account id or password), then you agree to immediately notify khan academy at khan.co/ka-support.",1
You agree not to settle any such matter without the prior written consent of khan academy.,0
"Upon termination of the terms, any provision which, by its nature or express terms should survive, will survive such termination or expiration, including, but not limited to, sections 2, 4 through 6, 7.1, 7.4, 7.5, and 8 through 15. 15.8 headings.",1
"Prohibited conduct. you agree not to: 8.1 use the services for any commercial use or purpose unless expressly permitted by khan academy in writing, it being understood that the services and related services are intended for personal, non-commercial use only; 8.2 except as expressly permitted under sections 5.3 and 7 of these terms, rent, lease, loan, sell, resell, sublicense, distribute or otherwise transfer the licenses for any services materials; 8.3 post, upload, or distribute any defamatory, libelous, or inaccurate user content or other content; 8.4 post, upload, or distribute any user content or other content that is unlawful or that a reasonable person could deem to be objectionable, offensive, indecent, pornographic, harassing, threatening, embarrassing, distressing, vulgar, hateful, racially or ethnically offensive, or otherwise inappropriate; 8.5 use the services in any manner that is harmful to minors, or in any manner that violates khan academy's community guidelines; 8.6 impersonate any person or entity, falsely claim an affiliation with any person or entity, or access the services accounts of others without permission, or perform any other fraudulent activity; 8.7 delete the copyright or other proprietary rights notices on the services or on any licensed educational content, licensed educational code, or user content; 8.8 assert, or authorize, assist, or encourage any third party to assert, against khan academy or any of its affiliates or licensors any patent infringement or other intellectual property infringement claim regarding any licensed educational content, licensed educational code, or user content you have used, submitted, or otherwise made available on or through the services; 8.9 make unsolicited offers, advertisements, proposals, or send junk mail or spam to other users of the services (including, but not limited to, unsolicited advertising, promotional materials, or other solicitation material, bulk mailing of commercial advertising, chain mail, informational announcements, charity requests, and petitions for signatures); 8.10 use the services for any illegal purpose, or in violation of any local, state, national, or international law, including, without limitation, laws governing intellectual property and other proprietary rights, and data protection and privacy; 8.11 defame, harass, abuse, threaten or defraud users of the services, or collect, or attempt to collect, personal information about users or third parties without their consent; 8.12 remove, circumvent, disable, damage or otherwise interfere with security-related features of the services, licensed educational content, licensed educational code, or user content, features that prevent or restrict use or copying of any content accessible through the services, or features that enforce limitations on the use of the services, licensed educational content, licensed educational code, or user content; 8.13 reverse engineer, decompile, disassemble or otherwise attempt to discover the source code of the services or any part thereof, except and only to the extent that such activity is expressly permitted by applicable law notwithstanding this limitation; 8.14 modify, adapt, translate or create derivative works based upon the services or any part thereof, except and only to the extent expressly permitted by khan academy herein or to the extent the foregoing restriction is expressly prohibited by applicable law.",0
"Khan academy reserves the right, at your expense, to assume the exclusive defense and control of any matter for which you are required to indemnify khan academy, and you agree to cooperate with khan academy's defense of these claims.",0
14.2 limitation of damages.,0
Any notices directed to khan academy shall be sent by first class u.s. mail to khan academy at p.o.,0
"These terms shall remain in full force and effect while you use the services unless your account is terminated as provided in these terms, in which case you no longer have the right to use the services. 10.2 termination by khan academy.",0
Whoever files the arbitration will pay the initial filing fee.,1
"By agreeing to binding arbitration, you waive your right to litigate disputes through a court and to have a judge or jury decide your case. (a) generally.",1
"You understand and agree that your use, access, download, or otherwise obtaining of content, website materials, software, or data through the website (including through any api's) is at your own discretion and risk, and that you will be solely responsible for any damage to your property (including your computer system) or loss of data that results therefrom.",1
"If a change with respect to how personal information contained in education records is used or shared has a material adverse impact on student users or an institution, and the institution does not agree to the change, the institution must notify khan academy within thirty days of receiving the notice of change as described under the ""miscellaneous - notices"" below.",0
