Highlighted Clause,Plain Language Summary
"In case you want the modification or deletion of a comment, please just add another comment from the same machine (so i can see your ip, this prevents having someone else wanting to edit or delete your message) and ask david revoy to edit or remove your comment.","To modify or delete a comment, submit another comment from the same device to verify your identity through your IP, and then request David Revoy to make the changes."
"These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracing your interaction with the embedded content if you have an account and are logged in to that website.","The websites can collect your data, use cookies, include third-party trackers, and keep track of how you interact with embedded features, especially if you're logged in."
I don't do any automated decision making and/or profiling on the user data.,There is no automated decision-making or user data profiling taking place on these websites.
"If you leave a comment, the comment and its metadata are retained indefinitely.","Once you leave a comment, it and any associated metadata are kept forever unless actively deleted."
"I, David Revoy, am the only responsible for managing your data collected on the mentioned websites (except about ""embedded content from other websites"", see below).","David Revoy is solely responsible for managing user data on these websites, apart from data related to embedded content from other sites."
A regulation in the European Union on data protection and privacy for all individuals within the European Union (EU) and the European Economic Area (EEA).,There's a regulation in place that ensures data protection and privacy rights for individuals in the EU and EEA that the websites must comply with.
The websites https://www.peppercarrot.com/ and http://www.davidrevoy.com/ are hosted in France and subject to this regulation.,The websites are hosted in France and must follow the mentioned EU data protection regulation.
"When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor’s IP address.","When you comment on the websites, they collect the information you provide in the form, as well as your IP address."
The comment system doesn't remember your name.,The commenting system on the websites does not store or remember user names.
Contact information: info@davidrevoy.com,"If you need to discuss any issues related to your data on the websites, you can contact David Revoy at the provided email address."
