text,highlighted
this page explains the terms by which you may use our service.,0
"goodreads makes no representations or warranties of any kind, express or implied, as to the operation of the service, or the information, content, materials, products (including software) or other services included on or otherwise made available to you through the service, unless otherwise specified in writing.",1
"this agreement, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by goodreads without restriction.",0
highlights quotes favorite genres friends recommendations account settings help sign out home my books browse recommendations choice awards genres giveaways new releases lists explore news &amp.,0
"license grant by posting any user content on the service, you expressly grant to goodreads a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.",1
certain state laws do not allow limitations on implied warranties or the exclusion or limitation of certain damages.,0
you may change the settings on your my account page to control your profile and how other members communicate with you.,0
you are solely responsible for your user content.,0
"upon termination for any reason or no reason, you continue to be bound by this agreement.",0
you agree to notify goodreads immediately of any breach of security or unauthorized use of your account.,1
"we reserve the right, but have no obligation, to monitor disputes between you and other users.",1
"you agree to those terms by entering into this agreement or using a kindle, any reading application, or the service.",0
"our proprietary rights except for your user content, the service and all materials therein or transferred thereby, including, without limitation, software, images, text, graphics, illustrations, logos, patents, trademarks, service marks, copyrights, photographs, audio, videos, music, and user content (the goodreads content), and all intellectual property rights related thereto, are the exclusive property of goodreads and its licensors.",0
"you may choose to or we may invite you to submit comments or ideas about the service, including without limitation about how to improve the service or our products (ideas).",1
(v) any claim or damages that arise as a result of any of your user content or any that are submitted via your account.,1
"except as explicitly provided herein, nothing in this agreement shall be deemed to create a license in or under any such intellectual property rights, and you agree not to sell, license, rent, modify, distribute, copy, reproduce, transmit, publicly display, publicly perform, publish, adapt, edit or create derivative works from any materials or content accessible on the service.",0
any derivative use of any part of the service or its contents.,0
"any downloading, copying, or other use of account information for the benefit of any third party.",0
you understand and agree that any loss or damage of any kind that occurs as a result of the use of any user content that you post is solely your responsibility.,0
by providing goodreads your email address you consent to our using the email address in accordance with our privacy policy.,0
"additionally, your dealings with or participation in promotions of advertisers found on goodreads, including payment and delivery of goods, and any other terms (such as warranties) are solely between you and such advertisers.",0
"(iv) your violation of any law, rule or regulation of the united states or any other country.",1
please contact us with any questions regarding this agreement.,0
"this agreement applies to all visitors, users, and others who access the service (users).",0
"no waiver of any term of this agreement shall be deemed a further or continuing waiver of such term or any other term, and goodreads failure to assert any right or provision under this agreement shall not constitute a waiver of such right or provision.",1
"if you submit user content via the my writing or ebook features, our terms of use for writers apply to that user content.",0
"(ii) your violation of any term of this agreement, including without limitation your breach of any of the representations and warranties above.",1
"ads blog api connect 2020 goodreads, inc",0
home my books browse recommendations choice awards genres giveaways new releases lists explore news &amp.,0
"this license does not include any resale or commercial use of any part of the service, or its contents.",0
your account gives you access to the services and functionality that we may establish and maintain from time to time and in our sole discretion.,0
your continued use of the service after any such changes constitutes your acceptance of the revised agreement.,1
the licenses granted by us terminate if you do not comply with this agreement.,0
and that you will indemnify goodreads for all claims resulting from content you supply.,0
you represent and warrant that you own or otherwise control all of the rights to the content that you post.,0
"welcome to goodreads.com, the website and online service of goodreads llc (together with its affiliates, goodreads we, or us).",0
the service is subject to scheduled and unscheduled service interruptions.,0
"you agree that goodreads will not be liable to you for any interruption of the service, delay or failure to perform.",0
use of the goodreads content or materials on the service for any purpose not expressly permitted by this agreement is strictly prohibited.,0
"you may not use a false e-mail address, impersonate any person or entity, or otherwise mislead as to the origin of content.",0
"however, there are no refunds for cancellation.",1
you expressly agree that your use of the service is at your sole risk.,1
"goodreads does not warrant that the service, information, content, materials, products (including software) or other services included on or otherwise made available to you through the service, goodreads servers or electronic communications sent from goodreads are free of viruses or other harmful components.",0
"goodreads may add new services for additional fees and charges, or amend fees and charges for existing services, at any time in its sole discretion.",0
you do not have to register in order to visit goodreads.,1
"any collection and use of any book listings, descriptions, reviews or other material included in the service.",0
a description of the material that is claimed to be infringing and where it is located on the service.,0
"we encourage you to be aware of when you leave the service, and to read the terms and conditions and privacy policy of any third-party website or service that you visit.",0
"to access certain features of the service, though, including creating bookshelves to organize what youve read, posting book reviews, and commenting on other members reviews, you will need to register with goodreads and create a member account.",0
