text,highlighted
And (c) any claim for injunctive relief.,0
"Copy or adapt the siteâs software, including but not limited to flash, php, html, javascript, or other code.",0
Use the site as part of any effort to compete with us or otherwise use the site and/or the content for any revenue-generating endeavor or commercial enterprise.,0
"To the full extent permitted by law, (a) no arbitration shall be joined with any other proceeding.",0
You agree to keep your password confidential and will be responsible for all use of your account and password.,1
"Your contributions are not false, inaccurate, or misleading. 5.",0
". we have the right, in our sole and absolute discretion, (1) to edit, redact, or otherwise change any contributions.",0
(b) there is no right or authority for any dispute to be arbitrated on a class-action basis or to utilize class action procedures.,1
"If this provision is found to be illegal or unenforceable, then neither party will elect to arbitrate any dispute falling within that portion of this provision found to be illegal or unenforceable, and such dispute shall be decided by a court of competent jurisdiction within the courts listed for jurisdiction above, and the parties agree to submit to the personal jurisdiction of that court.restrictionsthe parties agree that any arbitration shall be limited to the dispute between the parties individually.",0
(2) use of the site.,0
"We shall own exclusive rights, including all intellectual property rights, and shall be entitled to the unrestricted use and dissemination of these submissions for any lawful purpose, commercial or otherwise, without acknowledgment or compensation to you.",0
"Systematically retrieve data or other content from the site to create or compile, directly or indirectly, a collection, compilation, database, or directory without written permission from us.",0
"We will alert you about any changes by updating the âlast updatedâ date of these terms of use, and you waive any right to receive specific notice of each such change.",0
"We do not warrant, endorse, guarantee, or assume responsibility for any product or service advertised or offered by a third party through the site, any hyperlinked website, or any website or mobile application featured in any banner or other advertising, and we will not be a party to or in any way be responsible for monitoring any transaction between you and any third-party providers of products or services.",0
Use the site to advertise or offer to sell goods and services.,0
12 .,0
"To the fullest extent permitted by law, we disclaim all warranties, express or implied, in connection with the site and your use thereof, including, without limitation, the implied warranties of merchantability, fitness for a particular purpose, and non-infringement.",1
"You understand that without this provision, you would have the right to sue in court and have a jury trial.",0
"Engage in any automated use of the system, such as using scripts to send comments or messages, or using any data mining, robots, or similar data gathering and extraction tools.",0
"The use and distribution may occur in any media formats and through any media channels. this license will apply to any form, media, or technology now known or hereafter developed, and includes our use of your name, company name, and franchise name, as applicable, and any of the trademarks, service marks, trade names, logos, and personal and commercial images you provide. we do not assert any ownership over your contributions.",0
"We will use reasonable efforts to notify you of any such claim, action, or proceeding which is subject to this indemnification upon becoming aware of it.user datawe will maintain certain data that you transmit to the site for the purpose of managing the performance of the site, as well as data relating to your use of the site.",0
"Circumvent, disable, or otherwise interfere with security-related features of the site, including features that prevent or restrict the use or copying of any content or enforce limitations on the use of the site and/or the content contained therein.",0
24 .,0
