Highlighted Clause,Plain Language Summary
"By posting any user content on the service, you expressly grant to Goodreads a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.","When you share content on Goodreads, you are giving them the permanent right to use it in any way and share it worldwide without paying you."
By providing Goodreads your email address you consent to our using the email address in accordance with our privacy policy.,"By giving Goodreads your email, you agree to let them use it based on their privacy policy."
"Goodreads disclaims all warranties, express or implied, including, but not limited to, implied warranties of merchantability and fitness for a particular purpose.",Goodreads doesn't promise that its service will meet all your needs or that it will always work perfectly.
The licenses granted by us terminate if you do not comply with this agreement.,"If you break the terms of the agreement, you lose the right to access Goodreads services."
"In the event that Goodreads suspends or terminates your account or this agreement, you understand and agree that you shall receive no refund or exchange for any unused time on a subscription, any license or subscription fees, any content or data associated with your account, or for anything else.","If Goodreads cancels your account, you won't get your money back for anything you've paid for but haven't used."
"You agree not to post user content that is illegal, obscene, threatening, defamatory, invasive of privacy, infringing of intellectual property rights, or otherwise injurious to third parties or objectionable.","You must not share anything on Goodreads that breaks the law, is offensive, or could harm others."
You may never use another member’s account without permission.,Don’t use someone else’s Goodreads account unless you have their explicit permission.
We reserve the right to amend this agreement at any time in our sole discretion by posting the revised agreement on the Goodreads.com website.,"Goodreads can change the terms of service whenever they want, and they'll post the new version on their website."
"Goodreads may permanently or temporarily terminate, suspend, or otherwise refuse to permit your access to the service without notice and liability for any reason, including if in Goodreads' sole determination you violate any provision of this agreement, or for no reason.","Goodreads can shut down your access to their services at any time without warning, whether you've broken the rules or not."
"This agreement, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by Goodreads without restriction.","You cannot give your rights and permissions from this agreement to anyone else, but Goodreads can."
Goodreads is not responsible for any public display or misuse of your user content.,Goodreads isn't liable if your content is shared publicly or misused by anyone.
"You may cancel your Goodreads account at any time; however, there are no refunds for cancellation.",You can delete your Goodreads account whenever you want but don't expect to get your money back.
"Goodreads does not warrant that the service, information, content, materials, products or other services included on or otherwise made available to you through the service, Goodreads’ servers, or electronic communications sent from Goodreads are free of viruses or other harmful components.",Goodreads doesn't guarantee their service or website will be virus-free or not harm your computer.
"Any dispute or claim arising from or relating to this agreement or the service is subject to binding arbitration, governing law, disclaimer of warranties, limitation of liability and all other terms in the Amazon.com conditions of use.","Any disagreements or legal issues related to the use of Goodreads or its terms should be settled through arbitration and are subject to the rules and limits in the Amazon.com conditions, which include limiting Goodreads' responsibility for problems."
"Subject to your compliance with this agreement and your payment of any applicable fees, we grant you a limited, non-exclusive, non-transferable, non-sublicensable license to access and make personal and non-commercial use of the service.","Provided you follow the terms and pay any fees, Goodreads gives you a limited license to use their service for personal, non-business purposes."
"If these laws apply to you, some or all of the above disclaimers, exclusions, or limitations may not apply to you, and you might have additional rights.",Local laws might give you more rights or might mean some of Goodreads’ limits on liability don't apply to you.
