text,highlighted
"For web and mobile based data transfers, data is sent over an encrypted channel with server side aes 256-bit encryption. if you choose the default encryption option, the system chooses a key for encrypting your data.",1
1.,0
"Notices any notice under these terms given by idrive inc. to you will be deemed to be properly given if sent (i) by email to your email address as set forth in the registration information, (ii) by a startup screen that starts before your next use of the services, (iii) by written communication mailed by first class u.s. mail to your address on record in the registration information, or (iv) by a display about the changed information in the terms on our website.",0
"Except as otherwise expressly provided for in these terms of use, any price changes or changes to your subscription plan will take effect following notice to you. please note that we may automatically receive updated credit card information from our merchants from time to time in cases where your account is issued a new card number or your credit card expires.",0
Evs facilitates developers to produce third party applications that utilize idrive for backup purposes.,0
"Other changes may be posted to our blog or terms page, so please check those pages regularly.",0
"You agree that by using third party applications to access your account, you are doing so at your own risk.",0
Please reference the windows notes and mac notes for previous account versions.,0
"On successful cancellation of an account by you or by us, due to various reasons including non-payment for the services, your data will be removed from our storage servers.",0
It is important that you maintain a correct working email address and update it if necessary to be able to receive our communications.,0
"You are liable for returning damaged bmr appliance, including damages caused during shipping due to poor packaging.",0
"Your account you agree to provide us with accurate and complete information when you create an idrive account (your ""account"").",0
"Partner management disclaimer: under our 'partner management' feature, we provide our resellers direct access to the bmr server of their customers through the centralized web console with automatic login.",0
It is also important that you monitor your local and cloud backups periodically to make sure that the backups are taking place successfully.,0
"However, no password-protected system of data storage and retrieval can be made entirely impenetrable.",0
Release dates are posted on the product download pages.,0
Class action clause you agree that class actions are not allowed and all disputes with idrive must be resolved on an individual basis .,0
This allows for easy central administration of multiple accounts that can be based on administrator set quota levels or different plans according to user needs.,0
(ii) if we are required to do so by law.,1
"Termination we may, at our option and in addition to other remedies, immediately and without notice terminate these terms at any time or suspend your access to the services: (i) if you breach any provision of these terms.",0
"However, idrive disclaims all responsibility and liability arising out of the use of third party applications, and we do not provide any warranties, express or implied, regarding the functionality, use, or performance of any third party applications.",0
"Idrive for wordpress, idrive lite, idrive contacts, and idrive photo backup the idrive for wordpress plug-in, idrive lite, idrive contacts, and idrive photo backup accounts are based on different technologies and are not inter-operable with standard idrive accounts.",0
"Please note on cancellation, refunds are issued if account is canceled within thirty (30) days of its creation date.",0
We are not responsible for any business interruptions that may be caused due to this process).,0
"Multiple computers, additional/sub-accounts and bulk resellers idrive offers an additional/sub-accounts feature for clear separation of authentication and encryption key (if used).",0
(c) will not use the services to sell and/or distribute digital content to others.,0
