Highlighted Clause,Plain Language Summary
"If any provision of the terms is deemed unlawful, void, or unenforceable, that provision shall be deemed severable from our terms and shall not affect the enforceability of the remaining provisions.","If a part of these Terms is not legally valid, it will be removed without affecting the rest of the Terms."
You are responsible for keeping your device and your signal account safe and secure.,It is your responsibility to protect your device and Signal account.
The foregoing disclaimer of certain damages and limitation of liability will apply to the maximum extent permitted by applicable law.,The parts where Signal limits its responsibility for damages or losses will be enforced as much as the law allows.
We reserve the right to limit our services in any country.,Signal can decide to restrict their services in any country.
These providers are bound by their privacy policies to safeguard that information.,Third-party providers used by Signal must follow their own privacy policies to protect your information.
You agree to receive text messages and phone calls (from us or our third-party providers) with verification codes to register for our services.,"By signing up for Signal, you consent to getting texts or calls for verification codes."
"The following provisions will survive termination of your relationship with signal: ""licenses,"" ""disclaimers,"" ""limitation of liability,"" ""resolving dispute,"" ""availability"" and ""ending these terms,"" and ""general.""","Certain sections will still apply even if you stop using Signal or delete the app, such as license agreements and liability limits."
Signal may update the terms from time to time.,Signal can change the Terms of Service when they need to.
You must have the rights to the phone number you use to sign up for your Signal account.,You can only use a phone number that you are allowed to use to create a Signal account.
"We own all copyrights, trademarks, domains, logos, trade dress, trade secrets, patents, and other intellectual property rights associated with our services.",Signal owns all legal rights to their brand and the technology of their app.
"Signal does not sell, rent or monetize your personal data or content in any way – ever.",Signal promises not to make money from your personal data or messages.
"We do not control, and are not responsible for, controlling how or when our users use our services.",Signal doesn't take responsibility for how or when people use their app.
"Our aggregate liability relating to, arising out of, or in any way in connection with our terms, us, or our services will not exceed one hundred dollars ($100).",The most Signal could have to pay you for any legal claims or problems with the app is $100.
"If you do not agree with our terms, you should stop using our services.","If you don't accept these Terms, you shouldn't use Signal."
"You agree to resolve any claim you have with us relating to or arising out of our terms, us, or our services exclusively in the United States District Court for the Northern District of California or a state court in San Mateo County, California.",Any legal issues with Signal should be dealt with in specific courts in California.
You can manage your personal information in Signal's application settings.,You have the ability to control your personal data within Signal's app settings.
"Our services do not provide access to emergency service providers like the police, fire department, hospitals, or other public safety organizations.",You can't reach emergency services through Signal.
Our terms cover the entire agreement between you and signal regarding our services.,The Terms of Service represent the whole agreement between you and Signal.
