Highlight,Summary
"tumblr may, in its sole discretion, modify the functionality of, or eliminate, paid services, or the terms and conditions under which paid services are provided.",Tumblr can change or stop offering paid services and will change the terms of these services as they see fit.
"this license ends when the promotion has been completed or cancelled, but it may take up to forty eight (48) hours for a promotion to stop being reflected on the services.",The right for Tumblr to use your content for promotions ends when the promotion finishes or is cancelled.
"if you do not wish to pay the new prices, you may choose not to purchase, or to cancel, the applicable paid service prior to the change going into effect.","If Tumblr raises prices, you can choose not to buy or can cancel paid services before the price change happens."
"as such, the following provisions apply specifically to subscribers located outside of the united states: (1) you acknowledge that we will transfer, store, and process your information, including but not limited to subscriber content and any personal information, in the united states and/or other countries in order to provide you with the services and perform this agreement.","Your personal data can be moved, stored, and processed in the United States or other countries when you use Tumblr."
"(d) damages relating to any conduct or content of any third party or subscriber using the services, including without limitation, defamatory, offensive or illegal conduct or content.",Tumblr isn't responsible for any harm caused by other users or third parties when you use the service.
these terms of service contain limitations of tumblrs liability in section 14.,"There are important limits on what Tumblr is responsible for, listed in section 14."
time limitation on claims and releases from liability you agree that any claim you may have arising out of or related to this agreement or your relationship with tumblr must be filed within one year after such claim arose.,You have to bring up any issues with Tumblr within one year or you can't at all.
termination of your access to and use of the services shall not relieve you of any obligations arising or accruing prior to such termination or limit any liability that you otherwise may have to tumblr or any third party and shall not relieve you of your rights if you are a user in the european economic area which are described in the privacy policy.,"Even if your access to Tumblr's services ends, you still have to follow any obligations you had before."
users may opt out of this functionality here.,You can choose not to let Tumblr collect certain data about you.
"note that, if you have prepaid for any paid services (as defined below) prior to a modification of this agreement, your use of such prepaid paid services is governed by the version of this agreement in effect at the time tumblr received your prepayment.","If you've paid for services before Tumblr changes these terms, the old agreement applies."
"without limiting the foregoing, to the full extent permitted by law, tumblr disclaims all warranties, express or implied, of merchantability, fitness for a particular purpose, or non-infringement.",Tumblr doesn't promise that the service will meet your needs or that there won't be errors.
"termination and deletion: on termination of your account, or upon your deletion of particular pieces of subscriber content from the services, tumblr shall make reasonable efforts to make such subscriber content inaccessible and cease use of it and, if required by the applicable privacy policy, delete your account data and / or subscriber content unless permitted or required to keep this data in accordance with law.","When your Tumblr account ends, Tumblr will try to make your content inaccessible and stop using it, but not all content may be removed."
"(2) the term subscriber content means content that a subscriber submits, transfers, or otherwise provides to the services.",'Subscriber content' refers to content provided to the services by users.
services available on an as is basis your access to and use of the services or any content is at your own risk.,You use Tumblr knowing that it might not work perfectly and is at your own risk.
"service changes and limitations: the services change frequently, and their form and functionality may change without prior notice to you.",Tumblr services can change and might not always tell you beforehand.
"you may not relicense, resell, transfer, or exchange paid services within or outside of the services, except as expressly allowed by the rules of those paid services.",You can't resell or transfer any paid services on Tumblr unless the service allows it.
"you shall pay all applicable fees, as described in the applicable services, in connection with such services, and any related taxes or additional charges.","You must pay all fees for services you use on Tumblr, including any extra charges."
tumblr may remove or disable any promotion for any reason in its sole discretion.,Tumblr can end any promotion at any time for any reason.
"after removing material pursuant to a valid dmca notice, tumblr will immediately notify the subscriber responsible for the allegedly infringing material that it has removed or disabled access to the material.",Tumblr will tell you if they remove your content because it's thought to infringe copyright.
"if you choose, you may also contribute your custom themes for use by other subscribers as subscriber content.","You can use your own Tumblr theme designs on your blog, or share them with others."
"you also agree that this license includes the right for tumblr to make all publicly-posted content available to third parties selected by tumblr, so that those third parties can syndicate and/or analyze such content on other media and services.",Tumblr can share your public content with third parties who can share it on their services.
"the rights you grant in this license are for the limited purposes of allowing tumblr to operate the services in accordance with their functionality, improve and promote the services, and develop new services.","You give Tumblr rights to use your content for running, improving, and creating new services."
"this limitation applies to all claims, whether based on warranty, contract, tort, or any other legal theory, whether or not tumblr has been informed of the possibility of such damage, and further where a remedy set forth herein is found to have failed its essential purpose.","Tumblr is not responsible for big losses, like lost profits, even if they knew it could happen."
"tumblr may terminate or suspend your access to or ability to use any and all services immediately, without prior notice or liability, for any reason or no reason, including but not limited to if you breach any of the terms or conditions of this agreement.","Tumblr can end your access to its services at any time, without telling you first."
compliance with community guidelines: you agree that you wont violate tumblrs community guidelines.,You promise not to break Tumblr's community guidelines.
"tumblr will terminate, under appropriate circumstances, the accounts of subscribers who are repeat copyright infringers, and reserves the right, in its sole discretion, to terminate any subscriber for actual or apparent copyright infringement.","If you repeatedly infringe copyrights, Tumblr can terminate your account."
dmca copyright policy tumblr has adopted the following policy toward copyright infringement on the services in accordance with the digital millennium copyright act (the dmca).,Tumblr has a policy to deal with copyright infringement following the law.
you retain ownership you have of any intellectual property you post to tumblr.,You keep the rights to any intellectual property you post on Tumblr.
dont do bad things to tumblr or to other users.,You agree not to do harmful things to Tumblr or its users.
"you are also responsible for maintaining the confidentiality of your account password and for the security of your account, and you will notify tumblr immediately of any actual or suspected loss, theft, or unauthorized use of your account or account password.",You must keep your Tumblr password safe and tell Tumblr if there's a problem.
