Highlighted Clause,Plain Language Summary
"If for any reason a dispute proceeds in court rather than through arbitration, you and we agree that there will not be a jury trial.","If there's a dispute and it ends up in court instead of arbitration, both the user and the company agree to give up the right to a jury trial."
You can stop using the services at any time.,You have the freedom to cease using the services whenever you choose.
"After 30 days from the date of any unpaid charges, your fee-based service will be deemed delinquent and we may terminate or suspend your account and fee-based service for nonpayment.","If you don't pay for services and have overdue charges for more than 30 days, your account and paid services may get suspended or canceled."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The company can change, pause, or stop your access to their services at any time, especially if you break the rules or cause potential harm or legal problems."
"We may freely assign these terms and all of the policies and other documents incorporated or referenced in it (including all rights, licenses, and obligations under it or them), in whole or in part and without notice, for any reason, including for the purpose of internal restructuring (for example, mergers or liquidations).","The company can transfer this agreement and any related policies to others at any time without telling you, for any reason including company restructuring like mergers."
You may cancel a fee-based service at any time by logging into your online account and terminating the subscription.,You can cancel any service you pay for at any time through your online account.
We reserve the right to discontinue any Verizon Media RSS feed at any time and to require anyone to cease use of a Verizon Media RSS feed at any time for any reason.,The company can stop providing RSS feeds from their services whenever they want and can ask anyone to stop using them at any time.
"However, if for any reason the class action waiver set forth below in subsection 14.3.c cannot be enforced as to some or all of the dispute, then the agreement to arbitrate will not apply to that dispute or portion thereof.","If a part of the agreement that prevents class action lawsuits can't be enforced, the dispute or part of the dispute won't be subject to arbitration."
"Any disputes covered by any deemed unenforceable class action waiver provision may only be litigated in a court of competent jurisdiction, but the remainder of the agreement to arbitrate will be binding and enforceable.","If you can't waive the right to a class action lawsuit, you may take the dispute to a competent court, but the rest of the arbitration agreement is still valid."
We reserve the right to limit you to one free trial or promotion of a fee-based service and to prohibit the combining of free trials or other promotional offers.,The company can restrict you to only one free trial or special offer and prevent you from combining multiple promotions.
"The following services are provided to you by the same Verizon Media Entity wherever you are based in the world: for the services in this section 13(b)(i), the provisions of section 14.2 (United States) apply.","No matter where you are in the world, the same part of the company provides certain services, and the rules from a specific section of the terms (U.S. laws) apply."
"Modifying these terms when we modify the services as outlined in section 7(a), or we modify these terms pursuant to section 12(b), we will notify you a reasonable amount of time in advance of any modifications that will be of material disadvantage to you or materially limit your access to or usage of the services.","If the company makes changes to the services or this agreement that could negatively affect you or limit your access, they will inform you in advance."
"If you believe that your copyright or intellectual property rights have been infringed, please follow the instructions provided here content in the services and license grant to Verizon Media content.","If you think someone has violated your copyright or intellectual property rights within the services, follow the provided instructions for reporting it."
We may import payment information you entered during a prior purchase and provide you the option to use that payment information during purchase of a new product.,The company can use payment information from past purchases to simplify the process for future transactions.
"If for any reason a dispute proceeds in court rather than through arbitration, you and we agree that there will not be a jury trial.","If you end up in court with the company, both parties are giving up the right to a trial by jury."
"You are responsible for all charges incurred under your account, including purchases made by you or anyone you allow to use your account.","You'll have to pay for all charges made through your account, whether made by you or someone you've given access to."
"We reserve the right to charge fees for use of or access to the services (and any associated support), whether currently in existence or not, in our sole discretion.",The company can start charging you for using the services or for support services at their discretion.
