Highlighted Clause,Plain Language Summary
"You must make it clear how to contact you, either in your user agent string, or on your website if you have one.","If you're using automated tools to access Quora, you need to provide contact information either in the tool itself or on your website."
Quora has provided certain disclaimer template language that professional contributors may edit and incorporate in their answers.,Quora offers a disclaimer template for professionals to customize and include in their answers.
"When you sign up for the quora platform, the service includes receipt of digests of content that may be of interest to you.",Signing up for Quora means you'll receive summaries of content that might interest you.
"Notices will be deemed given (a) if to you, when emailed, and (b) if to us, on receipt by us.","You'll be considered notified when Quora emails you, and Quora is considered notified when they receive your communication."
You agree that quora is operated in the United States and will be deemed to be solely based in California and a passive service for purposes of jurisdictional analysis.,"Quora is based and operates from California, USA, which affects how legal issues are handled."
"Our content and materials are provided to you “as is,” without any guarantees.",Quora's content comes without warranties or promises of accuracy and reliability.
We may terminate our license to you at any time for any reason.,"Quora can cancel your right to use its platform at any time, for any reason."
"If you do not agree to the amendments or to any of the terms in this agreement, your only remedy is to cancel your account or to cease use of the quora platform.","If you disagree with changes to Quora’s terms or the terms themselves, you should stop using Quora or delete your account."
You also grant us and other users of the quora platform certain rights and license to use it.,"By posting on Quora, you allow Quora and its users to use your content under specific terms."
We may freely assign or transfer this agreement.,Quora can transfer this agreement to another entity without restriction.
We welcome your feedback and suggestions about how to improve the quora platform.,Quora invites you to provide suggestions to improve the platform.
We may terminate or suspend your quora account if you violate any quora policy or for any other reason.,Quora can end your account for breaking its rules or for other reasons.
We have no obligation to delete content that you personally may find objectionable or offensive.,Quora isn’t required to remove content just because you might find it offensive.
"If you have a question or complaint regarding the quora platform, please contact quora at support@quora.com.","If you have issues with Quora, you should email their support team."
