Highlighted Clause,Plain Language Summary
"Âcocoon rewardsâ do not have any monetary value, and may not be redeemed for cash, except where required by the applicable law.","Cocoon's rewards can't be exchanged for money, unless the law in your area says otherwise."
"We also use cookies to customize services, content, advertising, and promotional offers.",Cookies are used to tailor the services and ads to your preferences.
"If you are under the age of majority in your jurisdiction of residence, you must have the agreement of your parent/legal guardian to this agreement on your behalf.","If you're not considered an adult where you live, a parent or guardian needs to agree to these terms for you."
You do not need to specifically inform cocoon when you stop using the services.,You don't have to tell Cocoon when you decide to stop using their services.
"You acknowledge and agree that if cocoon disables access to your account, you may be prevented from accessing the services, your account details or any files or other content which is contained in your account.","Acknowledge that if Cocoon disables your account, you'll lose access to their services and anything linked to your account."
"You agree to use the services only for purposes that are permitted by (a) the terms and (b) any applicable law, regulation or generally accepted practices or guidelines in the relevant jurisdictions.","Agree to use the services only for allowed purposes, as defined by these terms and any relevant laws."
The remaining provisions of the terms will continue to be valid and enforceable.,"Even if part of the terms is found invalid, the rest still apply."
"Cocoon is not responsible for the availability of any such external sites or resources, and does not endorse any advertising, products or other materials on or available from such web sites or resources.","Cocoon isn't liable for external websites or their content, nor do they endorse them."
Cocoon may make changes to the universal terms or additional terms from time to time.,Cocoon can alter their terms at any point.
"Cocoon may at any time, terminate its legal agreement with you if: (a) you have breached any provision of the terms (or have acted in manner which clearly shows that you do not intend to, or are unable to comply with the provisions of the terms).",Cocoon can end their agreement with you if you break the terms.
"The software is licensed, not sold, to you by cocoon.",You're given a license to use Cocoon's software; you don't own it.
"You agree that cocoon may provide you with notices, including those regarding changes to the terms, by email, regular mail, or postings on the services.","Cocoon will notify you of any term changes through email, mail, or on their services."
"You may not assign (or grant a sub-license of) your rights to use the software, grant a security interest in or over your rights to use the software, or otherwise transfer any part of your rights to use the software.",You can't give away or sell your rights to use the software.
You may terminate the license at any time by destroying all copies of the software in your possession or control.,You can end the license agreement whenever by deleting all copies of Cocoon's software.
Cocoon shall still be allowed to apply for injunctive remedies (or an equivalent type of urgent legal relief) in any jurisdiction.,Cocoon can seek court orders or similar urgent legal action anywhere needed.
Your use of the services is at your sole risk and that the services are provided âas isâ and âas available.â,"Using Cocoon's services is solely at your own risk, with no guarantees."
Cocoon reserves the right at any time in its sole discretion to cancel and remove cocoon rewards if your account is found in violation of any of the terms held therein or for any reason at all in cocoonâs sole discretion.,Cocoon can cancel your rewards and potentially your account if they decide you've broken any terms.
You acknowledge that the software may allow you to access content that is offensive or objectionable to you and that in this respect you use the software at your own risk.,"Be aware that Cocoon's software might let you find upsetting or offensive content, and you're using it at your own risk."
Any material downloaded or otherwise obtained through the use of the services is done at your own discretion and risk and that you will be solely responsible for any damage to your computer system or other device or loss of data that results from the download of any such material.,You're responsible for any harm or data loss that results from downloading materials through Cocoon's services.
