Highlighted Clause,Plain Language Summary
"To the fullest extent permissible pursuant to applicable law, ifunny disclaims all warranties, express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, and non-infringement.","iFunny completely denies any guarantees or promises, whether stated outright or implied by law, about the quality, suitability, or legality of their service."
"By using the services, you expressly hold ifunny harmless from any and all liability arising from your use of any third-party website.",You agree not to hold iFunny responsible for any issues that could arise from using third-party websites while using their services.
"You agree to waive, and hereby do waive, any legal or equitable rights or remedies you have or may have against ifunny with respect thereto to the fullest extent permitted by law.","You give up your right to take legal action against iFunny regarding any problems that come up from using their services, to the extent the law allows."
"Ifunny will also terminate a user's access to the services, if they are determined to be a repeat infringer.",iFunny will cancel your access to their services if you repeatedly violate copyright or other intellectual property rights.
"Ifunny is not obligated to monitor or edit any content posted on ifunny, including, but not limited to, user engagement.",iFunny is not required to check or change the content that users post.
"Ifunny provides you with a limited, non-exclusive, non-sublicensable, non-assignable, and revocable license to use the services for their customary and intended purposes.","You're allowed to use iFunny's services in the usual way, but you cannot transfer this permission to others, and iFunny can end it at any time."
You are responsible for keeping your password secure and you are solely responsible for the activity that occurs on your account.,"You must keep your iFunny account password safe, and you are the only one responsible for what happens with your account."
"Ifunny reserves the right to amend this agreement at any time and without notice, and it is your responsibility to review this agreement for any changes.","iFunny can change the terms of service anytime without telling you, and you should check the terms regularly for updates."
"The maximum total liability of the ifunny parties to you for any claim under this agreement, whether in contract, tort, or otherwise, is $100.",The most iFunny could have to pay you for any claim related to the agreement is $100.
This terms of use agreement contains an arbitration provision and a class action waiver that affect your legal rights.,The terms include conditions for settling disputes out of court and prevent you from joining group lawsuits against iFunny.
"You and ifunny agree that any dispute, claim, or controversy arising out of or in relation to this agreement will be settled by binding individual arbitration.","You and iFunny must address any complaints or disagreements about the terms through private arbitration, not in court."
"11.1 To the extent not prohibited by law, in no event shall the iFunny parties be liable to you for any loss or damages of any kind that are directly or indirectly related to the services.","Unless the law says otherwise, iFunny won't be responsible for any kind of loss or damage that might happen to you in connection with using their services."
"By accessing or using the iFunny services, you represent and warrant that your activities are lawful in every jurisdiction where you access or use the iFunny services.",You promise that your use of iFunny's services is legal wherever you are.
