Highlighted Clause,Plain Language Summary
You should make whatever investigation you feel necessary or appropriate before proceeding with any online or offline interaction with any other person.,"Before you interact with others online or offline, it's your responsibility to do any research you deem necessary."
"Khan academy may also in its sole discretion and at any time discontinue providing access to the services, or any part thereof, with or without notice.","Khan Academy can stop providing access to its services or any part of them at any time, with or without telling you first."
"If you choose to access our services from locations outside the United States, you consent to the collection, transmission, use, storage and processing of content and data (including your personal information) in the United States.","By using the services from outside the US, you agree to have your data, including personal information, transferred and processed in the US."
Any assignment attempted to be made in violation of the terms shall be null and void.,"If you try to transfer your rights or obligations under these terms to someone else without permission, it won't be valid."
You may revoke Khan Academy's access to your account on any integrated service at any time by updating the appropriate account settings of the respective integrated service.,You can stop Khan Academy from accessing your account on services like Google Classroom by changing your settings on those services.
The services are hosted in the United States and the services provided hereunder are offered by Khan Academy.,Khan Academy's services are based and operated from the United States.
"If any provision of the terms or any guidelines is held to be unlawful, void, or for any reason unenforceable, then that provision will be limited or eliminated from the terms to the extent necessary and will not affect the validity and enforceability of any remaining provisions.","If any part of these terms is found to be illegal or unenforceable, it will be removed without affecting the rest of the terms."
"You must use the services and the website in compliance with all applicable laws, rules, and regulations.",You need to follow all relevant laws and regulations when using Khan Academy's services and website.
"Except for any user content provided and owned by users and except as otherwise set forth in this section 7, all services materials, and all trademarks, service marks, and trade names, contained on or available through the services are owned by or licensed to Khan Academy.","Khan Academy owns or has a license to use all the materials, trademarks, and names on its service, except for content that users provide and own themselves or as stated otherwise."
"Any suspected fraudulent, abusive or illegal activity may be referred to appropriate law enforcement authorities.","Khan Academy might report you to the police if it thinks you're doing something illegal, fraudulent, or abusive."
"You are solely responsible for maintaining the confidentiality of your account and password, and you agree to accept responsibility for all activities that occur under your account or password.",You must keep your account and password private and will be responsible for any activity on your account.
"By using, downloading, or otherwise accessing such licensed educational content, you agree to comply fully with all the terms and conditions of such alternate license.","When you use educational content, you need to follow all the terms that come with it."
"Upon termination of the terms, any provision which, by its nature or express terms should survive, will survive such termination or expiration.",Some parts of these terms will still apply even if the agreement between you and Khan Academy is ended.
These terms shall remain in full force and effect while you use the services unless your account is terminated as provided in these terms.,"These terms will apply to you for as long as you use the services, unless your account gets terminated."
"You agree, to the extent permissible under your state's laws, to indemnify, defend, and hold harmless Khan Academy, and its parent, successors, affiliated companies, contractors, officers, directors, employees, agents, and its third-party suppliers, licensors, and partners from and against all losses, damages, liabilities, demands, judgments, settlements, costs, and expenses of any kind from any claim or demand made by any third-party relating to or arising out of your access to, use or misuse of the services.",You agree to protect Khan Academy from any costs or losses if someone else makes a claim against Khan Academy because of something you did on the service.
"Khan Academy will promptly terminate without notice your access to the services if you are determined by Khan Academy to be a ""repeat infringer.""","If you repeatedly break copyright rules, Khan Academy can quickly cut off your access without telling you first."
You may terminate these terms at any time (prospectively only) by deleting your login account with the services and discontinuing use of any and all parts of the services.,You can end your agreement with Khan Academy anytime by deleting your account and stopping using the services.
"Khan Academy reserves the right, at our discretion, to change, modify, add, or remove portions of the terms at any time.",Khan Academy can change the terms anytime it wants to.
"For any material changes to the terms, Khan Academy will make reasonable effort to provide notice to you of such amended terms.","If there are big changes to the terms, Khan Academy will try to let you know."
