Highlighted Clause,Plain Language Summary
You also waive to the full extent permitted by law any and all claims against us related to moral rights in the content.,"By using the service, you give up any legal claims related to your moral rights in the content you share on the platform."
"Accordingly, we assume no liability for any action or inaction regarding transmissions, communications or content provided by any user or third party.",The service isn't responsible for what users or third parties do or don't do on the platform.
please read the terms of service carefully before you start to use the website.,You should thoroughly read and understand the terms of service before using the website.
Waiver and severability no waiver by the company of any term or condition set forth in these terms of service shall be deemed a further or continuing waiver of such term or condition or a waiver of any other term or condition.,"If the company overlooks a breach of these terms once, it doesn't mean it cannot enforce that term or others in the future."
"if any provision of these terms of service is held by a court or other tribunal of competent jurisdiction to be invalid, illegal or unenforceable for any reason, such provision shall be eliminated or limited to the minimum extent such that the remaining provisions of the terms of service will continue in full force and effect.","If a court finds any part of these terms invalid, that part will be removed or changed to the extent necessary, but the rest of the terms will continue to apply."
"entire agreement the terms of service, our privacy policy, our copyright policy and any documents they expressly incorporate by reference constitute the sole and entire agreement between you and us with respect to the website and supersede all prior and contemporaneous understandings, agreements, representations and warranties, both written and oral, with respect to the website.","The terms of service, along with the privacy policy and copyright policy, are the complete agreement between you and the service regarding the website and override any earlier understandings or agreements."
"These terms of service, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by us without restriction.","You cannot transfer your rights or licenses under these terms, but the company can assign them to another party without any restrictions."
We will not be liable if for any reason all or any part of the website is unavailable at any time or for any period.,The service won't be held responsible if the website is unavailable at any time or for any length of time.
"In no event shall we be liable to you for any incidental, indirect, punitive, statutory, exemplary, expectation, special, or consequential damages whatsoever.",You can't hold the service responsible for any kind of indirect or significant loss or damages.
"all changes are effective immediately when we post them, and apply to all access to and use of the website thereafter.",Any changes to these terms are effective right away when posted and apply to all future access and use of the website.
"The sole and exclusive jurisdiction and venue for any action or proceeding arising out of or related to this agreement shall be in an appropriate court located in Limassol, Cyprus.","Any legal action related to these terms will be handled exclusively in the courts of Limassol, Cyprus."
"If you breach any provision of these terms of service, any license you have obtained will be automatically rescinded and terminated.","If you break any of these terms, any license you've been given to use the service will be taken back and ended."
"Termination we have the right to: terminate or suspend your access to all or part of the website for any or no reason, including without limitation, any violation of these terms of service.","The service can end or suspend your access for any reason, especially if you break these terms."
"You agree that we shall have the sole right and obligation to control the legal defense against any such claims, demands, or litigation, including the right to select counsel of our choice and to compromise or settle any such claims, demands, or litigation.","The service has the exclusive right to handle its legal defense however it sees fit, including choosing the lawyers and deciding whether to settle any claims or lawsuits."
