Highlighted Clause,Plain Language Summary
"Producer rewards metacafe is no longer accepting videos into the producer reward program and is terminating the producer rewards program with respect to previously accepted videos on June 30, 2009.","The Producer Rewards Program on Metacafe has been discontinued and no further video submissions are accepted as of June 30, 2009."
"Conditions, together with the privacy policy at privacy policy and any other legal notices published by Metacafe on the web site, shall constitute the entire agreement between you and Metacafe concerning the web site.","Metacafe's Terms of Service, Privacy Policy, and other legal notices provided on the website make up the complete agreement that users have with Metacafe."
You retain all of your ownership rights in your user submissions.,You keep all ownership rights to the content you submit to Metacafe.
This defense and indemnification obligation will survive these Terms & Conditions.,You are required to protect and compensate Metacafe for certain issues even after these Terms and Conditions are no longer in effect.
"You are solely responsible for the activity that occurs on your account, and you must keep your account password secure.",You are the only one responsible for any activity on your Metacafe account and should keep your password safe.
Metacafe has complete discretion over whether to display your user submission on the website and you shall be solely responsible for your own User Submissions and the consequences of posting or publishing them.,"Metacafe has the final say on whether to show your content on the website, and you are responsible for your uploaded content and any results from sharing it."
"Intellectual property rights the content on the website, including all user submissions, are owned by or licensed to Metacafe.","The intellectual property rights of the content, including what users submit, belong to Metacafe or they are authorized to use it."
"Metacafe has the right to terminate your access to the website, in its sole discretion, immediately and with or without cause.","Metacafe can end your access to their website at any time, with or without a reason."
"By using the website, you expressly release Metacafe from any and all liability arising from your use of any third-party website.",Metacafe is not responsible for any issues you might encounter when using websites that are not owned by Metacafe.
You must notify Metacafe immediately of any breach of security or unauthorized use of your account.,Inform Metacafe right away if someone uses your account without permission or if there's a security problem.
"If any provision of these Terms & Conditions is deemed invalid by a court of competent jurisdiction, the invalidity of such provision shall not affect the validity of the remaining provisions of these Terms & Conditions, which shall remain in full force and effect.","If any part of Metacafe's Terms of Service is found to be invalid by a court, the rest of the Terms remain valid and enforceable."
"You agree not to use or launch any automated system, including without limitation, ""robots,"" ""spiders,"" and ""offline readers,"" that accesses the website in a manner that sends more request messages to the Metacafe servers in a given period of time than a human can reasonably produce in the same period by using a conventional on-line web browser.",Do not use any automated tools like bots or scripts to overload Metacafe's servers with more requests than a person could normally make with a web browser.
"You may notify Metacafe to remove the user submission from the website, and Metacafe will do so within a reasonable time period.","You can ask Metacafe to take down your content, and they will do so within a reasonable amount of time."
Your use of the website following any amendment of these Terms & Conditions will signify your assent to and acceptance of its revised terms.,"If you continue to use Metacafe after they change the Terms of Service, you're agreeing to the new terms."
"Metacafe reserves the right to amend these Terms & Conditions at any time, without prior notice and at its sole discretion.","Metacafe can change the Terms of Service whenever they want, without telling you first."
You and Metacafe agree that any cause of action arising out of or related to the Metacafe website must commence within one (1) year after the cause of action accrues.,You have to start any legal action related to Metacafe within one year after the issue arises.
"These Terms & Conditions shall be governed by the internal substantive laws of the state of California, without respect to its conflict of laws principles.","The laws of California will be used to interpret Metacafe's Terms and Conditions, regardless of any conflicting legal rules."
"Metacafe does not warrant, endorse or assume responsibility for any content, or product or service advertised or offered by a third party through the website.","Metacafe doesn't guarantee or take responsibility for any third-party content, products, or services shown on their website."
"Limitation of liability in no event shall Metacafe, its officers, directors, employees, or agents, be liable to you for any direct, indirect, incidental, special, punitive, or consequential damages whatsoever resulting from any part of the website.",Metacafe is not legally responsible for any type of damages or losses you might experience related to the use of their website.
