text,highlighted
"If your account has been suspended, you must contact us for further information.",0
"No other right or license, express or implied, of any kind is granted to you hereunder with respect to the services.",0
You choose the service period and the payment method yourself when you sign up for the paid services.,0
"In any case, the liability of nord shall not exceed what the client paid to nord and shall not include attorney fees or court costs irrespective of any laws or statutes that may prescribe otherwise. 10.",0
"In this case, refunds are handled according to the terms of service of the reseller from which the product was purchased.",0
"Neither nord nor any of its parents, subsidiaries or affiliates, nor any of their employees, officers or directors, shall be liable for any direct, indirect, punitive, incidental, special, consequential, or other damages (including, without limitation, loss of data or information of any kind, loss of business, lost profits, interruption of business, cost of cover or any other damages) arising out of or in any way related to this agreement or the use or inability to use the services, whether based on contract, tort, strict liability or otherwise, even if we have been advised of the possibility of such damages.",1
"If you update payment details in your account, the updated information will be regarded as your preferred method for any future payments. in some cases, we or others on our behalf may offer a free trial for our paid services.",0
Your agreement with nord additional terms. our services are subject to one or more of the additional terms below (âadditional termsâ).,0
"We may suspend your user account for a reasonable period of time before we terminate a user account permanently. you access and use the services in your country on your own initiative, and you solely are responsible for complying with your local laws and regulations if and to the extent such laws are applicable.",0
"We do not grant refunds for recurring subscription payments if you cancel the services after the renewal, unless applicable law provides otherwise.",0
"For the us â lagosec, inc. registered at 2035 sunset lake rd., suite b-2, newark, delaware, united states, de 19702.",1
"Further, we rely on parents and guardians to ensure minors only use the services if they can understand their rights and responsibilities as stated in these terms and our privacy policy. consistent with applicable law, nord does not knowingly collect personal information from minors without parental consent.",0
Prohibited and restricted uses your access to and use of the services is subject to these terms and all applicable laws and regulations.,0
"You shall not take any action to jeopardize, limit or interfere in any manner with our ownership of and rights with respect to the services.",0
"Class action waiver where permitted under the applicable law, class action lawsuits, class-wide arbitrations, private attorney-general actions, and any other proceeding where someone acts in a representative capacity are not allowed.",1
"This license automatically terminates if you fail to comply with these terms. the services, including, but not limited to, our software, mobile application and all other products, are owned and copyrighted by nord and protected worldwide.",0
The most recent version is the version that applies to your use of the services.,1
"Limitation of liability there are inherent risks in relying upon, using, transmitting, or retrieving any data and/or content on the internet, and we urge you to make sure you understand these risks before using the services. your use of the services is at your own risk.",0
"We reserve the right, at any time, in our sole discretion, with or without notice, to terminate the accounts of, and block access to the services to any users who infringe any applicable laws or these terms. you agree that you shall not: use, assist, encourage, or enable others to use the services for any unlawful, illicit, illegal, criminal or fraudulent activities, including but not limited to port scanning, sending spam, sending opt-in email, scanning for open relays or open proxies, sending unsolicited email or any version or type of email sent in vast quantities even if the email is routed through third-party servers, any pop-up launching, use of stolen credit cards, credit card fraud, financial fraud, cryptocurrency fraud, cloaking, extortion, blackmail, kidnapping, rape, murder, sale of stolen credit cards, sale of stolen goods, offer or sale of prohibited and dual-use goods, offer or sale of controlled substances, identity theft, hacking, pharming, phishing, scraping in any form or scale, digital piracy and other similar activities; assault, interfere, gain unauthorized access, deny service in any way or form to any other network, computer or node through our services; exploit children in any way, including audio, video, photography, digital content, etc.",0
"Apple is not responsible for addressing any claims by you or any third party relating to the service or your possession and/or use of the service, including: (1) product liability claims.",0
"You acknowledge that we do not have control over your use of the services, and we do not warrant the performance or results that may be obtained through your use of the services.",0
"Apple, and appleâs subsidiaries, are third party beneficiaries of these terms, and upon your acceptance of these terms, apple will have the right (and will be deemed to have accepted the right) to enforce these terms against you as a third party beneficiary of these terms.",0
"If you are using the services on behalf of an organization, you are agreeing to these terms for that organization and acknowledging that you have the authority to act on behalf of that organization and commit to these terms on behalf of that organization.",0
"We do not bear any liability for any harm or other adverse consequences to you, caused by this.",0
"Our services may be unavailable from time to time due to human, digital, mechanical, telecommunication, software, and other failures.",0
"However, we may calculate and add any taxes and / or additional fees, including, but not limited to sales tax, value added tax and other taxes or fees under laws applicable to you.",0
The duration of the free trial period and other details will be specified during a sign-up.,0
"We give no warranty or representation that the services will be wholly free from defects, errors and bugs, such as downtime, loss of data, corrupt data, service delay, mistakes, out-of-date information, or other.",1
"If you do not want to be charged, you must cancel the paid subscription before the end of the free trial by contacting our support team.",0
"We cannot predict or control when such downtime may occur and cannot control the duration of such downtime. the services (including, without limitation, our software, mobile applications, services and website) are provided âas isâ and with all faults.",0
"You hereby represent and warrant that (1) you are not located in a country that is subject to a u.s. government embargo, or that has been designated by the u.s. government as a âterrorist supportingâ country.",1
(2) any claim that the service fails to conform to any applicable legal or regulatory requirement.,0
