Highlighted Clause,Plain Language Summary
"You will indemnify and hold harmless vercel against any claims, actions or demands, including without limitation reasonable legal and accounting fees, arising or resulting from your breach of this agreement, any claim of infringement or misappropriation arising out of your websites or any of your content, or your other access, contribution to, use or misuse of the services.",You agree to protect Vercel and cover any legal or accounting costs if you break this agreement or if your website or content leads to legal issues such as claims of theft or misuse of Vercel's services.
"Vercel reserves the right to terminate accounts that are inactive for an extended period of time and the right to modify or discontinue, temporarily or permanently, the services (or any part thereof).",Vercel can delete your account if you don't use it for a long time and can change or stop offering their services at any time.
"During the term of this agreement, you grant Vercel a non-exclusive, royalty-free, fully-paid up license to use and reproduce your trademarks, tradenames and logos in Vercel's marketing materials and website(s) and to indicate that you are a Vercel customer.","By agreeing to these terms, you let Vercel use your trademarks and logos for promoting their services and to show you're a customer of theirs without paying you."
"If Vercel terminates your account without cause and you have signed up for a self-service subscription, Vercel will refund the pro-rated, unearned portion of any amount that you have prepaid to Vercel for such services.","If Vercel shuts down your account for no reason and you've paid for a subscription, they'll give you back the unused part of your payment."
Vercel may change its fees and payment terms at its discretion.,Vercel has the right to change what they charge for their services and how you pay them.
We may shut down and terminate projects or deployments using the hobby plan without notice for any reason or no reason.,"Vercel can cancel any free ""hobby"" plan projects at any time without warning, for any reason or no reason at all."
"You acknowledge that vercel may disable or terminate the services if Vercel believes there is any content that violates this agreement, including the acceptable use terms and the restrictions above, pursuant to Vercel's DMCA policy and/or as required by Vercel's hosting providers.","Vercel can shut down their services to you if they think you're violating their rules or the law, particularly with inappropriate content."
"The term of your hobby plan, self-service subscription, and any services purchased or added to your self-service subscription, shall automatically renew for successive terms equal in duration to the initial term unless you cancel your hobby plan or self-service subscription in advance of the renewal date.",Your free plan or paid subscription will keep renewing for the same length as when you first signed up unless you cancel it before it renews.
"You and Vercel each agree that any dispute resolution proceeding will be conducted only on an individual basis and not in a class, consolidated or representative action.","You and Vercel agree to handle any legal disputes as individuals, not as part of a group or class action lawsuit."
Vercel may change this agreement from time to time by providing thirty (30) days prior notice either by emailing the email address associated with your account or by posting a notice at https://vercel.com.,"Vercel may update these terms and will let you know 30 days before changes happen, either by email or by posting on their website."
"Vercel may terminate your account and this agreement immediately if you exceed any Vercel limits concerning use of the services, including without limitation, the maximum period of time that data, code or other content will be retained by the services, the maximum storage space that will be allotted on Vercel's servers on your behalf, and the maximum compute capacity provided for the execution of builds and functions and the maximum network data transferred by the services.","Vercel can end your account and these terms without warning if you use more resources than what's allowed, like too much storage space or data transfer."
"All fees are non-refundable, except as expressly stated otherwise in this agreement.","You won't get your money back for any payments you've made, unless the agreement says otherwise in certain cases."
