Highlighted Clause,Plain Language Summary
"You are solely responsible for maintaining the confidentiality of your account and password, and you accept responsibility for all activities that occur under your account.",You must keep your account details private and accept responsibility for anything that happens through your account.
Immaterial modifications are effective upon publication.,"Minor changes to these terms become valid when they are posted, without any need to notify you."
"You may cancel the subscription service by following the instructions provided at the following links for todoist premium, todoist business, and twist, or by contacting us.",You can end your subscription by following the provided instructions or getting in touch with customer support.
These terms of service are a legally binding contract between you and doist regarding your use of the service.,"By using this service, you're agreeing to a legally enforceable set of rules and conditions."
"By providing user content to or via the service, you grant doist a worldwide, non-exclusive, irrevocable, royalty-free, fully paid right and license to use your content.","When you upload content to the service, Doist can use it globally for free and without having to pay you."
"Arbitration uses a neutral arbitrator instead of a judge or jury, may allow for more limited discovery than in court, and can be subject to very limited review by courts.","Disputes will be settled by an arbitrator, not a judge, with simpler processes and limited court review."
We reserve the right to change these terms on a going-forward basis at any time.,Doist has the right to modify these terms at any time going forward.
You can terminate your account and these terms at any time by [describe termination process or] contacting customer service.,"If you want to close your account and end this agreement, you can do so at any time by following the termination process or reaching out to customer service."
"Each provision of these terms that provides for a limitation of liability, disclaimer of warranties, or exclusion of damages is intended to and does allocate the risks between the parties under these terms.",Certain parts of these terms are designed to limit Doist's responsibility and place more risk on you.
"Doist reserves the right to modify or discontinue the service at any time (including by limiting or discontinuing certain features of the service), temporarily or permanently, without notice to you.",Doist can change or stop the service or its features anytime without telling you first.
The subscription will continue unless and until you cancel your subscription or we terminate it.,Your subscription will automatically renew unless you cancel it or Doist ends it.
"Doist does not warrant that the service or any portion of the service, or any materials or content offered through or processed by the service, will be uninterrupted, secure, or free of errors, viruses, or other harmful components, and doist does not warrant that any of those issues will be corrected.","Doist can't guarantee that the service will be uninterrupted or free from errors, and might not fix such issues."
"If a change to these terms materially modifies your rights or obligations, we may require that you accept the modified terms in order to continue to use the service.","If a significant change is made to these terms that affects your rights or responsibilities, you may need to agree to the new terms to keep using the service."
Doist reserves the right to determine pricing for the service.,Doist has the power to set and change the prices for its services.
"If the service fails to conform to any applicable warranty, you may notify apple and apple will refund any applicable purchase price for the mobile application to you.","If there's a breach of warranty on the app from Apple's App Store, you may reach out to Apple for a refund."
"Except as provided in section 18.5 and to the fullest extent permitted by law, the aggregate liability of the doist entities to you for all claims arising out of or relating to the use of or any inability to use any portion of the service or otherwise under these terms, whether in contract, tort, or otherwise, is limited to the greater of: (a) the amount you have paid to doist for access to and use of the service in the 12 months prior to the event or circumstance giving rise to claim.","Doist's maximum liability to you for any issues with the service is limited to either what you've paid them in the past year or the options stated in section 18.5, depending on which is greater."
"By using one of these tools, you agree that doist may transfer that information to the applicable third party service.","If you use a tool that involves sending your data to a third party, you're agreeing that Doist can pass your information to them."
"Any arbitration between you and doist will be settled under the federal arbitration act and administered by the american arbitration association (âaaaâ) under its consumer arbitration rules (collectively, âaaa rulesâ) as modified by these terms.","Arbitration between you and Doist will follow the rules set by the AAA, altered as specified in these terms."
