Highlighted Clause,Plain Language Summary
You must not store CVV2 data at any time.,It's against the rules to save the CVV2 numbers from your customers' credit cards.
You agree to immediately notify us if you change telephone numbers or are otherwise no longer the subscriber or customary user of a telephone number or email address you have previously provided to us.,"You need to inform the service immediately if your contact details, like phone number or email, change."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The service can change, pause, or end your service at any time, especially if you break the agreement or put anyone at risk."
We reserve all rights not expressly granted to you in this agreement.,Any rights not specifically given to you in this agreement are kept by the service provider.
"We may terminate this agreement and close your Shopify Payments account at any time, for any reason, upon notice to you in accordance with section A18 above.","Your account and this agreement can be ended at any point by the service, as long as they notify you as stated in section A18."
You agree to promptly provide Shopify with documentation evidencing your compliance with PCI-DSS and/or PA-DSS upon request.,"If asked, you need to show documents proving that you follow the Payment Card Industry Data Security Standard rules for handling card payments."
"We reserve the right to change the processor, subject to the terms of our agreement with the processor.",The service has the right to modify its agreement with the payment processor.
The fees for processing are set out in your Shopify admin and constitute part of this agreement.,The cost for processing payments is outlined in your administration settings and is a part of this agreement.
"You acknowledge that you have received, read in full, and agree with the terms of our privacy policy.","By using this service, you acknowledge that you've read and agree to the privacy policy."
"You are responsible for all reversed or charged back transactions regardless of the reason for, or timing of the reversal or chargeback.","You're on the hook for any transactions that are reversed or charged back, no matter why or when it happens."
"We reserve the right, upon notice to you, to charge a fee for mediating or investigating chargeback disputes.",The service may charge you a fee for handling or looking into disputes about chargebacks if they let you know in advance.
"You agree to comply with all applicable laws and rules in connection with your collection, security, and dissemination of any personal, financial, card, or transaction information.","You must follow all laws and regulations about keeping and sharing any personal, financial, or card information related to transactions."
We reserve the right to hold funds in your Shopify Payments account while awaiting the information requested above.,The service can keep your funds while they wait for additional information they've asked for from you.
"You agree that your access to any such website is at your own risk, and that the site is not governed by the terms and conditions contained in this agreement.","If you visit another website through a link, it's at your own risk and the agreement here doesn't apply to that site."
