Highlighted Clause,Plain Language Summary
"These terms, and your rights and obligations herein, may not be assigned, subcontracted, delegated, or otherwise transferred by you without company’s prior written consent.",You cannot transfer your agreement with the company to someone else unless you get the company's permission in writing.
"If the arbitrator grants you an award that is greater than the last settlement offer that the company made to you prior to the initiation of arbitration, the company will pay you the greater of the award or $2,500.00.","If an arbitrator decides you should receive more money than what the company offered you before arbitration, the company will pay you either what the arbitrator awarded or $2,500, whichever is more."
You agree that our suppliers will have no liability of any kind arising from or relating to this agreement.,You agree that any third-party providers to the company will not be responsible for issues related to the agreement.
"We may suspend or terminate your rights to use the site at any time for any reason at our sole discretion, including for any use of the site in violation of these terms.","The company can stop or end your use of the site at any time, for any reason, which includes not following the rules of the site."
Company will not have any liability whatsoever to you for any termination of your rights under these terms.,The company is not responsible to you if they end your rights under the terms of the agreement.
"If applicable law requires any warranties with respect to the site, all such warranties are limited in duration to ninety (90) days from the date of first use.","If the law says that the company has to offer warranties for the site, these guarantees will only last 90 days from when you first use the site."
The rules of the adr provider shall govern all aspects of the arbitration except to the extent such rules are in conflict with the terms.,The arbitration will be managed by the rules of the arbitration provider unless those rules go against the terms of this agreement.
"Upon termination of your rights under these terms, your account and right to access and use the site will terminate immediately.","If your rights under the agreement are ended, your account and access to the site will be cut off right away."
"Company reserves the right to change, suspend, or cease the site with or without notice to you.","The company can change, pause, or completely shut down the site, and they don't have to tell you beforehand."
Any changes to these terms will be effective upon the earliest of thirty (30) calendar days following our dispatch of an e-mail notice to you or thirty (30) calendar days following our posting of notice of the changes on our site.,"Any changes to the terms will start to apply either 30 days after the company emails you about them, or 30 days after they post the changes on their site, whichever comes first."
