Highlighted Clause,Plain Language Summary
Intellectual property rights 2.1 who owns the ip of the authorised user's messages and files?,The intellectual property rights of messages and files shared by authorized users belong to the authorized users themselves unless there's a direct agreement stating otherwise.
We do not yet offer contracted sla for availability of the services and your data.,The service provider does not currently have a formal commitment to specific levels of availability for the services and user data.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","The service can be changed, suspended, or terminated at any time for any reason by the provider."
"For the sake of clarity, the authorised users are responsible for any breaches of the users terms they cause.",Authorized users are responsible for any breaches of the terms of service due to their actions.
Element will not be liable for any loss that you may incur as a result of someone else using your password or account.,The service provider is not responsible for any losses that occur if someone else uses your account or password.
We expect planned downtime to be infrequent but will endeavor to provide the customer with advance notice.,Planned interruptions to the service will be communicated in advance whenever possible.
you acknowledge and agree that element shall not be liable for any failure to store your materials on the homeserver at any time.,The service provider is not responsible for any failure to store user materials on the server.
"4.3 data protection and processing We will ensure to set-up, at a minimum, reasonable data practices for maintaining the confidentiality and security of the customer's and user's data and preventing unauthorized access.",The service provider promises to maintain reasonable data protection practices to ensure the security and confidentiality of customer and user data.
"The customer can terminate the subscription at any time, although the fees for the plan for the billing period are not refundable.","Customers can cancel their subscription whenever they want, but they won't get a refund for the billing period they've already paid for."
"We reserve the right to suspend the communication service immediately and without notice if we determine, in our sole judgment, that the service is being used in violation of applicable law.",The service provider can suspend the service immediately without notice if it is being used illegally.
"To the extent permissible, any implied warranties are limited to ninety days.","Implied warranties are only valid for 90 days, unless the law states otherwise."
We may terminate the contract immediately on notice to customer if we reasonably believe that the services are being used by customer or its authorized users in violation of applicable law.,The service agreement can be terminated immediately if the provider believes the customer is using the service in violation of the law.
"By posting or uploading their messages or files, authorised users represent and warrant that they own or otherwise control all of the intellectual property rights and other rights to their user materials.","By sharing messages or files, users confirm that they have the rights to the intellectual property in those materials."
"Indemnity and liability you agree to indemnify and hold element and its officers, co-branders, other partners and employees harmless from any claim or demand, including reasonable attorneys' fees, made by any third party due to or arising out of your user materials.",Users agree to protect the service provider against any legal claims related to their content.
"Limitation of liability in no event shall element, its officers, directors, employees, partners or suppliers be liable to you or any third party for any special, punitive, incidental, indirect or consequential damages or losses of any kind, or any damages or losses whatsoever.",The service provider and its affiliates are not liable for any sort of damages or losses that users might experience from using the service.
"Federated users do not contribute to the mau total count and are free, but their activity does contribute to the resource usage of the host.","Users from other servers (""federated users"") don't count toward the total number of active users, but they still use the server's resources."
