Highlighted Clause,Plain Language Summary
"Our vendors may perform services such as payment processing, sending email on our behalf, content delivery networking, error log analysis, and other similar services.","Third-party vendors might carry out certain tasks for the service, like processing payments and analyzing errors."
"we may share user personal information if we are involved in a merger, sale, or acquisition.",Your personal information could be shared if the company goes through a business deal like a merger or sale.
You consent to receive communications from us in an electronic form via the email address you have submitted or via the service.,"By signing up, you agree to get emails and other digital messages from us."
"We do not intentionally collect sensitive personal information, such as social security numbers, genetic data, health information, or religious information.",The service doesn't deliberately gather highly sensitive information like social security numbers or health details.
Our rights under this agreement will survive any termination of this agreement.,"Even if this agreement ends, the company still keeps its rights over certain things."
"If you disable your browser or device’s ability to accept cookies, you will not be able to log in or use the service.",You need to have cookies enabled in your browser to log in and use the service.
"Observable does not target our service to children under 13, and we do not permit any users under 13 on our service.",Children under 13 are not allowed to use this service.
We reserve all rights that are not expressly granted to you under this agreement or by law.,The company keeps all rights not specifically given to you in the agreement.
"If you do not want your personal information to appear in third parties’ compilations of observable data, please do not make your personal information publicly available.","If you don't want your personal info used by others, don't share it publicly on the platform."
"Observable may remove content we do not pre-screen user-generated content, but we have the right (though not the obligation) to refuse or remove any user-generated content that, in our sole discretion, violates any observable terms or policies.","The company can take down content at its discretion, even though it doesn't check all user content in advance."
"When a material change to the terms of service is made, we will post a notice of the update on the website.","If major changes are made to these terms, you'll be notified via a website announcement."
"Observable may terminate...your access to all or any part of the website at any time, with or without cause, with or without notice, effective immediately.",The company can end your access to the service at any time for any reason without warning.
Legal notice to observable must be in writing and served on observable’s legal agent.,"If you need to give legal notice to the company, it has to be done in writing through their legal rep."
These section titles and brief summaries are not legally binding.,The section titles and summaries in the agreement aren't legally enforceable by themselves.
"The look and feel of the website and service is copyright Â© Observable, Inc. All rights reserved.",The design and appearance of the website are copyrighted by the company.
The remaining portions will remain in full force and effect.,"If part of this agreement is invalid, the rest still applies."
You are responsible for making sure that your use of the service is in compliance with laws and any applicable regulations.,You need to ensure your use of the service follows all relevant laws and regulations.
"Our liability is limited whether or not we have been informed of the possibility of such damages, and even if a remedy set forth in this agreement is found to have failed of its essential purpose.","The company's legal responsibility for damages is limited, even if they were warned or if a solution in the agreement doesn't work out."
"we reserve the right...to modify or discontinue, temporarily or permanently, the website (or any part of it) with or without notice.",The service can change or end parts of the website at any time with or without telling you.
we do not permit third parties other than our analytics and service providers to track our users’ activity over time on observable.,Only certain analytics and service providers are allowed to track user behavior over time on the service.
