text,highlighted
We have no control over such third parties and assume no liability for their actions.,0
"We are not be liable if, for any reason all, any part of the site, or the site as a whole, is unavailable at any time or for any period to registered users or visitors.",0
14.&nbsp;assignment you may not assign your rights and obligations under these terms and conditions without our prior written consent.,0
Headings shall not affect the meaning of any provisions of this agreement. g. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp.,0
Premium accounts can be revoked at any time by patook and for any reason.,0
"Those determinations may be made entirely algorithmically by analyzing some or all of your activity on the site, and we will not disclose any information or reason as to why that determination was made, or how those algorithms work.",0
Assignment.,0
E. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp.,0
6. prohibited uses of the site and liquidated damages for violations no advertising or commercial solicitation.,0
"This prohibition includes marketing services, products or businesses, recruiting users for either paid or unpaid jobs (both legitimate and illegitimate jobs), recruiting for pyramid schemes, or recruiting for multi-level marketing companies.",0
Block violator's ip address and/or notify his or her internet service provider.,0
"This includes but is not limited to: creating multiple accounts to communicate with one another and figure out which messages are delivered, creating an account shortly after deleting another, contacting users to ask them if your messages are going through, or reverse engineering the code or passing special parameters to the app, experimenting with the app to try to find patterns or weaknesses (without our permission).",0
"Use the site for any illegal purpose, or upload, post, link to, copy or republish copyrighted material.",0
"The $250 in damages is a reasonable approximation of the damages that patook will incur, from lost user revenue and damage to patook's reputation, due to a breach of this paragraph.",0
Having a premium account also offers no guarantees that the site will continuously work as expected.,0
We may terminate any user account with or without notice in our sole discretion.,0
You understand that patook will not warn you before taking such actions.,0
Having a premium account offers you no waivers from any of the terms and conditions in this document.,0
Patook will not generally do this on your behalf and will not typically provide additional information unless asked by the relevant authorities.,0
You will report all violations that appear to involve the exploitation of children or underage minors to the ncmec cybertipline first.,0
"We reserve the right to determine, in our sole discretion, what constitutes ""objectionable"" material.",0
"If any part or sub-part of this agreement is held invalid or unenforceable by a court of law or competent arbitrator, the remaining parts and sub-parts will be enforced to the maximum extent possible.",0
"D.you understand that pictures or activities that appear to be of an illegal nature may be automatically or manually submitted to law enforcement authorities or other bodies such as the ncmec, sometimes solely at the discretion of automated algorithms or human moderators.",0
"&nbsp;\ you assume all risks when using the site, including but not limited to all of the risks associated with any online or offline interactions with others.",0
Patook reserves the right to conduct any criminal background check or other screenings (such as sex offender register searches) at any time using available public records.,0
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp.,0
"Terms of idea submission you agree that: (1) your submissions and their contents will automatically become the property of patook, without any compensation to you.",0
"Accordingly, we assume no liability for any action or inaction regarding any transmission, communication or content provided by any user or third party.",0
Otherwise attempt to interfere with the proper working of the site or anyone's use and enjoyment of it.,0
13.,0
Fully cooperate with any law enforcement authorities or court order requesting or directing us to disclose the identity of anyone posting any materials on or through the site.,0
V. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp.,0
"Behavior on the site and liquidated damages imposed for breaches of this agreement: a.you will only use patook to help you find platonic friendships, and not use it to flirt, hit on, or attempt to seduce other members, nor shall you approach users with ulterior motives.",0
"After your initial subscription commitment period, and again after any subsequent subscription period, your subscription will automatically continue for an additional equivalent period, at the price you agreed to when subscribing.",0
"In case any litigation specifically permitted under this agreement is initiated, the parties agree to submit to the personal jurisdiction of the courts of seattle, washington.",0
A.,0
"Premium status makes no guarantees to users that their messages will be read, that their profile will be visited, or that their experience on patook as a whole will be improved.",0
"Therefore, there is absolutely no guarantee that the person is who they claim they are, or that they are of the same age they claim to be (for example, they could be below the age of 18).",0
We do not verify the truth or accuracy of user information and have no control over user-submitted content or conduct.,0
"Enforcement of these terms and conditions is solely in our discretion, and failure to enforce the terms and conditions in some instances does not constitute a waiver of our right to enforce them in other instances.",1
"The site reserves the right, but has no obligation, to facilitate and resolve disputes between its users.",1
Verified profiles: some user profiles on the site have a verified profile tag next to them.,0
You are 18 years of age or older.,1
Ip ownership .,0
"You agree to use caution in all interactions with other users, particularly if you decide to communicate off the service or meet in person.",0
"Acceptance of the terms and conditions these terms and conditions (the ""terms"") constitute a legally binding agreement that governs your visits to www.patook.com and your use of the ios and android applications known as patook (the ""site"", or ""patook"").",0
Coupons: the site allows the use of coupons to receive additional credits.,0
"However, we cannot undertake to review all material before it is posted on the site for accuracy, and cannot ensure prompt removal of objectionable material after it has been posted.",0
"You will treat all site users and administration respectfully, online and offline.",0
You should use particular caution when accessing your account from a public or shared computer so that others are not able to view or record your password or other personal information.,0
We typically do not respond to users who have been banned.,0
We are strongly committed to protecting the intellectual property rights of others.,0
> &nbsp.,0
"We may transfer, assign or subcontract the rights, interests or obligations under the terms and conditions, at our sole discretion, without obtaining your consent.",0
I.,0
"J.if you are found to be willingly impersonating a different person, either real or invented, you agree that you will cause irreparable harm to patook but that the exact level of the harm may be difficult to ascertain.",0
