text,highlighted
"We will use commercially reasonable efforts to provide all plan levels with sufficient bandwidth, builds, and serverless function invocations that we determine are typical of projects at that plan level.",0
Mutual warranty.,0
Usage restrictions.,0
"You will indemnify and hold harmless vercel against any claims, actions or demands, including without limitation reasonable legal and accounting fees, arising or resulting from your breach of this agreement, any claim of infringement or misappropriation arising out of your websites or any of your content, or your other access, contribution to, use or misuse of the services.",0
"(b) for any indirect, special, exemplary, incidental, consequential or punitive damages.",0
"For a period of sixty (60) days from the date of receipt of notice from the other party, you and vercel will engage in a dialog to attempt to resolve the claim, though nothing will require either you or vercel to resolve the claim on terms with respect to which you and vercel, in each of the parties' sole discretion, is not comfortable. 20.5.",0
"To the fullest extent permitted by applicable law, if you or vercel want to assert a dispute against the other, then you or vercel must commence it (by delivery of written notice as set forth herein) within one (1) year after the dispute arises or it will be forever barred.",1
"Subject to these terms of service (this ""agreement""), vercel inc. (""vercel"", ""we"", ""us"" and/or ""our"") provides access to vercel's cloud platform, including, without limitation, this website, certain api's and domain registration services (collectively, the ""services"").",0
"You acknowledge that vercel reserves the right to terminate accounts that are inactive for an extended period of time and the right to modify or discontinue, temporarily or permanently, the services (or any part thereof).",0
"During the term of this agreement, you grant vercel a non-exclusive, royalty-free, fully-paid up license to use and reproduce your trademarks, tradenames and logos in vercel's marketing materials and website(s) and to indicate that you are a vercel customer.",0
"If vercel terminates your account without cause and you have signed up for a self-service subscription, vercel will refund the pro-rated, unearned portion of any amount that you have prepaid to vercel for such services.",0
"The faa, not state law, shall govern the arbitrability of such disputes, including the class action waiver below.",0
"The disclosing party agrees that the foregoing shall not apply with respect to any information after five (5) years following the disclosure thereof or any information that the receiving party can document (a) is or becomes generally available to the public, or (b) was rightfully in its possession or known by it prior to receipt from the disclosing party, or (c) was rightfully disclosed to it without confidentiality restrictions by a third party, or (d) was independently developed without use of any proprietary information of the disclosing party as evidenced by its internal files.",0
"You have the right to opt-out and not be bound by the arbitration and class action waiver provisions set forth above by sending written notice of your decision to opt-out to: privacy@vercel.com with the subject line ""company arbitration and class action waiver opt-out"".",0
Effect of termination.,0
"Vercel shall own and retain all right, title and interest in and to (a) the services, all improvements, enhancements or modifications thereto and (b) all intellectual property rights related to any of the foregoing. 14.4.",0
"""commencing"" means, as applicable: (i) by delivery of written notice as set forth herein.",0
Electronic communications.,0
Arbitration.,0
"However, an arbitrator must follow the terms of this agreement as a court would.",0
Vercel may change its fees and payment terms at its discretion.,0
Vercel's dmca policy is incorporated by reference into this agreement. 10.,0
"This agreement also contains releases, limitations on liability, and provisions on indemnity and assumption of risk, all of which may limit your legal rights and remedies.",0
We may shut down and terminate projects or deployments using the hobby plan without notice for any reason or no reason.,0
