Highlighted Clause,Plain Language Summary
Neither party will use any confidential information of the other party for any purpose except to implement its rights and obligations under these terms and as otherwise expressly contemplated by these terms.,"Each party agrees not to use the other party's confidential information for anything other than fulfilling their rights and responsibilities under the agreement, or as specifically allowed by the terms."
"You are solely responsible for your content and any postings, data or transmissions using the service, or any other use of the service by you or any person or entity that you permit to access or otherwise use the content.","You are responsible for any content you post or transmit through the service, as well as how the service is used by you or anyone you allow to use it."
"By using the service, you agree to the collection of such information, and to have your personal data collected, used, transferred to and processed in the United States in accordance with the privacy statement.","You consent to the collection, use, and process of your personal data in the U.S. under the service's privacy policy when you use the service."
"The modified terms will be effective immediately upon your receipt of notice to you by email or a message in the service, and you agree to be bound by the new terms and conditions of the posted terms by continuing your use of any service.","Any changes to the terms will be effective as soon as they are communicated to you, and by continuing to use the service, you agree to the updated terms."
"Ryver may amend or modify these terms at any time in its sole and absolute discretion, subject to notice to you.","Ryver has the right to change these terms whenever they want, as long as they notify you of the changes."
Your sole and exclusive remedies in the event of any dispute with Ryver under or relating to this agreement are to discontinue using the service.,"If you have a disagreement with Ryver related to this agreement, your only solution is to stop using the service."
"You agree to defend, indemnify, and hold harmless the Ryver group from all liabilities, claims, and expenses, including reasonable attorneys’ fees, that arise from your use of the service in a manner not in strict conformance with these terms.","If Ryver faces any legal issues because you used the service improperly, you agree to protect Ryver and cover all related costs."
"To the maximum extent permitted by applicable law, under no circumstances shall Ryver or its subsidiaries, affiliates, directors, employees, distributors, suppliers, agents or resellers (collectively, the “Ryver group”) be liable for any indirect, special, incidental, consequential, or exemplary damages arising out of or in any way relating to these terms or that result from the use of, or inability to use, the service, including without limitation, loss of goodwill, work stoppage, lost profits, loss of data, computer failure or malfunction, or any and all other commercial damages or losses.","Ryver and its affiliates will not be responsible for any indirect or consequential losses or damages resulting from the use or inability to use the service, to the extent the law allows."
These terms constitutes the entire agreement between you and Ryver concerning your use of the service.,These terms represent the full understanding between you and Ryver regarding your use of the service.
"This license is not a sale of the software or any copy thereof, and Ryver or its third party partners or suppliers retain all right, title, and interest in the software (and any copy thereof).",The license you receive isn't a purchase of the software; Ryver and its partners keep all ownership rights to the software.
"The service is protected by copyright, trademark, and other laws of both the United States and foreign countries.","The service is legally protected under copyright, trademark, and other laws in the U.S. and abroad."
"You grant Ryver unlimited, irrevocable and perpetual license to use this information for any purpose at our sole discretion.",You give Ryver the permanent right to use any information you provide in any way they choose.
"The service may change from time to time as we evolve, refine or add more features to the service, often without prior notice to you.","The service can change and features may be added or improved at any time, and they may not notify you beforehand."
"If any provision of these terms is found by a court of competent jurisdiction to be invalid, illegal or unenforceable, that provision shall be construed to reflect the parties’ original intent, and the remaining portions shall remain in full force and effect.","If a court finds any part of these terms invalid, that part will be adjusted to match what the parties intended, and the rest of the terms will still be valid."
These terms shall not be governed by the United Nations Convention on Contracts for the International Sale of Goods.,The terms aren't controlled by the U.N. Convention on Contracts for the International Sale of Goods.
