Highlighted Clause,Plain Language Summary
Leetify reserves the right to use your name and/or company name as a reference for marketing or promotional purposes on the leetify.com website and other communication with existing or potential leetify customers.,Leetify can use your name or your company's name in its marketing or promotions.
"Leetify shall not be liable for any direct, indirect, incidental, special, consequential or exemplary damages, including but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses, resulting from the use or the inability to use the service.",Leetify is not responsible for any kind of losses or damages that might happen from using or not being able to use their service.
You must not use the service for any illegal or abusive purposes.,You are not allowed to use Leetify for anything illegal or to harm others.
Leetify reserves the right to discontinue the service at any time after a 30-day notice via email.,Leetify can shut down its service with a 30-day warning sent by email.
"You agree to indemnify, defend and hold harmless Leetify and its officers, directors, employees, consultants and agents from any and all third party claims, liability, damages and/or costs arising from your use of the service.",You have to protect Leetify against any legal issues or costs that come from your use of the service.
You must provide Leetify with accurate billing information and keep this information up to date.,You must give correct billing details to Leetify and update them as needed.
You may at any time cancel your Leetify service inside the Leetify control panel provided that any past invoices have been paid.,You can cancel your Leetify service whenever you want as long as all past payments have been made.
"If you do not wish to be used as a reference, you need to email info@leetify.com stating that you do not wish to be used as a reference.","If you don't want Leetify to mention you in marketing, you must email them to opt out."
In no event shall Leetify's total liability to you exceed the amount paid by you for accessing this site.,The most that Leetify would have to pay you for any issues would not be more than what you have paid to use the site.
Leetify reserves the right to change the prices for the service and any connected extra services at any time.,Leetify can change the prices for their services whenever they want.
Your Leetify services will be renewed automatically until you cancel the service.,Your Leetify subscription will keep renewing itself until you decide to cancel it.
"These terms of service may be updated from time to time, and you will be prompted to agree to the changes upon logging in to the control panel.","The Terms of Service can change, and you'll have to agree to new terms if they update them when you log in."
This contract shall be governed by the substantive law of Sweden.,The laws of Sweden apply to this contract.
Any dispute arising out of this contract shall be solved by the district court of Stockholm in Sweden.,"If there's a legal disagreement, it will be dealt with in the courts of Stockholm, Sweden."
The leetify service is provided “as is” and “as available”.,Leetify is offered without any guarantees - you use it as it is when it's available.
