text,highlighted
"You acknowledge that the applicable third party is solely responsible for its offerings and vendor makes no representations or warranties concerning those offerings and accepts no liability with respect to them, and if you acquire or use any of these third party offerings, the offerings and your use of them will be governed by any license agreements, terms of use, privacy policies and/or other terms and conditions required by the third party. 13.2.",0
"In the event that an ambiguity or question of intent or interpretation arises, in any judicial proceeding or otherwise, the terms of this agreement will be construed as having been drafted jointly by the parties, and no presumption or burden of proof will arise favoring or disfavoring any party by virtue of the authorship of any provisions of this agreement. 12.6.",0
"You acknowledge that: (i) results you may obtain from family space, including data and messaging, may not be accurate, timely or reliable.",0
"Vendor may at any time deliver any notice to you via electronic mail, pop-up window, dialog box or other means, even though in some cases you may not receive the notice unless and until you launch a solution.",0
"If you are a consumer and live in the european union, norway, iceland or lichtenstein, you may be entitled to address your dispute through an internet platform for online dispute resolution established by the european commission (the â odr platform â).",0
Assignment.,0
"For any solution downloaded from google play (http://play.google.com), the license granted by this agreement is in lieu of any rights to use a solution that would otherwise be granted by the default terms for applications downloaded from the google play store. 13.6.2.",0
"Â dispute ,â for the purposes of this section 11, means any dispute, action, or other controversy regardless of the particular cause of action(s) asserted (i.e., it encompasses, among any other potential cause of action or legal basis, claims for breach of contract, misrepresentation or fraud, indemnification, tort (including negligence and strict product liability), and violation of statute or regulation). 11.2.",0
"Vendor, not apple, is solely responsible for the solution and the content of such solution. (c) apple has no obligation whatsoever to furnish any maintenance and support services with respect to the solution. (d) if the solution fails to conform to any applicable warranty, you may notify apple, and apple will refund the purchase price for the solution to you.",0
And (ii) the pertinent sections.,0
"If the solution does not perform substantially in accordance with the documentation, the entire and exclusive liability of each member of the vendor group and each vendor partner, and your sole and exclusive remedy, in respect of such warranty will be limited to, at vendorâs option, to either: (i) replacement of the solution.",0
Wifi finder.,0
"The odr platform is intended to facilitate out-of-court resolutions relating to online purchases of goods and services between consumers and traders based in the european union, norway, iceland and lichtenstein.",0
"By using family space, you represent and warrant that: (i) you are 18 years of age or older.",0
"(d) have the potential to incite or produce conduct that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, libelous, vulgar, obscene, invasive of anotherâs privacy, hateful, or racially, ethnically, religiously or sexually discriminatory or otherwise objectionable.",0
