Highlighted Clause,Plain Language Summary
"Sharing referral links should only be used for personal and non-commercial purposes, and only shared with personal connections that will appreciate receiving these invitations.","You should only use referral links for personal reasons and share them with friends and family who will be happy to get them, not for any business reasons."
"Gladly entities disclaim all warranties and conditions, whether express or implied, of merchantability, fitness for a particular purpose, or non-infringement.",The company behind Gladly doesn't guarantee that its services will meet your needs or that they are free from infringement claims.
Gladly is not operated by any members of administration from the causes listed on the website.,The charities listed on Gladly's website do not have control over Gladly's operations.
"Any displayed dollar amount ""raised"", ""given"", or ""earned"" simply indicates that gladly has designated funds for payment to a particular cause, and in no way reflects when the cause actually receives these funds.",The amounts shown on the website as raised for charities don't necessarily mean the charities have received the money yet.
All user-generated funds are considered the wholly-owned revenue of gladly and all payments to causes are considered payments directly from gladly to the designated causes.,"Even though users help generate funds, the company Gladly owns all the money and decides when and how to pay the charities."
Gladly reserves all rights to choose the causes that are to operate on the website.,Gladly has the full authority to decide which charities will be featured on the website.
Gladly will at its sole discretion determine which referred users are approved as qualifying users on Gladly.,Gladly has the final say on who qualifies as a referred user under their referral program.
"The Website is available ""as-is"".",You use Gladly's website with the understanding that it may not be perfect or fully error-free.
"Gladly entities shall not be liable for any indirect, incidental, special, consequential or punitive damages, or any loss of profits or revenues.","If something goes wrong while you're using Gladly's website, the company won't have to pay for any resulting damages or lost profits."
"In no event shall the aggregate liability of the gladly entities exceed the greater of one hundred U.S. Dollars (U.S. $100.00) or the amount you paid Gladly, if any, in the past six months for the service.","The most Gladly could ever have to pay you for any legal claim is $100 or what you've paid them in the last six months, whichever is more."
"Gladly may change its terms from time to time, and in Gladly's sole discretion. Your continued use of this site after any change in these terms will constitute your acceptance of such change.","Gladly can update their Terms of Service whenever they want, and if you keep using the site after changes are made, you're automatically agreeing to the new terms."
