text,highlighted
"Payment each time a payment is made by privacy on your behalf, the amount of the transaction will be settled from your designated funding source.",0
"Assignment these general terms, and any rights and licenses granted hereunder, may not be transferred or assigned by you and any attempted transfer or assignment will be null and void.",0
"Set off you acknowledge that, except as otherwise prohibited by law, privacy will have the right to charge or set off against your account any indebtedness or other obligations which you or any owner owe us, at any time, without any further notice to or demand on you, whether the indebtedness or other obligations exist at the time the account is opened or arise later.",0
"Any termination of these terms does not relieve you of obligations to pay fees or costs accrued prior to the termination, chargebacks, and any other amounts owed to us as provided in these payment terms or the terms of service.",0
"Third party services and links to other web sites you may be offered services, products and promotions provided by third parties and not by privacy (âthird party servicesâ).",0
Your failure to notify us of a processing error within sixty (60) days of when it first appears on your electronic transaction history will be deemed a waiver of any right to amounts owed to you.,0
"Privacy may require you to provide receipts, third party evaluations, police reports or other documents depending on the situation.",0
"Such disclosures and notices are considered received by you within twenty-four (24) hours of the time posted to our website, or within twenty-four (24) hours of the time emailed to you unless we receive notice that the email was not delivered.",0
"If youâre unable to resolve a transaction related issue directly with a merchant, please notify us via your privacy dashboard.",0
"Restrictions you may not, nor may you permit any third party, directly or indirectly, to: export the services, which may be subject to export restrictions imposed by us law, including us export administration regulations (15 c.f.r.",0
Your use of the services may be subject to the terms of your agreements with your device manufacturer or your carrier.,0
"If we suspect that your privacy account has been used for an unauthorized, illegal, or criminal purpose, you give us express authorization to share information about you, your privacy account, and any of your transactions with law enforcement and, as deemed necessary by privacy, our payment processing and financial institution partners.",0
"Privacy does not warrant, endorse, guarantee, or assume responsibility for any product or services advertised or offered by a third party.",0
"By signing up for a subscription service, including after any free trial period, you agree to pay us the subscription fee and any applicable taxes as set forth in your privacy account settings or as otherwise agreed in writing (âsubscription feeâ).",0
"Otherwise, any arbitration hearing will occur in new york county, new york, or another mutually agreeable location.",0
You may not provide access credentials for an account that is held by a third person.,0
In order to avoid automatic renewal you must cancel your subscription services at least thirty (30) days prior to the automatic renewal date.,0
"Our role when you use privacyâs browser extension or mobile application to transact, privacy will create a unique card number issued to privacy, load it with funds and make the purchase.",0
You access any such website at your own risk.,0
"You also agree that, to the extent allowed by law, privacy may set off any indebtedness or other obligations which you owe us under this agreement against any other account or property in which you have an ownership interest that is in privacyâs possession or control.",0
Your continued use of subscription services after notice of a change to our subscription fee will constitute your agreement to such changes.,0
"Subject to these terms and conditions, any referrer customer that refers an acquaintance to privacy will receive up to $5 in privacy account credit (âreferrer bonusâ) for every such referral when the referred customer successfully registers and makes a qualifying transaction with privacy (the âreferral offerâ).",0
"Privacy is not responsible for changes to, or discontinuance of, any affiliate store, or for any affiliate store withdrawal from the program, or for any effect on accrual of cashback caused by such changes, discontinuance, or withdrawal.",0
"(c) your violation of any third-party right, including without limitation any right of privacy, publicity rights or intellectual property rights.",1
"For example, privacy may ask you to present a government issued identification such as a passport or driverâs license, a business license, or other information.",0
"We may make software updates to the services available to you, which you must install to continue using the services.",0
"If you are a consumer bringing a claim relating to personal, household, or family use, any arbitration hearing will occur within the county where you reside.",0
"Notwithstanding sections disputes and binding individual arbitration, in the event of any dispute between two or more parties as to account ownership, we will be the sole arbiter of such dispute in our sole discretion.",0
"If you close your privacy account, all purchases made during the calendar month that the account was closed will not be eligible for the privacy cashback promotion.",0
"Affiliate store policies a product purchased from any affiliate store through the program, is governed by and subject to the applicable affiliate storeâs policies, including applicable exchange and shipping policies.",0
"By entering your funding source information on the privacy site, you have signed this ach authorization and you should print and save a copy of it.",0
We expressly disclaim any liability for these websites.,0
"If privacy is not able to settle a transaction with your account, your privacy account may be suspended.",0
"Privacy receives compensation for referring buyers to the retailers, brands, merchants, and other partners participating in the program (âaffiliate storesâ).",0
Privacy reserves the right to verify and adjust referral credits at any time prior to or following credit.,0
Referrer bonuses and referred bonuses will be credited within 24 hours after a referred customer successfully makes a qualifying transaction with privacy.,0
Trademark policy regarding claims that third party material infringes the copyrights or trademarks of others.,0
Transfer any rights granted to you under these general terms.,0
"If you visit other sites before completing your purchase or use coupons not provided by privacy, you may not be eligible to earn cashback on your purchase.",0
Electronic disclosures and notices have the same meaning and effect as if we had provided you with paper copies.,0
"(d) you and the virtual card transaction comply with all federal, state, and local laws, rules, and regulations applicable to you, including any applicable tax, wage and hour, and tip laws and regulations.",0
"Unless expressly stated otherwise, unused privacy credits may expire after twelve months of account inactivity.",0
Use the services in a way that distracts or prevents you from obeying traffic or safety laws.,0
"You may not use a modified device to use the services if the modification is contrary to the manufacturerâs software or hardware guidelines, including disabling hardware or software controls.",0
"The indebtedness includes, without limitation, all charges incurred on any account you hold with privacy.",0
You waive any right to have your case decided by a jury and you waive any right to participate in a class action against privacy.,0
"Third party products all third party hardware and other products included or sold with the services are provided solely according to the warranty and other terms specified by the manufacturer, who is solely responsible for service and support for its product.",0
"Other provisions these general terms, and any applicable additional terms or policies, are a complete statement of the agreement between you and privacy regarding the services.",0
"Additional indemnity in addition to the general terms, you will indemnify, defend, and hold us and our processors (and our respective employees, directors, agents, affiliates and representatives) harmless from and against any and all claims, costs, losses, damages, judgments, tax assessments, penalties, interest, and expenses (including reasonable attorneysâ fees) arising out of any claim, action, audit, investigation, inquiry, or other proceeding instituted by a person or entity that arises out of or relates to any transaction submitted by you through the payment service.",0
"When you use a link to go from the services to a third party website, our privacy policy is no longer in effect.",1
"(e) except in the ordinary course of business, you are not submitting a transaction that represents a sale to any principal, partner, proprietor, or owner of your entity.",0
