Highlighted Clause,Plain Language Summary
"You also agree that this license includes the right for tumblr to make all publicly-posted content available to third parties selected by tumblr, so that those third parties can syndicate and/or analyze such content on other media and services.",You allow Tumblr to share your public posts with selected partners who might display or review that content elsewhere.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","Tumblr can change, pause, or end your use of their services at any time, especially if you break their rules or threaten their safety or legal standing."
"After removing material pursuant to a valid DMCA notice, tumblr will immediately notify the subscriber responsible for the allegedly infringing material that it has removed or disabled access to the material.","If Tumblr takes down your content because of a copyright issue, they'll let you know right away."
Tumblr retains the right to create limits on and related to use of the Services in its sole discretion at any time with or without notice.,"Tumblr can set or change limits on how you use its services whenever they want, with or without telling you."
"Note also that this license to your subscriber content continues even if you stop using the services, primarily because of the social nature of content shared through Tumblr’s services.","Even if you stop using Tumblr, they can still use your already shared content because it may be part of larger social interactions."
Modifications to this agreement Tumblr reserves the right to modify this agreement by (1) posting a revised agreement on and/or through the services and (2) providing notice to you that this agreement has changed.,Tumblr can change this agreement by updating it on their service and letting you know it's been updated.
"Certain themes are available for purchase as a paid service (such themes, ""premium themes"").",Some Tumblr themes need to be bought to use.
"Tumblr may add its own affiliate code to links posted on Tumblr at its discretion, provided a user has not previously included their own affiliate code into the applicable link.",Tumblr can add their affiliate code to the links you post unless you've already added your own.
"Termination and deletion: on termination of your account, or upon your deletion of particular pieces of subscriber content from the services, Tumblr shall make reasonable efforts to make such subscriber content inaccessible and cease use of it, and if required by the applicable privacy policy, delete your account data and/or subscriber content.","When your account is closed, or you delete content, Tumblr will try to make it unviewable and stop using it, and they might delete your data and content if their privacy rules need it."
You retain ownership you have of any intellectual property you post to Tumblr.,You keep any ownership rights of the content you upload to Tumblr.
"Tumblr may terminate or suspend your access to or ability to use any and all services immediately, without prior notice or liability, for any reason or no reason, including but not limited to if you breach any of the terms or conditions of this agreement.","Tumblr can immediately stop your use of their services for any reason, especially if you break their rules, without telling you first and without legal responsibility."
"Purchased premium themes may not be transferred between accounts, between blogs, or between services on a single account and are subject to the payment terms herein.","You can't move bought premium themes between different accounts, blogs, or services, and they are ruled by the specific payment terms."
"You agree that any claim or dispute you may have against Tumblr must be resolved exclusively by a state or federal court located in New York County, New York, except as otherwise agreed by the parties.","Any legal issues you have with Tumblr must be settled in a state or federal court in New York County, NY unless agreed otherwise."
"If you are a California resident, you waive California Civil Code § 1542, which says: ""A general release does not extend to claims which the creditor does not know or suspect to exist in his favor at the time of executing the release, which if known by him must have materially affected his settlement with the debtor.""","If you're from California and use Tumblr, you give up certain legal rights that might protect you from unknown future claims."
These terms of service contain limitations of Tumblr's liability in section 14.,"The terms include specific limits to how responsible Tumblr is for various issues, as detailed in section 14."
"Subscriber content, in particular, is provided by and is solely the responsibility of, the subscribers providing that content.",You are responsible for any content you provide to Tumblr.
"Any royalties or reimbursement you get for your creations are, needless to say, entirely yours.","If you earn any money from your content on Tumblr, it's all yours."
Special provisions for subscribers located outside of the United States Tumblr provides global products and services and enables a global community for individuals to share and follow the things they love.,"If you're using Tumblr from outside the US, special conditions apply because Tumblr operates globally."
"The services are available on an ""as is"" basis your access to and use of the services or any content is at your own risk.","You use Tumblr and its content at your own risk, as it's provided ""as is"" without any guarantees."
"To the maximum extent permitted by applicable law, the total liability of Tumblr and the Tumblr affiliates, for any claim under this agreement, including for any implied warranties, is limited to the greater of one hundred dollars (US $100.00) or the amount you paid us to use the applicable service(s).","The most that Tumblr might have to pay you for any claim under these terms is either $100 or what you've paid them for their services, whichever is greater."
