Highlighted Clause,Plain Language Summary
ExpressVPN reserves the right to investigate matters we consider to be violations of these terms.,ExpressVPN can look into any activities they think are breaking their rules.
You acknowledge that you access the site and services at your sole risk and discretion.,You use ExpressVPN's services at your own risk.
Any changes to the pricing will not affect the subscriber’s current subscription period and will become effective upon subscription renewal.,"Price changes will only apply when you renew your subscription, not during your current subscription term."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","ExpressVPN can change, pause, or end your access to their services at any time for any reason."
ExpressVPN reserves the right to take appropriate measures when our services are being used contrary to these terms and applicable laws.,"If you use ExpressVPN in a way that breaks their rules or the law, they can take action against you."
"If you would like to discontinue automatic renewal, you may sign in to the site and turn off auto-renewal.",You can cancel automatic subscription renewal through your account settings.
ExpressVPN may update the terms from time to time without notice.,ExpressVPN can change the terms without telling you beforehand.
We only collect information that are necessary for the proper delivery of the site and services.,ExpressVPN collects only the information they need to provide their service.
Subscription purchases and refunds are handled via multiple third-party payment companies.,"Refunds and payments for subscriptions are processed by other companies, not directly by ExpressVPN."
"In no event will ExpressVPN be liable for any direct, special, indirect, consequential, or incidental damages.",ExpressVPN is not responsible if you experience any kind of loss or damage from using their service.
Subscription ExpressVPN services are available to you upon registration on the site.,You can access ExpressVPN's services once you sign up.
"You agree that ExpressVPN may terminate your account, without providing a refund for services already paid if you misuse the service.","If you misuse ExpressVPN's services, they can cancel your account and you won't get a refund for any time left."
"Privacy Policy ExpressVPN is committed to your privacy and does not collect or log browsing history, traffic destination, data content, or DNS queries from subscribers connected to our VPN.",ExpressVPN respects your privacy and doesn't track your browsing details or VPN usage.
Refund policy you may cancel your account with a full refund within 30 days of your initial purchase (“money back guarantee”).,You can get a full refund if you cancel within 30 days of buying the service.
ExpressVPN services may be accessed from all around the world.,You can use ExpressVPN from anywhere in the world.
These terms constitute a legally binding agreement between you and ExpressVPN.,The terms of service document is an official contract between you and ExpressVPN.
"We do not make any warranty that the services will meet your requirements, or that it will be uninterrupted, timely, secure, or error-free.",ExpressVPN doesn't promise that its services will work exactly as you want or without any issues.
The subscription fee will be charged automatically to the payment method you last selected.,The fee for your subscription will be automatically taken from the last payment method you used.
ExpressVPN grants to you a non-exclusive and limited license to download and use the software.,"You have the right to download and use ExpressVPN's software, but there are restrictions."
ExpressVPN disclaims any and all liability for any failure on our part to prevent such materials or information from being transmitted over the service and/or into your computing device.,ExpressVPN won't be held responsible if any unwanted data or content gets through to your device over their service.
"By creating an account for using our services, you represent that you are at least eighteen (18) years of age or that you are a valid legal entity.",You must be at least 18 years old or a recognized organization to use ExpressVPN's services.
"If you do not agree with any part of the terms, you may not use our services.","If you disagree with the terms, you're not allowed to use ExpressVPN's services."
All disputes arising out of or relating to this agreement or the use of the site or services shall be finally settled under the rules of arbitration of the International Centre for Dispute Resolution.,Any disagreements over these terms or the use of ExpressVPN will be settled by arbitration according to specific rules.
